cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/16;1.011.517.156;6.247.277;19.217.463;42.686.762;50.632.251;22.889.665;2.160.790;488.007;144.322.215;339.083;3.994.136;5.839.331;16.126.204;18.062.664;26.238.978;5.149.485;75.749.881;1.297.352;4.507.999;4.708.652;398.193;5.369;0;40.240;10.957.805;633.754;8.792.164;2.239.848;268.753;106.378;64.455;1.523;12.106.875;599.691;11.505.992;16.100.723;5.926.571;1.437.081;3.000.572;0;38.570.629;5.869.291;9.046.030;11.041.232;15.515.555;19.200.789;10.320.546;268.355;71.261.798;3.360.966;30.328.195;61.853.170;136.186.126;93.533.011;191.695.818;46.134.198;563.091.485;244.919;2.959.854;9.268.673;5.800.922;2.536.294;4.032.943;9.592;24.853.198;274.294;4.889.257;5.225.849;7.079.151;1.020.010;408.223;462;18.897.246;
1%;1 - Público;mar/16;49,63%;51,12%;29,41%;41,93%;46,76%;64,13%;43,74%;59,88%;43,86%;29,00%;32,40%;25,36%;48,67%;83,82%;94,05%;70,21%;59,91%;30,35%;12,91%;40,55%;47,69%;2,54%;0,00%;16,68%;20,95%;32,41%;15,06%;12,89%;17,93%;10,46%;17,10%;30,66%;15,02%;31,11%;29,32%;28,44%;19,64%;13,93%;58,11%;0,00%;26,89%;55,30%;43,89%;45,53%;55,80%;84,12%;87,84%;62,20%;60,25%;74,06%;72,00%;68,52%;73,27%;84,29%;91,63%;94,23%;81,38%;85,46%;23,81%;34,00%;49,48%;49,83%;81,15%;67,88%;40,23%;46,29%;64,99%;36,42%;34,28%;24,43%;12,59%;7,00%;37,39%;
2;2 - Privado Nacional;mar/16;737.267.215;4.505.224;28.131.192;41.631.840;41.475.119;8.710.296;1.791.315;13.635;126.258.620;576.778;5.205.088;10.734.437;10.439.149;1.959.274;227.597;2.953;29.145.275;2.421.278;23.027.528;3.942.136;66.088;58.390;145.242;4.470;29.665.132;958.257;28.569.984;5.789.755;553.758;341.147;281.541;336;36.494.778;610.691;12.473.767;17.034.629;14.897.225;7.309.481;975.694;0;53.301.486;2.758.225;7.533.091;9.065.708;7.982.099;2.407.992;1.140.260;28.704;30.916.077;509.576;7.519.378;17.989.720;31.814.542;13.057.175;15.004.472;2.766.552;88.661.415;26.274;7.418.245;13.889.066;4.606.567;2.050.593;579.974;0;28.570.719;225.909;1.434.860;4.814.926;10.104.437;2.929.573;1.355.563;4.338;20.869.605;
2%;2 - Privado Nacional;mar/16;36,18%;36,87%;43,05%;40,90%;38,30%;24,40%;36,26%;1,67%;38,37%;49,32%;42,23%;46,62%;31,51%;9,09%;0,82%;0,04%;23,05%;56,65%;65,94%;33,95%;7,92%;27,61%;72,62%;1,85%;56,72%;49,00%;48,95%;33,33%;36,94%;33,55%;74,71%;6,76%;45,28%;31,68%;31,79%;30,09%;49,36%;70,86%;18,90%;0,00%;37,16%;25,99%;36,55%;37,39%;28,70%;10,55%;9,71%;6,65%;26,14%;11,23%;17,85%;19,93%;17,12%;11,77%;7,17%;5,65%;12,81%;9,17%;59,69%;50,94%;39,30%;40,28%;11,67%;0,00%;46,25%;38,12%;19,07%;33,55%;48,93%;70,17%;41,81%;65,72%;41,29%;
3;3 - Privado com Controle Estrangeiro;mar/16;289.139.490;1.467.583;17.994.264;17.480.900;16.173.110;4.091.450;987.442;313.386;58.508.135;253.509;3.127.500;6.453.742;6.567.246;1.526.674;1.433.155;2.181.515;21.543.340;555.321;7.388.909;2.960.121;370.632;147.691;54.758;196.601;11.674.033;363.668;21.007.117;9.341.450;676.437;569.161;30.857;3.109;31.991.798;717.366;15.258.913;23.472.509;9.356.107;1.569.142;1.187.001;5.558;51.566.596;1.985.112;4.031.980;4.141.746;4.309.853;1.217.556;287.886;134.401;16.108.533;667.346;4.274.837;10.421.511;17.856.517;4.371.572;2.506.670;56.973;40.155.425;15.390;2.050.455;4.106.257;1.315.215;503.339;356.702;4.538;8.351.896;92.403;1.199.517;4.308.714;3.467.235;225.428;1.478.639;1.801;10.773.737;
3%;3 - Privado com Controle Estrangeiro;mar/16;14,19%;12,01%;27,54%;17,17%;14,94%;11,46%;19,99%;38,45%;17,78%;21,68%;25,37%;28,03%;19,82%;7,08%;5,14%;29,75%;17,04%;12,99%;21,16%;25,49%;44,39%;69,85%;27,38%;81,47%;22,32%;18,60%;35,99%;53,78%;45,13%;55,98%;8,19%;62,59%;39,70%;37,21%;38,89%;41,47%;31,00%;15,21%;22,99%;100,00%;35,95%;18,71%;19,56%;17,08%;15,50%;5,33%;2,45%;31,15%;13,62%;14,71%;10,15%;11,55%;9,61%;3,94%;1,20%;0,12%;5,80%;5,37%;16,50%;15,06%;11,22%;9,89%;7,18%;32,12%;13,52%;15,59%;15,94%;30,03%;16,79%;5,40%;45,60%;27,28%;21,32%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/16;1.562.123.450;11.386.170;61.300.346;95.486.677;102.310.092;34.458.532;4.505.262;811.751;310.258.831;987.005;9.789.954;18.089.179;27.049.191;19.967.021;27.490.844;7.305.130;110.678.324;4.190.430;33.284.629;9.962.362;790.644;184.392;195.805;236.841;48.845.103;1.688.014;50.814.014;12.704.043;1.073.382;1.006.911;372.320;4.631;67.663.315;1.922.249;39.190.800;56.525.386;30.164.910;10.315.704;5.145.581;1.137;143.265.767;10.438.266;19.405.906;22.681.692;26.738.849;22.560.884;11.651.063;408.159;113.884.819;2.199.286;22.121.932;44.789.851;84.273.362;38.883.833;65.231.004;21.219.185;278.718.454;260.341;11.919.641;25.955.399;9.909.207;3.611.847;3.203.342;13.786;54.873.562;592.605;7.460.988;14.326.461;20.648.411;4.174.891;3.242.151;6.601;50.452.106;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/16;76,65%;93,18%;93,81%;93,80%;94,49%;96,55%;91,21%;99,60%;94,28%;84,40%;79,42%;78,55%;81,64%;92,66%;98,53%;99,61%;87,54%;98,05%;95,30%;85,80%;94,70%;87,20%;97,90%;98,15%;93,40%;86,31%;87,06%;73,13%;71,61%;99,04%;98,80%;93,24%;83,96%;99,71%;99,88%;99,85%;99,95%;100,00%;99,66%;20,45%;99,88%;98,36%;94,15%;93,54%;96,16%;98,84%;99,17%;94,60%;96,28%;48,46%;52,52%;49,62%;45,34%;35,04%;31,18%;43,34%;40,28%;90,84%;95,91%;95,20%;84,53%;70,96%;64,46%;97,56%;88,83%;100,00%;99,17%;99,84%;99,99%;100,00%;99,99%;100,00%;99,82%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/16;45.463.662;52.222;1.559.658;1.042.372;839.378;136.838;22.209;0;3.652.676;92.135;1.604.555;2.761.225;2.661.358;436.196;1.032;0;7.556.500;0;0;0;0;0;0;0;0;112.481;4.010.427;4.330.205;413.241;7.972;19;0;8.874.346;5.500;47.871;82.475;14.993;0;17.685;4.421;172.945;16.496;333.862;99.606;213.183;14.956;337;0;678.439;490.482;2.612.976;6.800.848;11.121.259;2.587.912;505.112;29.276;24.147.866;803;36.073;53.402;131.586;64.684;21.384;0;307.931;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/16;2,23%;0,43%;2,39%;1,02%;0,78%;0,38%;0,45%;0,00%;1,11%;7,88%;13,02%;11,99%;8,03%;2,02%;0,00%;0,00%;5,98%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,75%;6,87%;24,93%;27,57%;0,78%;0,01%;0,00%;11,01%;0,29%;0,12%;0,15%;0,05%;0,00%;0,34%;79,55%;0,12%;0,16%;1,62%;0,41%;0,77%;0,07%;0,00%;0,00%;0,57%;10,81%;6,20%;7,53%;5,98%;2,33%;0,24%;0,06%;3,49%;0,28%;0,29%;0,20%;1,12%;1,27%;0,43%;0,00%;0,50%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
