cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/17;878.236.665;5.923.472;24.782.167;26.064.650;45.134.817;6.230.545;3.070.396;1.827.458;113.033.505;411.703;1.558.723;3.497.234;8.076.575;5.425.349;21.078.575;3.092.171;43.140.330;1.019.194;2.761.073;3.956.095;182.597;0;0;130.080;8.049.039;408.317;5.478.416;1.254.565;570.894;79.501;0;0;7.791.693;742.628;6.550.360;19.965.437;12.500.400;12.953.664;4.050.489;0;56.762.978;4.982.796;5.572.795;7.648.070;17.654.683;15.802.972;6.865.098;1.716.305;60.242.720;3.758.126;27.001.430;60.144.873;117.967.671;85.641.253;166.980.428;43.419.696;504.913.477;105.619;3.026.935;12.823.547;10.013.551;2.754.066;4.076.137;10.003;32.809.859;509.700;4.356.988;5.905.445;6.636.852;511.122;335.383;233.045;18.488.534;
1%;1 - Público;jun/17;48,50%;55,40%;39,49%;31,07%;43,65%;35,28%;45,51%;98,49%;39,38%;33,20%;18,08%;20,40%;35,79%;70,69%;93,63%;87,72%;51,80%;34,40%;10,73%;42,47%;24,99%;0,00%;0,00%;47,50%;20,15%;43,07%;10,69%;7,96%;31,32%;21,25%;0,00%;0,00%;11,07%;40,07%;20,34%;31,20%;35,14%;73,62%;49,82%;0,00%;35,62%;55,15%;27,87%;35,52%;55,50%;78,17%;72,43%;82,35%;52,77%;85,17%;70,94%;69,86%;74,22%;84,58%;90,41%;90,69%;81,26%;79,77%;24,07%;39,48%;54,77%;60,87%;82,53%;84,57%;44,98%;35,08%;68,46%;45,20%;42,97%;18,44%;63,12%;98,95%;46,38%;
2;2 - Privado Nacional;jun/17;704.240.775;3.437.971;26.165.339;42.694.189;44.413.817;7.905.788;2.378.446;9.273;127.004.824;651.511;4.239.315;8.065.722;8.081.792;1.267.708;321.531;4.194;22.631.773;1.665.466;18.567.259;3.596.924;225.859;30.010;719.593;3.865;24.808.976;382.903;25.772.650;5.133.417;626.731;224.404;200.480;0;32.340.585;735.474;13.644.692;25.812.093;15.590.429;2.418.088;3.847.211;0;62.047.985;2.848.562;10.936.618;10.606.989;10.370.404;3.399.284;2.317.806;274.832;40.754.495;307.618;7.146.081;17.090.099;27.920.190;11.857.754;14.104.008;2.510.450;80.936.201;8.268;7.877.565;15.083.288;6.114.029;1.129.299;493.559;0;30.706.008;514.140;982.887;4.552.607;7.744.322;2.212.470;187.296;1.306;16.195.028;
2%;2 - Privado Nacional;jun/17;38,89%;32,16%;41,70%;50,89%;42,95%;44,76%;35,26%;0,50%;44,25%;52,54%;49,18%;47,06%;35,81%;16,52%;1,43%;0,12%;27,18%;56,21%;72,17%;38,62%;30,91%;18,02%;93,03%;1,41%;62,10%;40,39%;50,29%;32,57%;34,38%;59,99%;96,49%;0,00%;45,96%;39,68%;42,37%;40,34%;43,83%;13,74%;47,32%;0,00%;38,94%;31,53%;54,69%;49,26%;32,60%;16,81%;24,45%;13,19%;35,70%;6,97%;18,78%;19,85%;17,57%;11,71%;7,64%;5,24%;13,03%;6,24%;62,64%;46,44%;33,44%;24,96%;9,99%;0,00%;42,09%;35,39%;15,44%;34,85%;50,14%;79,83%;35,25%;0,55%;40,62%;
3;3 - Privado com Controle Estrangeiro;jun/17;228.419.302;1.329.817;11.804.329;15.129.081;13.861.029;3.525.651;1.297.432;18.779;46.966.119;176.801;2.821.810;5.576.538;6.410.124;981.375;1.113.653;428.688;17.508.989;278.342;4.399.913;1.761.445;322.360;136.569;53.894;139.880;7.092.404;156.800;19.994.075;9.372.880;625.112;70.152;7.295;11.685;30.238.000;375.237;12.005.946;18.215.088;7.482.836;2.224.231;231.869;0;40.535.208;1.204.090;3.486.882;3.275.899;3.784.478;1.014.310;295.121;92.911;13.153.691;346.818;3.914.134;8.860.327;13.062.289;3.759.658;3.604.213;1.945.133;35.492.571;18.522;1.670.709;4.571.232;2.156.120;640.977;369.522;1.825;9.428.908;429.025;1.024.321;2.606.918;1.063.198;47.986;8.692;1.175;5.181.315;
3%;3 - Privado com Controle Estrangeiro;jun/17;12,61%;12,44%;18,81%;18,03%;13,40%;19,96%;19,23%;1,01%;16,36%;14,26%;32,74%;32,54%;28,40%;12,79%;4,95%;12,16%;21,02%;9,39%;17,10%;18,91%;44,11%;81,98%;6,97%;51,08%;17,75%;16,54%;39,02%;59,47%;34,30%;18,75%;3,51%;100,00%;42,97%;20,25%;37,28%;28,46%;21,03%;12,64%;2,85%;0,00%;25,44%;13,33%;17,44%;15,21%;11,90%;5,02%;3,11%;4,46%;11,52%;7,86%;10,28%;10,29%;8,22%;3,71%;1,95%;4,06%;5,71%;13,99%;13,29%;14,07%;11,79%;14,17%;7,48%;15,43%;12,93%;29,53%;16,10%;19,95%;6,88%;1,73%;1,64%;0,50%;13,00%;
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/17;1.385.564.589;10.229.371;58.226.760;76.200.097;96.045.110;15.724.152;6.125.587;1.847.933;264.399.010;1.074.430;6.255.080;12.199.843;15.984.117;6.247.005;22.063.891;3.522.014;67.346.381;2.867.419;24.038.480;7.732.488;665.841;154.661;764.394;269.961;36.493.243;784.070;43.180.350;11.419.971;1.756.930;359.295;207.775;11.685;57.720.076;1.853.339;32.197.450;63.992.292;35.547.662;17.595.983;8.109.399;0;159.296.124;8.817.864;19.294.925;20.465.485;30.794.223;19.854.642;9.311.064;2.064.161;110.602.363;1.736.289;18.689.282;43.940.396;72.685.284;35.994.904;66.923.820;22.121.460;262.091.436;115.030;11.877.397;31.178.884;16.017.861;2.945.705;3.017.035;11.691;65.163.603;1.451.767;6.355.051;13.055.276;15.417.788;2.771.574;531.368;235.525;39.818.350;
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/17;76,51%;95,68%;92,79%;90,84%;92,88%;89,03%;90,80%;99,59%;92,12%;86,65%;72,57%;71,18%;70,82%;81,40%;98,00%;99,91%;80,87%;96,77%;93,43%;83,02%;91,11%;92,85%;98,82%;98,59%;91,35%;82,71%;84,26%;72,46%;96,39%;96,05%;100,00%;100,00%;82,02%;100,00%;99,99%;100,00%;99,93%;100,00%;99,75%;0,00%;99,97%;97,59%;96,49%;95,05%;96,81%;98,21%;98,24%;99,05%;96,89%;39,35%;49,10%;51,04%;45,73%;35,55%;36,24%;46,21%;42,18%;86,87%;94,45%;96,00%;87,61%;65,11%;61,08%;98,84%;89,33%;99,92%;99,86%;99,93%;99,83%;100,00%;100,00%;100,00%;99,88%;
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/17;38.054.191;112.508;1.480.944;1.086.639;855.531;306.659;36.322;0;3.878.604;78.793;1.419.817;2.630.557;2.928.480;320.132;23.783;0;7.401.561;0;0;0;0;0;0;0;0;53.993;4.404.611;3.995.121;58.823;14.686;0;0;8.527.234;0;3.511;0;25.967;0;20.170;0;49.648;44.958;121.932;89.929;60.635;13.222;233;0;330.910;266.110;2.323.739;5.427.038;7.333.736;1.803.056;305.420;18.164;17.477.263;3.047;19.937;95.247;160.233;81.531;21.456;0;381.450;0;0;0;0;0;0;0;0;
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/17;2,10%;1,05%;2,36%;1,30%;0,83%;1,74%;0,54%;0,00%;1,35%;6,35%;16,47%;15,35%;12,98%;4,17%;0,11%;0,00%;8,89%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,70%;8,60%;25,35%;3,23%;3,93%;0,00%;0,00%;12,12%;0,00%;0,01%;0,00%;0,07%;0,00%;0,25%;0,00%;0,03%;0,50%;0,61%;0,42%;0,19%;0,07%;0,00%;0,00%;0,29%;6,03%;6,11%;6,30%;4,61%;1,78%;0,17%;0,04%;2,81%;2,30%;0,16%;0,29%;0,88%;1,80%;0,43%;0,00%;0,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
