cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/17;877.178.197;2.310.368;11.984.231;31.816.252;57.347.692;30.914.267;15.040.034;405.240;149.818.085;1.539.152;4.850.263;11.406.590;11.894.217;4.477.693;1.884.949;1.255.572;37.308.436;452.004;2.021.809;4.831.420;5.658.775;556.764;1.542;31.404;13.553.718;1.576.925;12.959.553;34.871.147;80.080.816;64.405.182;178.902.357;80.612.617;453.408.598;2.965.977;25.241.629;5.212.359;370.542;3.929;2.787;768.496;34.565.719;2.671.070;22.113.877;39.265.671;42.917.007;24.991.830;23.716.234;957.278;156.632.967;2.797.927;8.052.715;7.668.085;5.115.909;2.430.795;2.265.730;615.744;28.946.906;2.943.768
1%;1 - Público;jun/17;53,10%;62,03%;44,89%;45,74%;47,95%;52,90%;66,64%;99,71%;49,78%;25,14%;25,51%;35,84%;40,37%;54,06%;72,91%;98,96%;37,85%;15,23%;9,47%;9,55%;9,13%;7,56%;4,65%;92,78%;9,39%;87,36%;84,20%;85,63%;85,40%;84,88%;82,38%;75,21%;82,15%;16,54%;20,87%;13,28%;17,93%;2,65%;5,85%;100,00%;19,08%;77,78%;67,26%;62,11%;71,86%;75,61%;83,54%;99,98%;70,67%;29,97%;28,30%;32,62%;24,29%;30,03%;51,75%;90,20%;30,31%;5,09%
2;2 - Privado Nacional;jun/17;571.547.096;989.922;11.747.680;30.078.611;50.180.451;22.539.651;5.874.740;965;121.412.019;4.064.872;12.436.633;17.314.396;13.519.647;2.715.912;638.564;13.061;50.703.085;1.708.738;11.598.742;27.397.630;34.031.105;4.201.267;18.952;1;78.956.436;183.145;1.317.379;3.151.903;7.993.658;7.310.241;28.146.286;22.342.946;70.445.558;12.094.114;72.709.057;26.896.414;761.020;23.015;2.668;0;112.486.288;498.584;8.947.071;18.209.305;9.444.890;4.323.120;3.168.258;155;44.591.383;4.803.650;14.986.827;10.175.752;10.201.438;3.403.453;1.292.841;62.590;44.926.552;48.025.775
2%;2 - Privado Nacional;jun/17;34,60%;26,58%;44,01%;43,24%;41,96%;38,57%;26,03%;0,24%;40,34%;66,38%;65,42%;54,40%;45,89%;32,79%;24,70%;1,03%;51,44%;57,59%;54,31%;54,15%;54,90%;57,06%;57,08%;0,00%;54,70%;10,15%;8,56%;7,74%;8,52%;9,63%;12,96%;20,84%;12,76%;67,43%;60,13%;68,53%;36,83%;15,51%;5,60%;0,00%;62,10%;14,52%;27,21%;28,80%;15,81%;13,08%;11,16%;0,02%;20,12%;51,46%;52,67%;43,29%;48,43%;42,05%;29,53%;9,17%;47,04%;83,11%
3;3 - Privado com Controle Estrangeiro;jun/17;203.188.109;424.087;2.962.603;7.663.956;12.063.706;4.988.337;1.652.840;232;29.755.760;519.431;1.724.584;3.106.182;4.047.554;1.089.312;61.838;164;10.549.065;806.578;7.735.458;18.366.623;22.296.593;2.605.354;12.711;2.444;51.825.759;44.995;1.115.197;2.701.595;5.702.144;4.161.682;10.127.289;4.231.875;28.084.776;2.876.159;22.977.879;7.138.150;934.946;121.430;42.193;24;34.090.780;264.559;1.815.577;5.743.977;7.359.197;3.737.097;1.504.855;0;20.425.263;1.733.337;5.415.522;5.661.396;5.747.236;2.259.824;819.799;4.332;21.641.447;6.815.257
3%;3 - Privado com Controle Estrangeiro;jun/17;12,30%;11,39%;11,10%;11,02%;10,09%;8,54%;7,32%;0,06%;9,89%;8,48%;9,07%;9,76%;13,74%;13,15%;2,39%;0,01%;10,70%;27,18%;36,22%;36,30%;35,97%;35,38%;38,28%;7,22%;35,91%;2,49%;7,25%;6,63%;6,08%;5,48%;4,66%;3,95%;5,09%;16,04%;19,00%;18,19%;45,24%;81,84%;88,55%;0,00%;18,82%;7,70%;5,52%;9,09%;12,32%;11,31%;5,30%;0,00%;9,22%;18,57%;19,03%;24,09%;27,28%;27,92%;18,72%;0,63%;22,66%;11,79%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/17;1.540.869.711;3.683.744;26.001.093;67.687.226;116.744.038;57.284.243;22.021.422;406.049;293.827.814;5.027.087;14.986.989;25.233.943;24.114.179;6.916.667;2.078.825;1.255.810;79.613.500;2.647.486;17.677.249;41.964.907;52.095.523;6.449.049;29.631;33.849;120.897.695;1.795.297;15.322.917;40.525.013;93.289.843;75.579.824;216.651.117;106.929.700;550.093.711;15.770.644;111.388.804;35.108.993;1.749.830;146.359;47.612;768.520;164.980.762;3.042.085;27.005.949;49.561.802;51.830.767;29.328.999;25.931.442;957.364;187.658.408;8.480.175;25.134.714;20.572.495;19.536.629;7.595.242;4.056.594;637.169;86.013.019;57.784.800
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/17;93,28%;98,91%;97,40%;97,31%;97,62%;98,02%;97,58%;99,90%;97,62%;82,10%;78,83%;79,28%;81,85%;83,51%;80,41%;98,98%;80,78%;89,22%;82,77%;82,94%;84,04%;87,58%;89,23%;100,00%;83,76%;99,46%;99,55%;99,51%;99,48%;99,61%;99,76%;99,76%;99,67%;87,93%;92,11%;89,46%;84,68%;98,64%;99,92%;100,00%;91,08%;88,58%;82,14%;78,40%;86,79%;88,74%;91,34%;99,99%;84,66%;90,84%;88,33%;87,52%;92,75%;93,84%;92,65%;93,34%;90,05%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/17;32.784.638;1.422;29.521;73.261;85.854;14.232;20.345;0;224.636;56.341;79.929;97.524;38.172;3.262;0;0;275.227;254.330;3.011.663;7.040.840;7.935.251;700.428;929;0;18.943.442;0;0;0;0;0;0;0;0;969.543;3.204.235;1.458.969;182.840;0;0;0;5.815.587;74.061;437.258;1.833.823;2.983.887;1.564.273;484.158;0;7.377.460;15.572;28.132;41.812;50.232;11.312;1.225;0;148.286;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/17;1,98%;0,04%;0,11%;0,11%;0,07%;0,02%;0,09%;0,00%;0,07%;0,92%;0,42%;0,31%;0,13%;0,04%;0,00%;0,00%;0,28%;8,57%;14,10%;13,92%;12,80%;9,51%;2,80%;0,00%;13,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,41%;2,65%;3,72%;8,85%;0,00%;0,00%;0,00%;3,21%;2,16%;1,33%;2,90%;5,00%;4,73%;1,71%;0,00%;3,33%;0,17%;0,10%;0,18%;0,24%;0,14%;0,03%;0,00%;0,16%;0,00%
