Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41791;1305960804;649557527;1236309606;1031755035;69651198;5647025;5492;1547
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41791;1026770060;411006385;934077476;710445383;92692583;8211338;3978;891
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41791;963375376;552108104;935130857;826323004;28244519;3389467;3343;771
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41791;814363953;301503972;770771962;514701028;43591992;5471485;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41791;778950374;328458018;702048172;585839775;76902203;7226603;4698;1279
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41791;505919235;226178675;436705140;324619609;69214095;1603565;2736;1214
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41791;162131026;64681799;152115067;102963559;10015960;-16296;856;429
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41791;133054491;54141772;124944754;105483995;8109737;716952;106;8
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41791;116640123;16727964;103215006;74109991;13425118;1806774;13;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41791;98597384;53773124;91010807;60829670;7586576;292437;114;0
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41791;57271310;28062429;51997851;43748747;5273459;228135;523;210
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41791;53467786;16434887;46378761;25178382;7089024;107412;134;19
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41791;36407176;11704512;33192954;16612484;3214222;326012;272;5
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41791;30305539;1389678;26591315;12008179;3714224;141531;8;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41791;29487704;4700148;26123756;16499339;3363948;50072;10;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41791;27550782;2302716;25918111;6365530;1632671;9926;3;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41791;26321379;10899153;25290759;24783245;1030620;35955;5;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41791;25935224;22304560;23590065;18088282;2345158;134464;1;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41791;22774206;15837832;20602552;17360517;2171654;-149228;4;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41791;22029016;14761299;18565727;10813109;3463289;147276;23;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41791;21720109;7991489;21056439;19185920;663669;43086;4;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41791;19858553;8438299;17079285;9498714;2779268;58482;13;1
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41791;18236212;10325334;16204812;13314851;2031400;150474;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41791;16147146;9471379;13644558;12083534;2502588;132629;39;0
CCB - PRUDENCIAL;1000080295;b1;;C;2;SAO PAULO;SP;41791;15239259;10658583;13500008;11220555;1739250;-138815;37;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41791;14809735;4315366;13793692;13022176;1016043;67780;134;28
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;41791;14705632;9657822;13456771;11400165;1248861;71175;17;0
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41791;13487874;11678547;12013568;4677661;1474305;9562;1;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;41791;13413016;7754283;11336697;10746709;2076319;57769;51;1
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;41791;13320369;8655371;12516869;9553548;803501;-89889;192;3
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;41791;12405952;8533103;11180865;9215861;1225087;94945;115;7
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;I;1;PORTO ALEGRE;RS;41791;12382049;10516793;10584421;10098088;1797629;124373;3;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;41791;11847033;2717947;10170790;4330492;1676243;60112;123;4
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;41791;11383020;49534;9431603;6009634;1951417;107477;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;41791;11007939;10548560;9645462;8759725;1362478;72569;2;0
