cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;mar/17;887.032.237;6.364.671;24.600.158;27.155.250;44.379.594;10.792.543;3.531.322;1.679.507;118.503.045;382.921;1.798.538;3.165.603;8.342.352;5.301.369;20.710.094;3.107.845;42.808.722;1.001.638;3.136.593;4.269.541;234.865;0;0;118.765;8.761.401;454.016;5.473.006;1.270.191;504.204;75.970;44.454;63;7.821.904;608.851;13.393.894;15.717.505;15.962.002;9.067.945;4.051.869;0;58.802.067;5.469.733;5.648.484;7.858.735;18.340.263;16.348.449;7.191.920;973.838;61.831.422;3.777.243;27.386.064;60.483.977;120.606.895;85.926.648;167.290.935;44.051.838;509.523.599;370.734;4.557.361;11.069.466;6.071.649;2.762.454;3.812.983;10.099;28.654.747;471.564;4.658.980;6.118.671;6.654.673;522.451;350.872;18.242;18.795.454
1%;1 - Público;mar/17;48,41%;48,49%;37,53%;31,68%;43,65%;48,70%;50,60%;98,09%;39,91%;28,69%;20,05%;18,48%;36,67%;69,63%;93,49%;87,88%;51,28%;30,89%;11,39%;44,75%;32,57%;0,00%;0,00%;50,11%;20,79%;33,02%;10,73%;7,90%;27,03%;18,13%;16,73%;0,47%;11,02%;30,82%;30,90%;28,48%;41,87%;60,14%;62,75%;0,00%;36,71%;49,18%;29,25%;35,79%;57,75%;78,57%;75,24%;88,38%;53,48%;78,48%;74,57%;69,96%;72,76%;84,56%;90,87%;90,69%;81,13%;90,84%;31,83%;33,81%;43,96%;56,56%;81,45%;84,66%;40,44%;41,08%;63,72%;45,79%;39,74%;17,89%;20,23%;86,87%;43,47%
2;2 - Privado Nacional;mar/17;714.439.062;4.895.655;26.795.388;43.562.641;43.888.176;7.976.675;2.208.217;9.819;129.336.571;779.663;4.379.768;8.447.182;8.094.206;1.353.502;295.768;3.339;23.353.428;1.943.372;19.378.163;3.633.288;89.294;32.696;643.293;4.163;25.724.270;534.615;26.439.678;5.361.704;596.762;275.843;215.039;0;33.423.641;768.201;16.497.682;23.187.901;15.377.200;4.872.080;1.371.148;0;62.074.213;4.036.491;10.543.475;10.756.246;9.382.032;3.361.042;2.097.491;36.859;40.213.636;503.778;6.214.771;17.169.498;30.793.102;12.056.890;14.563.239;2.587.147;83.888.424;16.622;7.850.300;16.923.615;5.693.824;1.456.235;490.744;0;32.431.339;349.806;1.308.510;4.256.937;8.565.520;2.261.945;188.200;1.449;16.932.367
2%;2 - Privado Nacional;mar/17;38,99%;37,30%;40,88%;50,82%;43,16%;35,99%;31,64%;0,57%;43,56%;58,41%;48,83%;49,32%;35,58%;17,78%;1,34%;0,09%;27,97%;59,92%;70,40%;38,08%;12,38%;18,36%;92,41%;1,76%;61,04%;38,88%;51,85%;33,35%;31,99%;65,84%;80,91%;0,00%;47,07%;38,89%;38,06%;42,01%;40,34%;32,31%;21,24%;0,00%;38,75%;36,29%;54,61%;48,98%;29,54%;16,15%;21,94%;3,35%;34,78%;10,47%;16,92%;19,86%;18,58%;11,87%;7,91%;5,33%;13,36%;4,07%;54,83%;51,69%;41,23%;29,82%;10,48%;0,00%;45,77%;30,48%;17,90%;31,86%;51,16%;77,46%;10,85%;6,90%;39,16%
3;3 - Privado com Controle Estrangeiro;mar/17;230.986.522;1.864.512;14.157.483;15.009.587;13.409.509;3.394.005;1.239.114;22.967;49.097.176;172.332;2.790.953;5.515.042;6.312.231;958.989;1.145.176;425.407;17.320.131;298.075;5.011.418;1.637.804;396.969;145.426;52.818;114.081;7.656.590;386.320;19.082.532;9.444.068;764.436;67.159;6.290;13.335;29.764.139;598.242;13.455.215;16.291.820;6.780.552;1.137.125;1.033.828;1.913;39.298.695;1.615.738;3.115.942;3.345.487;4.037.007;1.098.263;268.755;91.137;13.572.329;531.770;3.122.023;8.796.717;14.361.705;3.631.806;2.237.832;1.932.725;34.614.579;20.783;1.909.943;4.746.960;2.045.654;665.234;377.812;1.830;9.768.216;326.423;1.344.434;2.986.132;1.523.375;135.575;1.194.985;1.308;7.512.233
3%;3 - Privado com Controle Estrangeiro;mar/17;12,61%;14,21%;21,60%;17,51%;13,19%;15,31%;17,76%;1,34%;16,53%;12,91%;31,12%;32,20%;27,75%;12,60%;5,17%;12,03%;20,75%;9,19%;18,21%;17,17%;55,05%;81,64%;7,59%;48,13%;18,17%;28,10%;37,42%;58,75%;40,98%;16,03%;2,37%;99,53%;41,92%;30,29%;31,04%;29,52%;17,79%;7,54%;16,01%;100,00%;24,53%;14,53%;16,14%;15,23%;12,71%;5,28%;2,81%;8,27%;11,74%;11,05%;8,50%;10,18%;8,66%;3,57%;1,22%;3,98%;5,51%;5,09%;13,34%;14,50%;14,81%;13,62%;8,07%;15,34%;13,79%;28,44%;18,39%;22,35%;9,10%;4,64%;68,91%;6,23%;17,37%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/17;1.404.954.113;12.582.419;60.758.349;78.111.374;94.717.751;20.360.110;6.400.299;1.704.802;274.635.105;1.152.953;6.541.455;12.284.912;16.134.523;6.160.944;21.673.625;3.533.631;67.482.043;3.147.195;25.881.965;7.895.860;646.033;165.585;687.753;232.845;38.657.236;1.173.009;43.982.909;11.629.733;1.797.772;410.302;265.783;13.397;59.272.905;1.975.295;43.346.792;55.194.731;38.093.788;15.077.151;6.439.632;0;160.127.387;10.933.795;18.566.274;20.899.108;30.781.837;20.474.225;9.419.646;1.081.739;112.156.625;2.076.275;16.948.199;44.084.233;77.978.640;35.933.672;65.993.554;22.317.788;265.332.360;394.482;13.726.557;31.231.117;11.749.282;3.183.843;2.843.736;11.635;63.140.653;1.147.040;7.282.876;13.352.329;16.733.446;2.919.967;1.734.055;20.999;43.190.712
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/17;76,67%;95,87%;92,69%;91,12%;93,16%;91,86%;91,71%;99,56%;92,49%;86,37%;72,93%;71,72%;70,92%;80,92%;97,84%;99,92%;80,83%;97,04%;94,03%;82,76%;89,59%;92,96%;98,80%;98,24%;91,73%;85,31%;86,25%;72,34%;96,37%;97,93%;100,00%;100,00%;83,47%;100,00%;100,00%;100,00%;99,93%;100,00%;99,73%;0,00%;99,97%;98,31%;96,16%;95,17%;96,92%;98,40%;98,55%;98,18%;97,01%;43,14%;46,15%;50,99%;47,04%;35,36%;35,85%;45,95%;42,25%;96,65%;95,87%;95,39%;85,07%;65,19%;60,74%;97,53%;89,11%;99,93%;99,60%;99,93%;99,94%;100,00%;100,00%;100,00%;99,89%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/17;38.317.491;152.654;1.715.874;1.127.461;771.742;319.390;46.052;0;4.133.172;86.961;1.462.623;2.572.531;2.943.591;314.315;25.399;0;7.405.421;0;0;0;0;0;0;0;0;84.693;3.297.646;4.119.257;59.114;8.409;0;0;7.569.119;0;0;2.495;25.967;0;17.213;1.913;47.588;11.552;163.093;102.610;59.179;10.623;375;0;347.431;437.917;2.238.809;5.692.050;7.867.674;1.826.886;333.181;20.549;18.417.066;472;42.610;63.871;163.240;85.701;27.403;0;383.297;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/17;2,09%;1,16%;2,62%;1,32%;0,76%;1,44%;0,66%;0,00%;1,39%;6,51%;16,31%;15,02%;12,94%;4,13%;0,11%;0,00%;8,87%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;6,16%;6,47%;25,62%;3,17%;2,01%;0,00%;0,00%;10,66%;0,00%;0,00%;0,00%;0,07%;0,00%;0,27%;100,00%;0,03%;0,10%;0,84%;0,47%;0,19%;0,05%;0,00%;0,00%;0,30%;9,10%;6,10%;6,58%;4,75%;1,80%;0,18%;0,04%;2,93%;0,12%;0,30%;0,20%;1,18%;1,75%;0,59%;0,00%;0,54%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
