cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/17;862.004.644;2.373.079;11.800.195;31.309.366;56.191.178;30.024.993;14.330.654;382.525;146.411.989;1.736.292;4.824.418;11.271.517;11.756.425;4.497.200;1.767.448;1.156.744;37.010.043;501.696;2.254.656;5.316.819;6.453.727;688.344;1.930;27.786;15.244.956;1.686.330;12.793.986;34.274.751;78.727.235;63.193.005;174.980.568;78.750.979;444.406.855;3.196.160;25.834.984;4.916.669;203.987;1.563;1.069;740.022;34.894.453;3.322.137;14.784.754;48.813.754;36.823.675;24.011.859;23.769.558;1.076.251;152.601.988;2.935.914;8.332.959;7.677.411;5.266.015;2.484.754;2.370.197;528.306;29.595.556;1.838.805
1%;1 - Público;mar/17;52,87%;62,41%;44,81%;45,77%;47,87%;52,77%;68,06%;99,70%;49,75%;27,71%;24,77%;35,91%;40,33%;55,37%;74,65%;98,85%;37,79%;15,62%;10,36%;10,42%;10,46%;9,65%;5,18%;92,15%;10,52%;87,93%;83,93%;85,51%;85,23%;84,70%;82,15%;74,80%;81,92%;17,31%;21,27%;13,25%;12,45%;1,15%;2,50%;100,00%;19,43%;82,14%;55,09%;66,89%;69,19%;74,86%;82,50%;100,00%;69,67%;31,06%;27,54%;33,64%;24,76%;30,56%;53,62%;86,89%;30,52%;3,32%
2;2 - Privado Nacional;mar/17;567.479.965;1.032.010;11.716.729;29.833.207;49.828.555;22.299.334;5.348.084;933;120.058.852;4.073.414;13.231.559;17.041.695;13.666.283;2.610.607;541.049;13.321;51.177.928;1.847.589;11.764.793;27.477.239;33.731.506;4.052.985;21.651;0;78.895.763;184.879;1.351.139;3.107.499;7.937.354;7.249.281;27.894.796;22.264.968;69.989.916;12.337.873;72.917.784;25.459.161;549.401;12.054;746;0;111.277.019;560.930;8.400.233;19.880.883;9.193.370;4.116.593;3.129.565;14;45.281.588;4.767.070;16.008.414;9.899.794;10.387.076;3.379.358;1.272.455;75.943;45.790.111;45.008.788
2%;2 - Privado Nacional;mar/17;34,80%;27,14%;44,49%;43,61%;42,45%;39,19%;25,40%;0,24%;40,80%;65,00%;67,95%;54,29%;46,88%;32,14%;22,85%;1,14%;52,25%;57,51%;54,06%;53,86%;54,69%;56,82%;58,17%;0,00%;54,46%;9,64%;8,86%;7,75%;8,59%;9,72%;13,10%;21,15%;12,90%;66,83%;60,02%;68,63%;33,53%;8,86%;1,74%;0,00%;61,96%;13,87%;31,30%;27,24%;17,27%;12,83%;10,86%;0,00%;20,67%;50,44%;52,91%;43,38%;48,83%;41,56%;28,79%;12,49%;47,23%;81,28%
3;3 - Privado com Controle Estrangeiro;mar/17;201.077.626;397.015;2.817.375;7.268.967;11.369.875;4.577.537;1.375.698;223;27.806.690;456.658;1.417.276;3.078.965;3.727.521;1.014.962;59.096;164;9.754.643;863.514;7.743.827;18.223.432;21.497.649;2.392.291;13.643;2.367;50.736.722;46.678;1.098.658;2.700.856;5.704.003;4.162.031;10.118.796;4.266.045;28.097.068;2.927.259;22.726.299;6.721.880;885.133;122.414;40.927;23;33.423.934;161.495;3.652.298;4.283.599;7.206.026;3.947.030;1.912.650;0;21.163.096;1.748.047;5.915.317;5.242.233;5.617.022;2.267.198;777.635;3.798;21.571.250;8.524.223
3%;3 - Privado com Controle Estrangeiro;mar/17;12,33%;10,44%;10,70%;10,63%;9,69%;8,04%;6,53%;0,06%;9,45%;7,29%;7,28%;9,81%;12,79%;12,50%;2,50%;0,01%;9,96%;26,88%;35,58%;35,72%;34,85%;33,54%;36,65%;7,85%;35,02%;2,43%;7,21%;6,74%;6,18%;5,58%;4,75%;4,05%;5,18%;15,86%;18,71%;18,12%;54,02%;89,99%;95,75%;0,00%;18,61%;3,99%;13,61%;5,87%;13,54%;12,31%;6,64%;0,00%;9,66%;18,50%;19,55%;22,97%;26,41%;27,88%;17,59%;0,62%;22,25%;15,39%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/17;1.514.515.640;3.763.773;25.632.913;66.643.563;114.682.026;55.805.618;20.579.316;383.300;287.490.509;4.400.730;14.078.886;24.280.193;23.786.626;6.821.816;1.884.865;1.156.956;76.410.071;2.716.910;17.690.303;41.592.305;51.328.432;6.220.891;33.605;30.153;119.612.598;1.908.335;15.163.207;39.896.336;91.894.898;74.297.777;212.456.247;105.009.414;540.626.214;16.154.967;112.129.789;33.551.719;1.417.721;134.207;42.670;740.044;164.171.117;3.705.183;18.983.564;60.131.746;45.211.208;28.188.318;26.142.693;1.076.069;183.438.781;8.764.415;26.484.013;20.029.598;19.771.070;7.661.773;4.120.111;563.554;87.394.534;55.371.815
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/17;92,88%;98,99%;97,34%;97,42%;97,69%;98,07%;97,74%;99,90%;97,69%;70,23%;72,30%;77,34%;81,60%;83,98%;79,61%;98,87%;78,02%;84,57%;81,29%;81,53%;83,21%;87,21%;90,28%;100,00%;82,56%;99,50%;99,47%;99,53%;99,49%;99,59%;99,75%;99,74%;99,66%;87,51%;92,30%;90,44%;86,52%;98,66%;99,83%;100,00%;91,41%;91,61%;70,74%;82,40%;84,95%;87,88%;90,74%;99,98%;83,74%;92,74%;87,53%;87,77%;92,95%;94,23%;93,21%;92,68%;90,14%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/17;33.339.225;1.414;28.263;69.793;79.675;14.152;14.865;0;208.162;63.070;92.531;87.782;42.308;3.748;1;0;289.441;270.324;3.090.978;7.167.662;7.888.709;687.898;982;0;19.106.552;0;0;0;0;0;0;0;0;1.058.056;3.244.653;1.274.822;164.127;0;0;0;5.741.659;46.723;1.222.757;936.045;3.255.134;1.717.085;651.408;0;7.829.151;7.238;57.270;38.117;51.303;10.294;37;0;164.259;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/17;2,04%;0,04%;0,11%;0,10%;0,07%;0,02%;0,07%;0,00%;0,07%;1,01%;0,48%;0,28%;0,15%;0,05%;0,00%;0,00%;0,30%;8,41%;14,20%;14,05%;12,79%;9,64%;2,64%;0,00%;13,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,73%;2,67%;3,44%;10,02%;0,00%;0,00%;0,00%;3,20%;1,16%;4,56%;1,28%;6,12%;5,35%;2,26%;0,00%;3,57%;0,08%;0,19%;0,17%;0,24%;0,13%;0,00%;0,00%;0,17%;0,00%
