Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2013;567342968;309886068;76320637;99449035;18990303;3297448;7099759;2549125;2221604;12454188;35074802
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2013;487574478;54718510;267307654;57862877;71810964;12132792;5087507;2082293;1764375;14807505;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2013;427634980;145102333;101111914;24684600;14056035;6096497;3128142;2523584;2869410;12487850;115574615
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2013;350645970;39347841;119555201;58224848;44961189;6252418;3137032;2006895;1636701;10498933;65024913
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2013;280645850;104533658;105543786;59957509;9156291;352978;727246;0;5910;368472;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2013;227051699;42838485;106825044;19539736;14199340;5156181;2411805;3789472;1423004;8231449;22637184
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2013;63018794;24422241;19774992;5805856;1326958;783911;328105;396836;513017;2375785;7291094
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2013;58583884;4044164;29309926;9026378;7813019;1380872;706673;698037;1329252;2210946;2064618
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2013;54237776;32189538;8373625;2476410;977020;331179;230622;125516;71603;811752;8650511
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2013;25572517;3677781;9604997;5631776;3918287;1075286;354643;325046;90324;724126;170252
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2013;23741852;5139437;10180342;3499762;1420565;1278363;366197;309921;227900;1319365;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2013;22110574;708352;14865314;3403895;1814533;328868;314404;93101;90640;491466;0
