Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2013;335013205;1241622;10610152;25818738;28002371;8865550;1557238;207;76095877;46771;1196595;3861810;5418160;8667846;21702686;3622363;44516231;114821;2921590;1080929;579783;0;0;0;4697124;602434;13433930;3767016;1123055;8283;0;251338;19186056;82181;4967957;8005127;363805;55234;304;0;13474609;373661;2778638;1383504;2078905;922978;4766666;52826;12357177;371093;6384829;15293978;30704032;10884650;13888964;5383384;82910930;80799;5053686;18296118;13416701;3153710;5566964;38248;45606226;4057;92348;769877;2034777;449902;12783;27;3363771;32805204
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2013;280644864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67304;11787113;23959574;64428498;52943327;109567714;17891334;280644864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2013;261119943;965633;10715795;15982883;12569578;1960086;474692;8227;42676895;99909;1439068;4145261;5141892;1285089;534806;0;12646026;973873;9640321;448278;0;0;0;0;11062471;123994;12671419;2094604;61245;1381;0;0;14952643;98619;2257026;3468158;3399215;760681;530532;0;10514232;627922;2516859;2550880;2774835;514738;128349;0;9113583;109627;3338662;8487921;18005519;6404286;4885908;276042;41507964;21019;1542264;4076005;685505;160343;295121;0;6780257;44054;769152;3126246;4459172;465075;989925;910;9854536;102011335
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2013;223550562;645758;10041515;15804302;14992901;3305195;826025;0;45615694;185449;2151925;4483515;4951549;674922;31755;101;12479215;463630;8697489;2566410;1921;0;0;0;11729450;279022;9698607;961089;21316;8248;0;0;10968283;27326;3489786;5123527;5876372;1039568;277574;0;15834153;692680;2302687;2218374;2062700;888090;150918;133;8315583;80492;3160602;7087722;14702152;4938325;3184388;424482;33578163;9382;545054;2208313;196590;1127998;1241894;0;5329230;33073;90707;1278929;7269829;3891746;2297289;114881;14976454;64724337
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2013;139524879;3077529;8033632;18010129;28332004;4671352;888160;0;63012807;634511;392524;554611;1224842;839912;140383;7;3786790;592718;767831;2957917;27913;30591;34;0;4377004;60080;1439470;103299;0;0;0;0;1602850;1020;39838;546716;756282;5303371;3932531;0;10579759;175959;911793;469522;26153;8924;6273;0;1598624;256371;2322396;5417855;9719563;6104167;18777239;7235747;49833337;0;0;0;0;0;0;0;0;16547;1723294;1243718;1102330;332421;304412;10984;4733708;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2013;108167577;1100338;6934658;9984175;9897821;1933989;964130;55619;30870729;75613;885364;1880810;2193718;396474;909368;549094;6890441;512124;4734674;1326104;483487;240035;97942;1908;7396274;89375;9688790;2964770;95888;24960;10783;733;12875300;66923;3036322;3483694;4227075;899751;258104;0;11971870;596968;2186974;1731645;2338329;740997;363280;17924;7976117;31447;794946;2001001;3169645;1136341;528994;523;7662896;386;324431;1773625;74236;15878;33979;0;2222536;12704;676135;2558306;3706008;143835;1889323;0;8986311;11315102
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2013;46521512;197206;4609346;4749463;4607966;819432;119531;0;15102944;39803;1511751;1760112;1468230;657674;371466;0;5809035;62244;1790601;113994;0;0;0;0;1966839;2410;2616689;621287;135102;88;26;0;3375603;1417;595288;618677;78043;0;0;0;1293425;27124;24702;10832;1911;0;0;0;64569;57750;918731;2444707;3929513;894565;379256;0;8624521;2103;240327;1141857;55952;10352;5890;0;1456481;0;7350;87415;97097;26209;0;0;218071;8610023
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2013;43290088;237959;3609755;4664111;3232625;705273;67071;0;12516794;11774;196788;456300;585314;72335;186;0;1322696;80570;1703100;843516;0;14;0;0;2627200;113592;2908275;522311;53386;1232;1591;2268;3602656;69417;2029540;2865192;1969066;850954;107779;1927;7893874;106261;137682;77346;119459;75799;25256;1560;543363;18106;913925;700996;1651691;288903;156809;0;3730429;7586;408572;1628797;102225;11817;760;0;2159757;1;381293;832911;380163;7858;0;0;1602225;7291094
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2013;19149300;205568;1201050;2210067;1589484;435545;199522;0;5841238;38240;274830;659383;660902;111250;3;0;1744608;349;63058;4017;0;0;0;0;67424;3967;36929;20948;0;0;0;0;61844;39637;536629;1085111;1018716;579765;744655;0;4004513;612482;115831;114667;2940;106;0;0;846026;5818;389975;924786;1529678;589761;597237;14610;4051864;1266;103608;223078;131995;3635;3583;0;467165;0;0;0;0;0;0;0;0;2064618
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2013;14259318;113;38558;75705;94432;35105;6;0;243919;23073;888867;704387;612955;45528;34;0;2274844;0;0;0;0;0;0;0;0;22150;2209177;558800;0;0;0;0;2790127;0;0;0;0;0;0;0;0;254;60723;6125;16639;4201;0;0;87941;100593;941586;2519206;4064815;1186581;49705;0;8862486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
