Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2013;348049599;5535656;5555559;7717081;16049230;8493251;2273781;0;45624558;1633392;1327441;2224968;2866436;342881;607;0;8395724;500257;880455;1987446;3374970;688884;927;0;7432937;1449996;8688654;23227806;52385253;40843289;102199403;32425379;261219780;773145;5912263;1512605;76325;374;0;0;8274712;1273;483724;552010;84248;71543;112093;0;1304891;1772142;4119223;3815421;2663715;1527661;1767510;131324;15796997;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2013;232329763;229549;4001529;10985942;22420327;10916149;3883607;0;52437103;421000;2913658;6718945;9558190;3582105;1264645;0;24458543;50785;1304809;3443500;5291420;1028555;0;0;11119069;13641;304961;703428;1845478;1776634;7660381;5947152;18251675;1058915;16272898;2527618;8286;10;0;0;19867726;971083;6989647;35062409;22251696;14336023;16423962;1492597;97527417;307588;1493400;2897189;960247;405969;334211;29;6398633;2269598
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2013;166515037;108054;1676788;4221264;8521018;3903223;23390;0;18453738;521222;3169538;4744656;3967792;297567;148422;0;12849196;1260332;5039421;12457812;19176225;2137728;4459;0;40075977;53130;468518;1138858;2242953;2059557;7654661;6359038;19976715;3468620;31946141;11585904;163924;0;0;0;47164588;1598;18272;120230;105889;74399;87235;0;407623;1174166;4810721;2676035;4291307;1016077;55615;0;14023921;13563279
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2013;127095408;150914;2731384;6875983;11282953;4004978;525963;0;25572175;637206;4091257;5329097;4009047;563161;166629;26;14796422;503734;3884524;9223465;11667309;1197599;6065;6;26482702;40052;223729;628354;1603116;1463432;5267344;3598337;12824364;2808424;14532253;5761900;137490;1018;46;0;23241132;100737;1149559;6998147;3629752;1717777;740686;0;14336658;990061;4296067;1921439;1674586;459405;189914;9907;9541380;300576
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2013;118884122;548224;1406288;3534597;5474275;1740383;366390;6200;13076357;835020;1486652;3217710;4718052;1056654;97130;1705;11412921;536539;4604914;11178690;15424570;1979804;9054;4797;33738368;25511;675882;1581245;3319965;2402273;5616658;2080480;15702015;1221764;12600447;2648399;520840;187467;39214;2664;17220795;54094;246944;1439175;607881;265911;125437;655;2740098;1561740;4730453;2708516;3065445;1232658;367226;5447;13671486;11322082
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2013;39434584;159632;996832;2399149;3365762;671082;317;0;7592774;3708;22374;37961;11167;421;2;0;75632;916970;4569480;10823335;13560730;1410682;556;0;31281753;0;0;0;0;0;0;0;0;128156;121729;23003;25;0;0;0;272913;1145;2196;17866;27888;34500;46842;0;130437;2867;15677;28025;19088;12991;2427;0;81075;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2013;19728706;8276;93835;248727;408502;76160;2325;21;837846;583255;1467555;2056660;1134624;53458;2;1648;5297203;58066;401214;961619;1280946;168186;269;0;2870301;5661;86217;195862;506338;281066;1994533;1170153;4239831;343306;2668283;392576;741;0;0;32;3404939;22917;125731;1141895;426713;1749;0;0;1719005;180864;578686;503619;45712;15084;31771;3846;1359581;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2013;18595556;208926;1758577;4571735;7246495;2366527;215577;77;16367914;9011;5651;3817;9237;552;25;0;28292;46329;154022;339985;268535;19880;0;0;828750;5;45;108;330;406;1220;0;2114;123042;1033005;0;0;0;0;0;1156048;0;0;0;0;0;0;0;0;4341;29197;73915;95954;9013;17;0;212438;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2013;13671953;17864;69683;150534;257270;62637;407;0;558395;90584;250368;539342;957395;102016;37;0;1939742;327;8054;19966;22297;3744;4;0;54391;607;10384;24203;62659;57262;213044;151564;519724;871160;7196807;1692469;324054;350;0;0;10084842;0;0;57159;0;0;0;0;57159;67549;180529;169212;40319;89;0;3;457701;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2013;12702551;63791;618071;1688999;3113763;1156763;148683;356;6790427;34225;322530;494869;189480;13618;32961;3;1087685;709;20424;55556;85183;13320;154;0;175345;1246;33681;95581;260185;233783;864805;579982;2069263;25788;44993;8584;1810;0;0;0;81176;16734;144683;502243;249564;157105;233290;0;1303619;107834;545803;188272;207993;88425;56482;229;1195037;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2013;11483042;36552;177198;466168;792570;338950;67492;0;1878930;8447;15563;34003;20283;95;6;0;78398;215844;660701;1741444;4033687;907156;1328;0;7560160;2709;12600;31845;71410;54740;126836;31725;331864;167983;803182;124337;25229;1875;134;0;1122740;0;0;0;0;0;0;0;0;6073;29814;132206;161886;61232;103852;15887;510950;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2013;8536341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50510;1050280;2747502;4067078;620057;914;0;8536341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2013;7851255;239;8821;18802;21678;1974;0;0;51514;302;517;1053;1037;41;0;0;2951;69943;1028373;2620578;3535605;540949;1265;0;7796713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;31;24;6;0;0;0;77;0
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2013;7716264;6428;77678;218127;331390;94778;1948;0;730348;13001;85394;75621;85415;35123;1300;0;295855;44318;543481;1288435;1341136;67529;40;0;3284939;99;335;627;1754;1196;1211;0;5223;2393;74578;15928;12;0;0;0;92911;21;8880;46468;29977;11299;1477;96;98219;2152;2244243;834616;62016;24279;976;0;3168281;40488
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2013;6207996;8371;273533;681833;1551534;891482;123821;0;3530575;24305;223424;325277;567290;231949;35886;0;1408130;1992;15851;43252;79605;20371;16;0;161087;1127;24985;32200;82899;73939;88746;0;303895;12;2727;143;0;0;0;0;2883;11053;26787;160065;59119;28796;23554;0;309374;15061;42233;174777;71153;50372;22615;115841;492051;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2013;5235355;50718;414909;1076311;1685491;461127;2410;0;3690965;35352;159796;287759;342163;94659;592;2;920323;2358;22794;54494;68254;4981;0;0;152880;10;340;940;1920;1161;1301;0;5673;22084;121268;0;0;0;0;0;143351;0;908;29943;1759;573;23697;0;56880;33230;108419;83235;31799;6982;1620;0;265284;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2013;5173474;34611;289122;849715;1655061;663153;11615;0;3503278;19620;27723;32471;8016;78;0;0;87908;1464;5441;9743;3787;0;0;0;20435;0;0;0;0;0;0;0;0;152949;985580;395209;27298;0;0;0;1561035;0;0;0;0;0;0;0;0;0;345;89;384;0;0;0;818;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2013;4776452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37361;148326;1773577;654529;404630;233469;0;3251892;22060;62340;572968;453396;309856;103938;0;1524559;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/12/2013;4367896;21217;282317;804983;1566840;660742;114479;0;3450577;7084;30561;57894;52464;12699;192;0;160893;23649;99269;236179;318469;26308;21;0;703894;0;0;0;0;0;0;0;0;5;258;71;0;0;0;0;334;0;338;0;0;0;0;0;338;3837;20658;21669;5308;388;0;0;51860;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2013;4042996;0;0;0;0;0;0;0;0;178;956;3515;4819;1853;2385;0;13707;139;1792;3341;1305;0;0;0;6577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66980;191228;968273;1717800;852148;223783;0;4020210;404;256;1836;0;5;0;0;2501;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2013;3668690;457;9405;26969;48643;18180;314;0;103968;6896;4772;13060;16093;400;27;0;41247;0;0;0;0;0;0;0;0;0;2;5;13;13;66;144;243;0;0;0;0;0;0;0;0;429789;4853;38242;7749;3554;669955;0;1154142;33311;1405664;843447;64565;16518;5585;0;2369091;0
