Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2016;694067527;375315000;78606111;96144754;79105298;29585907;7044313;5344413;3313979;19607753;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2016;635896147;267731770;95288742;113424196;64275736;13617038;15716182;6055537;5702089;16306127;37778730
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2016;538200734;131453862;120465603;16544096;14711024;8925906;6372841;3867691;3918650;13860641;218080420
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2016;439331540;98429504;120221574;42852157;35909351;11062097;5910475;3711609;3096185;23128270;95010318
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2016;342672044;50483307;95712262;141906542;32230769;7515540;9472088;364813;4077991;908732;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2016;255591245;81659897;89963237;17338776;12478470;10724928;3537078;2709193;2196159;8097431;26886076
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2016;51965692;29629938;8080949;1700293;941806;255614;80910;223437;32759;1181078;9838907
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2016;47204225;3258033;21788054;7317001;8062906;1670256;575615;466805;441712;2137921;1485922
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2016;29164206;5460671;13276161;4398200;2027482;1155504;341247;387849;334858;1628095;154139
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2016;19746972;5881131;8733428;2259965;237970;1130529;282200;122933;217711;881106;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2016;18917157;0;14075977;1592296;1024492;793198;329044;243240;172941;685968;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2016;16141093;15755663;333354;38484;2572;321;329;170;161;10038;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2016;15904150;1161528;4147582;7636770;1318390;943526;197481;33648;116333;348892;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2016;14687682;365131;8926663;2238363;1286518;668738;286876;159076;122878;633438;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/12/2016;13837340;183;6342947;4897977;1316127;215278;79789;152153;213217;372566;247102
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2016;13476065;5869294;6177086;510698;216359;142711;76250;100613;44949;338106;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2016;12993935;5269455;3796590;837774;708113;756330;278696;141093;177293;1028592;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2016;12673854;2477717;8124098;1064031;263461;99122;62473;186710;55303;340940;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2016;12155104;367201;3775518;3690143;1475585;164267;294031;58159;6317;76598;2247284
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2016;11541362;6807925;4187061;339270;173120;12774;3860;4290;804;12258;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2016;10289701;941456;2684116;1105715;564648;1271715;483544;89916;14694;119617;3014279
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2016;9358126;5693414;1006790;1360685;534850;194063;72875;98090;70978;326381;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2016;8634567;149670;6875193;488033;808749;75136;38619;41823;28759;128585;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2016;8383312;0;6949290;415855;195059;197571;102414;51236;71419;400468;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2016;8021253;119815;3427646;2993866;803803;243308;93842;88822;19389;230762;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2016;7341745;250312;2946531;574182;687570;293978;209963;248579;44464;126748;1959417
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2016;7145759;837585;2308316;1446100;1215899;1024503;74317;32557;21988;184494;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2016;6790533;324928;2993399;2014319;860855;242469;153677;16649;20263;163973;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2016;6748244;1041627;4047711;1229433;236435;87723;9713;41457;6755;47390;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2016;6504600;32;2262605;352264;145265;81681;89517;0;109470;134803;3328962
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2016;6486436;564642;3382109;484507;520082;661239;179927;119427;83261;491242;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2016;5963803;1982239;998977;1278229;1041914;259584;278142;16621;14410;93685;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/12/2016;5431323;0;4074685;94259;93018;158499;134951;115512;104985;655414;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2016;5328584;1086139;2313142;764585;358929;160963;371921;36462;19460;68899;148084
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2016;5034963;33206;4467649;88021;71836;51284;60061;51539;30166;181199;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2016;4607581;0;3092153;847588;422209;42462;42717;41143;10154;109156;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/12/2016;4228187;552065;541219;1914014;229426;205410;137001;14876;26677;50160;557339
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2016;3987182;367954;2691681;459751;354494;56795;17746;9097;6498;23165;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2016;3914434;343262;445568;743287;1501051;247559;51872;167269;47694;8865;358006
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;01/12/2016;3814744;0;3117615;185701;220767;59444;43423;61762;20090;105943;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/12/2016;3769165;921969;1578841;789442;87446;125116;103188;34474;18675;110015;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/12/2016;3751622;1811971;774312;380691;204140;211910;95293;50445;39187;183674;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2016;3726125;1198572;606734;1358198;458333;28920;20237;2530;16986;35614;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/12/2016;3625994;0;3382051;11971;76162;10786;8123;19745;8877;108280;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/12/2016;3621736;606999;1035580;1068179;499225;198100;47099;49592;21874;95088;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/12/2016;3432649;6320;1539569;461576;843554;311159;62580;55597;33125;119170;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/12/2016;3275223;2196372;526089;231216;0;0;321546;0;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/12/2016;3205673;670463;1078379;713608;260607;105798;106241;72546;15057;182975;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/12/2016;2951591;0;1977591;105306;107718;89705;84692;79624;68549;438408;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/12/2016;2950892;1483724;429551;505314;83663;232033;74872;2645;46181;92909;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/12/2016;2798051;1243824;1041290;56719;32162;91634;207768;109302;0;15352;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/12/2016;2693346;119751;1790860;470304;173619;54738;19312;7831;10748;46184;0
