Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2016;694067527;141499415;459282719;28835655;0;10;50538629;0;0;647388;4145707;0;2;9064053;51767;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2016;635896147;363808136;61246520;18334529;202038;48082;106929657;0;41435629;2169654;242139;0;0;3599636;101398;37778730
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2016;538200734;229287523;46418984;9915431;1019799;4637077;26849886;160709;782216;479855;144970;0;0;5836;418027;218080420
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2016;439331540;202042606;55700579;27541828;16191;11923367;42290918;234550;415367;3539588;0;0;9049;0;607179;95010318
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2016;342672044;67456264;425;227260029;7759963;13571039;3240839;13199723;0;16635;10167128;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2016;255591245;155190760;44923222;6386698;7977;208216;20091407;1003129;0;152118;613872;0;3426;10131;114212;26886076
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2016;51965692;23357105;535219;2353377;0;1610665;13844379;293612;0;118039;481;0;13150;0;757;9838907
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2016;47204225;37999597;11359;1077134;61955;1661227;4695407;105606;0;0;91253;0;0;0;14765;1485922
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2016;29164206;18051134;5589640;286437;0;1023556;3839785;0;0;44932;0;0;0;156467;18115;154139
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2016;19746972;13688311;1158654;467760;0;794;4370264;55402;0;0;0;0;0;0;5788;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2016;18917157;15678890;595894;0;0;0;1918986;0;0;410719;94621;0;0;212797;5251;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2016;16141093;14738680;0;105609;0;962985;333546;0;0;0;0;0;0;0;273;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2016;15904150;13797569;143192;225931;0;0;1727048;0;0;0;7581;0;0;2829;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2016;14687682;11587376;0;1082301;0;0;2017918;0;0;0;0;0;0;0;86;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/12/2016;13837340;10771585;2957;169214;0;18968;1571834;329928;117405;234;0;0;5798;600838;1477;247102
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2016;13476065;9443006;41352;2700588;0;0;0;0;0;531315;0;0;357;759433;14;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2016;12993935;6934976;27946;1172930;0;1412066;1076600;0;20;2328346;0;0;40518;0;533;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2016;12673854;9716060;0;57362;0;2092568;782447;0;0;0;0;0;0;3980;21437;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2016;12155104;3286232;0;590837;0;9391;5520088;35339;0;0;26324;0;0;439607;2;2247284
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2016;11541362;11062645;67254;232902;0;0;171766;0;0;0;0;0;0;0;6795;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2016;10289701;625671;78716;2327425;0;0;3663409;0;0;80457;308892;0;0;190852;0;3014279
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2016;9358126;7946647;1079362;74261;0;246105;0;0;0;11136;0;0;0;0;614;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2016;8634567;8634565;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2016;8383312;7276960;0;0;0;34910;994770;0;0;0;0;0;0;71540;5132;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2016;8021253;6480916;0;1206288;0;0;0;334048;0;0;0;0;0;0;0;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2016;7341745;2669345;18913;0;0;0;2045246;0;630801;17201;0;0;0;0;821;1959417
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2016;7145759;6985701;0;159039;0;0;0;1019;0;0;0;0;0;0;0;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2016;6790533;6339472;0;98621;328544;0;0;23896;0;0;0;0;0;0;0;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2016;6748244;4898295;0;726339;0;6347;965010;150718;0;0;0;0;0;0;1536;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2016;6504600;355412;0;0;204628;0;1379503;0;0;0;1236094;0;0;0;0;3328962
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2016;6486436;4914722;116039;0;0;280015;1165146;0;0;0;0;0;0;0;10514;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2016;5963803;2222661;11608;1462678;0;65;40232;330552;17609;199962;567287;0;12689;1098461;1;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/12/2016;5431323;5411250;0;0;0;0;0;0;0;0;0;0;0;0;20073;0
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2016;5328584;3031269;0;0;0;0;1317338;0;0;3793;0;0;0;827386;714;148084
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2016;5034963;5026327;0;0;0;0;0;0;0;0;0;0;0;0;8636;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2016;4607581;4539343;0;29278;0;0;26194;12765;0;0;0;0;0;0;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/12/2016;4228187;1717946;950;0;0;506468;1445343;0;0;0;0;0;0;0;141;557339
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2016;3987182;3957398;0;0;0;0;29783;0;0;0;0;0;0;0;1;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2016;3914434;1219086;13063;40690;0;9085;1570955;96608;0;0;247890;0;0;359052;0;358006
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;01/12/2016;3814744;3539554;1485;18;0;3466;183006;20804;0;49460;0;0;0;12152;4800;0
