Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2016;502271651;1826241;5845927;14907972;24512654;11377776;5437883;368;63908822;1163965;1216974;2153547;1569112;14150;0;6155;6123903;444026;1558759;3628708;4548418;426320;365;1001;10607599;1584562;12140230;32346079;73821730;58529215;155069007;57649207;391140031;1980090;5929143;1692518;147415;12;0;0;9749178;221025;312908;1905524;824124;459838;175712;0;3899131;2438878;4040011;3720932;3608445;1452363;1494582;87777;16842988;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2016;304667144;175906;4532042;11833607;23611297;14339252;7827555;357822;62677482;515040;3230565;6803759;9278581;4093536;1703001;948192;26572674;55904;796872;1912302;2381900;342263;116;24704;5514062;33046;588471;1198272;3160212;3090090;14940923;18430710;41441723;1083578;19786231;3057381;80898;35;0;672568;24680690;1842859;10150145;47045194;32378306;20742857;20983392;1100711;134243464;359175;1030325;2316539;1381400;924144;836289;234859;7082731;2454319
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2016;226355695;424273;3954366;10100410;18781820;9522375;1854834;32;44638110;646120;1621339;2450724;3821907;909096;23937;0;9473122;289329;2032396;4747085;7219366;1130431;1961;0;15420568;69992;650560;1391786;3678714;3453861;13874174;12079303;35198390;4720584;40683017;13418618;202354;15;0;0;59024587;2021;44283;499265;179184;79155;24475;0;828383;1946660;4913942;3341679;4944927;1786724;220360;0;17154292;44618242
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2016;170107839;235557;4377434;10469802;16314516;6295455;1184871;462;38878097;1454711;5287462;5911787;3168777;214869;7285;34;16044925;418111;3255065;7359649;8184411;731543;2566;4;19951350;82978;613596;1348382;3451785;3184975;12438063;9643222;30763001;5376277;20047806;8725341;259688;454;1;0;34409568;443959;1140691;7022824;3425702;1509341;785201;0;14327717;2209000;5702601;3043523;3054511;836200;307941;34713;15188491;544691
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2016;129770914;304669;1926283;4785666;7175132;2678383;923894;214;17794242;332902;963598;2016142;2856802;817951;64160;100;7051655;560585;4454146;10325439;12550288;1461977;14817;2390;29369641;43142;1106988;2674159;5585335;4050660;9701751;3991206;27153241;1389329;15327836;4254572;489966;129701;43457;26;21634887;70850;272137;1556647;888354;387809;251561;0;3427357;1560954;3980315;3171315;3603766;1473746;545414;881;14336390;9003500
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2016;32886035;84282;494968;1106190;1411789;451166;54602;0;3602997;9485;17599;127537;29815;6422;5517;0;196376;655969;4153120;9540847;11590942;1325031;779;0;27266688;0;0;0;0;0;0;0;0;300246;993258;302789;412;0;0;0;1596705;75;3748;22973;55714;17592;4624;0;104727;10;7884;39374;68189;3085;0;0;118542;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2016;17457717;122625;760093;2026358;3407465;1584327;726815;119;8627800;40009;366587;415084;157437;50767;38974;4;1068863;513;9369;23162;31249;3479;55;0;67827;2588;48599;135492;351319;326150;1273620;960459;3098228;43861;747940;167331;127;0;0;0;959260;29660;128843;692688;380791;268955;320941;7263;1829141;116224;1000770;245399;242300;117961;83847;97;1806598;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2016;15341684;79481;628747;1694478;3007276;1429912;571091;0;7410984;15594;56005;117700;126325;9811;3;0;325438;192283;728307;1576820;1858667;208213;245;0;4564535;966;6237;15617;33672;25544;56722;10720;149478;285065;1618269;146492;18834;1099;350;0;2070109;0;0;0;0;0;0;0;0;24706;62218;172215;254240;120278;177703;9779;821139;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2016;9205721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76667;246544;2279183;1058729;493336;306058;0;4460518;53596;164784;1962101;1635524;736151;193047;0;4745203;0
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2016;8327440;9577;296975;789738;1422207;721520;151242;0;3391258;6860;135203;227812;147126;31777;3837;0;552616;36231;579058;1383993;1699080;167643;52;0;3866056;21;351;294;1050;1050;799;0;3566;1337;131884;32201;20;0;0;0;165442;2;26449;41192;29995;17023;3244;0;117905;4092;161804;35086;9026;76;889;0;210972;19625
