Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;dez/16;342.670.568;21.547.977;620.295;44.302.040;276.200.255;0;0
BB;49906;b1;C;1;;199;BRASILIA;DF;dez/16;331.229.003;11.100.987;42.489.048;81.353.472;160.959.576;1.509;35.324.411
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;dez/16;311.845.039;2.880.564;13.941.310;50.338.734;71.212.045;10.209;173.462.178
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;dez/16;269.223.701;24.304.338;24.525.699;62.136.876;63.779.491;11.670;94.465.627
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;dez/16;191.795.877;47.845.564;32.315.045;54.789.491;56.857.137;-11.359;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;dez/16;125.820.331;5.621.461;14.979.450;39.896.032;47.436.843;3.969;17.882.576
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;dez/16;43.638.252;2.217.374;675.825;9.262.284;21.663.402;85;9.819.282
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;dez/16;14.318.190;221.173;972.218;1.124.602;10.514.274;0;1.485.922
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;dez/16;13.312.359;1.729.902;1.060.736;938.250;9.583.447;24;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;dez/16;11.863.456;192.731;947.974;4.833.033;3.742.049;1;2.147.668
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;dez/16;11.706.489;379.889;1.437.916;5.234.075;4.499.997;473;154.139
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;dez/16;10.077.588;271.307;242.192;620.659;8.943.404;26;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;dez/16;9.828.970;949.964;570.712;4.038.728;4.269.566;0;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;dez/16;9.633.700;505.531;259.651;353.011;5.739.197;0;2.776.310
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;dez/16;9.034.225;772.936;2.175.075;4.723.173;1.363.038;3;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;dez/16;8.393.137;722.663;563.248;3.544.948;3.562.270;8;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;dez/16;7.963.004;723.076;257.647;3.312.005;3.426.428;51;243.797
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;dez/16;7.826.763;344.845;488.648;5.998.186;994.397;687;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;dez/16;7.710.063;510.616;1.022.155;5.122.520;1.054.772;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;dez/16;6.698.429;536.083;73;703.304;5.458.969;0;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;dez/16;5.890.921;16.016;63.283;299.089;2.183.570;0;3.328.962
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;dez/16;5.753.564;99.042;349.904;2.998.716;2.305.902;1;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;dez/16;4.924.023;177.238;277.009;1.247.220;1.263.140;0;1.959.417
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;dez/16;4.529.403;2.308.106;263.625;1.269.665;539.563;360;148.084
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;dez/16;4.455.869;0;63.933;585.557;3.806.379;0;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;dez/16;3.937.318;165.145;400.406;1.256.043;2.115.725;0;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;dez/16;3.713.561;366.882;68.651;2.341.601;936.427;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;dez/16;3.673.612;535.527;576;1.399.479;1.185.681;0;552.349
PAN;31323;b1;C;2;;199;SAO PAULO;SP;dez/16;3.575.473;734.606;503.043;1.679.434;658.391;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;dez/16;3.539.963;152.414;16.433;748.653;2.264.457;0;358.006
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;dez/16;3.514.819;53.585;728.834;2.380.450;351.950;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;dez/16;3.295.621;1.741.302;572.534;818.661;163.124;0;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;dez/16;3.275.182;327.741;0;538.768;2.408.673;0;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;dez/16;2.950.892;944;30.471;341.738;2.577.740;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;dez/16;2.713.861;110.605;294.886;2.069.495;238.851;25;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;dez/16;2.593.830;250.934;428.314;1.154.829;759.753;0;0
