Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;jun/16;682.367.545;143.357.365;444.121.818;28.342.436;0;18;51.955.269;0;0;519.664;3.982.340;0;26;10.017.601;71.007;0
BB;49906;b1;C;1;;199;BRASILIA;DF;jun/16;674.642.397;388.358.380;59.773.262;16.559.912;395.840;102.415;117.437.576;0;40.533.412;2.139.848;233.600;0;187;3.360.610;109.470;45.637.885
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;jun/16;548.819.212;230.171.950;44.966.868;9.432.307;1.059.154;8.409.863;24.778.895;49.077;670.639;504.179;145.151;0;6.116;6.070;497.738;228.121.205
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;jun/16;390.116.719;177.880.097;44.993.086;27.472.663;0;10.773.554;33.186.085;0;436.826;3.598.160;0;0;11.962;0;477.637;91.286.649
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;jun/16;368.819.835;96.792.943;3.237;232.992.123;7.884.589;15.296.421;0;11.450.701;0;14.828;4.384.994;0;0;0;0;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;jun/16;241.899.585;144.348.825;47.198.887;4.611.370;15.131;255.458;19.059.045;799.574;0;146.209;711.489;0;1.720;11.691;115.616;24.624.570
HSBC;51152;b1;C;3;;199;CURITIBA;PR;jun/16;66.068.476;32.124.766;7.783.584;654.065;33.520;7.487.344;9.924.335;0;0;33.062;85.846;0;0;263.710;60.522;7.617.722
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;jun/16;46.773.774;37.687.882;11.364;815.599;16.241;1.845.319;4.634.151;47.080;0;0;94.612;0;0;0;15.733;1.605.793
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;jun/16;46.290.915;605.129;73.860;2.257.522;0;0;3.902.793;0;0;112.347;309.132;0;492;163.093;0;38.866.548
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;jun/16;44.733.902;19.866.930;491.969;1.198.669;0;1.661.000;13.496.445;207.843;0;136.504;2.599;0;10.709;0;681;7.660.552
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;jun/16;28.618.906;16.761.777;5.475.421;290.626;0;1.206.453;4.522.225;0;0;44.502;0;0;0;136.196;11.443;170.262
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;jun/16;20.252.033;12.962.257;1.119.311;205.015;0;781;5.912.987;45.736;0;0;0;0;0;0;5.946;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;jun/16;17.906.101;14.498.218;640.985;0;0;0;2.010.304;0;0;603.441;19.493;0;0;127.948;5.712;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;jun/16;16.239.430;13.476.929;0;745.216;0;0;2.017.189;0;0;0;0;0;0;0;96;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;jun/16;14.119.160;12.343.098;308;182.568;0;0;1.582.455;0;0;0;7.067;0;0;3.664;0;0
