Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2016;490127120;1899471;5583175;14821747;30777425;7941562;348158;0;61371538;1437564;1183770;2321630;2344092;147009;0;18;7434084;513038;1614078;3800634;4980960;488445;390;0;11397545;2067055;11833405;31652757;72079568;56996202;149667609;54895357;379191952;2338799;5591027;1537281;143389;49;0;0;9610545;304866;816135;1245656;794691;474853;210516;0;3846717;2593304;4678277;3784210;3078665;1533586;1518669;88028;17274739;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2016;303949851;174329;4379180;12116114;23803406;14086510;8280513;295476;63135528;494742;3486659;8793504;9591777;4217522;1891944;618689;29094838;54795;904081;2293189;2890714;442882;240;25472;6611373;25405;544377;1135973;3014357;2926282;14141761;17260325;39048481;1016389;18450574;2944828;85964;49;0;463816;22961621;1651291;17229606;33748833;37801693;20581293;22340246;82525;133435488;342235;1098297;2902875;1336128;850806;842319;141304;7513964;2148559
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2016;225462258;398838;4047876;10513724;19719329;9919670;1889104;30;46488571;773987;1767116;3098837;4174385;973137;75814;0;10863275;384196;2352432;5379722;7640840;988702;1689;0;16747581;69861;548285;1366596;3520205;3305123;13202325;11550168;33562564;5261409;37322191;11726821;146436;6;0;0;54456863;2867;112308;212403;166813;91727;26258;0;612376;2032147;5899326;3421222;5047294;1742312;209778;0;18352079;44378950
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2016;147232682;243385;3734134;9781349;15347120;6041274;1146203;160;36293624;813427;4248544;4588007;2317967;168492;8542;51;12145030;419337;3141904;7312099;8114239;670734;3127;4;19661444;57599;463946;1026100;2640165;2425340;9422334;7474796;23510281;4384410;15844793;6836747;235344;418;0;0;27301712;177831;3276149;5000587;3376451;1587550;750764;790;14170121;1630781;5349937;2488751;2529794;748305;314083;19294;13080944;1069526
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2016;121587615;274962;1747447;4393017;6425314;2294858;721059;200;15856856;372604;862028;1902309;2474171;574318;63203;93;6248727;595341;4325128;10096668;11992628;1205193;14745;2312;28232015;48550;1104556;2649162;5505490;4009107;9665284;3984647;26966795;1392777;13476840;3770751;488803;122866;37222;21;19289280;24131;572597;1304014;835565;336988;185096;0;3258392;1606694;4329342;3331972;3705667;1503748;529136;767;15007326;6728225
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2016;32775427;105156;569686;1283132;1636713;534003;60015;0;4188705;11118;19350;83289;24204;13093;4032;0;155086;717606;4142105;9512348;11371187;1073658;925;0;26817829;0;0;0;0;0;0;0;0;285818;852243;247842;172;0;0;0;1386075;848;5302;19852;54562;29329;4720;0;114612;91;17857;48388;33514;13271;0;0;113120;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2016;22460137;15902;152261;391572;677187;186547;16713;160;1440342;659142;1340668;1935869;1878597;445527;483;8300;6268586;26560;189385;476585;717929;119759;230;0;1530449;10356;115498;261512;672206;358994;2833162;1791639;6043368;610348;3065491;545173;493;0;0;23506;4245010;35850;598847;371796;308705;881;0;0;1316080;281208;822807;262657;67938;9556;26552;44829;1515547;100756
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2016;16767004;0;0;0;0;0;0;0;0;26263;114541;80614;66000;61640;0;0;349059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;1195;4087;5100;5385;28149;0;43953;3813;71191;8688;4876;1444;178;0;90191;16283801
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2016;15801773;127712;755953;2002819;3309314;1425247;596109;152;8217305;44280;358883;620018;172640;28920;49217;3;1273960;656;12009;29517;40582;7114;84;0;89962;3642;48905;131264;343487;317077;1238365;944108;3026849;48889;149532;7815;0;0;0;0;206237;28787;303978;340873;364085;290338;347584;10564;1686210;121220;610293;163411;223911;104420;77894;99;1301249;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2016;14398642;67902;568746;1546747;2767451;1296095;487002;0;6733944;5150;5815;14682;4288;0;0;0;29934;181825;588079;1407610;2258703;356194;388;0;4792799;1001;6723;16871;36617;27622;62097;12061;162992;263883;1293712;142508;20410;857;138;0;1721507;0;0;0;0;0;0;0;0;47170;75404;187367;266702;148003;219463;13357;957467;0
