Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
COOPESTADO - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS NA REGIÃO METROPOLITANA DO ESTADO DO RIO DE JANEIRO LIMITADA;4995006;b3S;;I;2;RIO DE JANEIRO;RJ;01/06/2016;387;0;21;0;0;0;409;0;0;0;0;6;6;415;0;0;-447;-110;1;0;294;0;-264;151;0;151;1;0;150;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM EMPRESAS ADMINISTRADORAS DE AEROPORTOS - AEROCRED;5292849;b3S;;I;2;GUARULHOS;SP;01/06/2016;365;0;38;0;0;0;403;1;0;0;0;-68;-68;335;0;0;-111;-90;-2;0;7;0;-196;139;0;139;0;0;139;0
NUMATUR CORRETORA DE CÂMBIO LTDA.;18145784;n2;;I;2;SAO PAULO;SP;01/06/2016;0;0;88;0;314;0;402;0;0;0;0;0;0;402;34;0;-145;-189;-22;0;0;0;-323;79;0;79;-30;0;50;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS ITAÚ;43446335;b3S;;I;2;SAO PAULO;SP;01/06/2016;307;0;94;0;0;0;401;0;0;0;0;22;22;423;0;0;-11;-127;0;0;12;0;-125;298;0;298;0;0;298;0
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IBAITI - CRESOL IBAITI;11239236;b3S;;I;2;IBAITI;PR;01/06/2016;338;0;56;0;0;0;394;-60;-68;0;0;-68;-195;199;21;47;-109;-156;0;0;15;-94;-277;-78;-5;-82;-1;0;-84;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS E SERVIDORES PÚBLICOS DO ESTADO DE MATO GROSSO DO SUL - SICOOB COCRESUL;24610065;b3S;;I;2;CAMPO GRANDE;MS;01/06/2016;285;0;107;0;0;0;392;-106;0;0;0;-40;-146;246;147;38;-146;-348;-6;0;67;-16;-263;-17;-64;-81;0;0;-81;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA COELBA E DA CHESF LTDA.   SICOOB COPELBA;86784089;b3S;;I;2;SALVADOR;BA;01/06/2016;327;0;64;0;0;0;390;-6;0;0;0;-62;-68;322;73;5;-195;-245;-8;0;137;-15;-248;74;-2;73;-3;0;70;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS MUNICIPAIS DE PORTO ALEGRE;3990888;b3S;;I;2;PORTO ALEGRE;RS;01/06/2016;374;0;12;0;0;0;387;-5;0;0;0;-28;-33;354;0;0;-217;-178;0;0;0;0;-395;-41;0;-42;0;0;-42;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA FIAÇÃO ALPINA - COOPERALPINA;55319370;b3S;;I;2;MORUNGABA;SP;01/06/2016;311;0;72;0;0;0;383;0;0;0;0;1;1;384;0;0;0;-85;0;0;10;0;-75;309;0;309;0;0;309;0
EGONCRED - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;20251847;n1;;I;2;CAMPINAS;SP;01/06/2016;366;0;17;0;0;0;382;0;0;0;0;-102;-102;280;0;0;0;-112;-18;0;0;1;-131;149;0;149;-59;0;89;0
