Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2016;370692546;1700906;10294927;20826444;23379257;10402538;1666130;726096;68996296;52540;409779;1181582;4069628;4478153;19562383;4707164;34461230;290787;2259630;1855483;363702;0;0;72718;4842320;390329;6694407;1789044;545183;217011;59507;526;9696007;289688;8417553;16681771;11001261;7951981;5069395;0;49411648;1621004;5172508;6919564;14001084;16939285;9621690;299610;54574746;799009;5447855;12505737;23192685;9793717;16713393;9127536;77579930;77589;2447408;10131487;5700481;981748;2134997;7221;21480932;49372;441288;1822160;3462444;339889;44957;0;6160111;43489326
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2016;368816124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2803422;17214735;34329564;82620818;68333412;135307051;27203718;367812720;787;53223;129273;251340;248981;319798;0;1003404;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2016;323356954;1045724;8006766;10901227;12860408;2740157;589560;4076;36147918;104076;1032711;4145265;3806585;445249;30462;191;9564540;1096558;7620358;199448;125;0;0;0;8916490;135610;8819726;1885604;113942;58576;38649;0;11052106;140505;2964676;4281108;4132207;1673570;533190;0;13725255;2240852;2591942;2644138;2970742;899023;392427;0;11739123;236253;3573255;7700602;12868031;5887729;5280637;369793;35916299;17279;2009501;2442581;904228;329903;245322;0;5948814;103040;944805;2838922;2512715;179994;24210;468;6604154;183742255
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2016;242884037;1319285;8010622;13053820;12953439;3106461;161860;0;38605487;187458;1518564;2819690;2569482;276148;11595;30;7382968;860195;8823660;1197152;638;0;0;0;10881645;356091;5398797;639193;16512;0;0;0;6410594;68058;5672309;8799412;7168415;2062627;97816;0;23868637;1207205;4202541;3672229;4184387;1144181;441982;14991;14867515;162652;2616858;6332199;12855604;5245526;7942880;819869;35975588;13710;857391;1049872;1780309;1319803;125001;0;5146087;14490;233564;1286195;5551301;2352519;89562;764;9528394;90217123
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2016;192240425;3322546;6404588;15907146;19651866;9580764;0;0;54866911;176865;228034;609246;1194124;269494;550;0;2478313;838742;957044;3109031;63054;3657;0;0;4971527;117424;949081;60914;0;0;0;0;1127418;134000;1394597;4169323;6214226;3864881;0;0;15777027;3520662;1727978;2736750;3842659;815992;136680;0;12780721;2113127;3713963;9985997;20717366;13029098;29503248;9025953;88088752;0;0;10007;0;0;0;0;10007;239519;4425480;3569920;3190710;366932;347110;79;12139749;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2016;120311970;773916;7489473;8675915;8419836;2591510;909201;365186;29225036;75043;782843;1718526;1793505;427352;1104542;1791226;7693036;393044;4496563;1174117;349014;153915;56760;45200;6668612;201772;9939967;3542593;201766;537706;31231;10548;14465583;136352;4313859;4171519;4011265;617795;110177;0;13360968;924139;1194424;2872831;2542329;909261;212470;185527;8840981;115853;883898;2288982;4190503;1520899;1625227;37012;10662375;4084;490368;1355387;276991;58219;32553;8382;2225985;89489;962957;3686736;2878725;249316;1404146;1679;9273050;17896344
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2016;43608339;543841;3395235;4600929;4146309;456848;160101;14;13303277;14079;165519;400613;411086;39348;58;0;1030703;113562;1214004;488142;0;103;0;1375;1817186;39298;4363517;679173;18867;1233;51;1939;5104078;233221;1342646;4684232;1821648;107672;69119;1163;8259701;375383;184506;335252;120465;74170;106541;2785;1199102;13198;339969;576829;1034002;231309;121813;0;2317120;3804;548159;568940;244594;55572;9674;0;1430742;924;446642;693764;435245;45786;7104;0;1629465;7516966
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2016;37681874;217513;2792255;3767214;3201054;515130;22549;0;10515714;13095;500033;836920;515377;117441;2580;0;1985446;79960;863277;14913;6942;28004;0;0;993097;35796;2350043;440726;27182;449;43679;0;2897875;1284;982057;2758875;1145997;1009818;276435;0;6174466;57451;84629;502562;57709;26054;0;0;728405;39561;550478;1365205;2190782;745392;483031;0;5374450;0;521346;353270;31622;3138;299;0;909675;0;28277;319186;137506;0;0;0;484969;7617777
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2016;29523911;394980;198087;764634;477843;107516;530770;0;2473829;0;0;0;0;0;0;0;0;0;5716;0;0;0;0;0;5716;2303;139213;168907;230665;128867;11463;0;681419;159987;130174;517491;240789;123521;0;0;1171962;13402;2064;9252;18884;11452;2011;0;57065;5387;3379;16835;93151;137987;749709;1544724;2551172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22582747
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2016;14159187;50708;2088152;1016656;492851;247925;258;0;3896550;14012;84739;97518;132621;9070;0;0;337961;479;143457;1235764;0;0;0;0;1379700;15209;1283670;312216;2611;32;0;0;1613738;18466;1383571;2118224;700836;234207;106973;0;4562276;4121;494870;31243;388;0;0;0;530622;27;9169;42940;353537;20718;38502;0;464894;0;285093;1010654;77633;66;0;0;1373447;0;0;0;0;0;0;0;0;0
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2016;13998347;331619;373078;630074;1004261;369332;155227;0;2863590;93363;139552;432083;430607;32952;4265;0;1132823;0;4478;0;0;0;0;0;4478;0;750409;195404;42155;76305;114457;0;1178731;86911;596570;840716;1227270;945728;64279;0;3761474;186332;83989;1602;1160;1523;4003;0;278610;7271;169191;395758;880568;618144;783105;0;2854038;0;30280;113632;113897;52967;8036;0;318812;0;0;0;0;0;0;0;0;1605793
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2016;12817133;140372;971016;1835042;2385743;485967;29333;0;5847473;2361;21413;42556;45325;5367;485;0;117506;106159;736818;415621;11628;0;0;0;1270227;23507;260955;42681;14;0;0;0;327156;31120;492899;587032;14145;8167;0;0;1133363;116598;187027;357087;230925;129949;112630;1473;1135688;37394;150848;334461;612745;260469;271305;0;1667222;16653;49970;134730;72950;39197;49958;0;363459;2090;15913;123131;482466;137718;23459;0;784777;170262
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2016;10755073;83932;786310;1391472;1248600;93026;29362;0;3632703;0;1088;88161;59613;0;0;0;148862;2526;100625;36621;0;0;0;0;139772;143;300563;123971;0;0;0;0;424678;8429;385246;891542;493937;146567;8053;0;1933773;43040;24304;34413;58413;53484;4996;8;218657;1523;112449;228913;379723;174111;94255;0;990974;0;132113;377096;237154;72748;108399;0;927510;0;0;0;0;0;0;0;0;2338144
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2016;10136027;5983;47664;131967;217934;53490;13524;0;470563;22010;309854;573159;516370;80897;307;0;1502598;0;0;0;0;0;0;0;0;36848;480852;980615;40905;6967;439;0;1546626;0;0;0;0;0;0;0;0;0;58709;0;0;0;0;0;58709;148103;805593;2056406;2950426;553022;43979;0;6557531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
