Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2016;682367545;330635189;95391109;112404056;74061622;32188793;8943335;4652865;3778635;20311940;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2016;674642397;308921428;121542795;116243952;30967129;8296272;14282620;5137372;4524798;19088148;45637885
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2016;548819212;128651514;119615435;17272520;16359355;8856537;7031078;4055474;3836036;15020059;228121205
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2016;390116719;58345900;109710192;57174655;39944071;8458482;5091023;3316621;2609901;14179226;91286649
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2016;368819835;50770267;97265716;183088401;22684009;6624002;3363937;3514772;665936;842794;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2016;241899585;74687814;88374898;16725449;13082838;8748566;3379183;2573084;1870641;7832543;24624570
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2016;66068476;28608336;15212365;5484904;1606192;1624914;1011773;538317;726022;3637932;7617722
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2016;46773774;2758292;22923286;7235944;7727283;1355550;477993;701115;535882;1452638;1605793
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2016;46290915;913939;2621538;1461791;386615;1101370;566200;211308;20156;141450;38866548
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2016;44733902;26168657;6238538;1797449;867303;310014;101415;159010;32032;1398933;7660552
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2016;28618906;5032881;12557124;5425023;2121923;1023691;346515;315674;205775;1420038;170262
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2016;20252033;7811612;7827468;1782139;433423;1240830;174160;180841;178861;622701;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2016;17906101;0;12893172;1655877;1161226;834141;318852;187090;172065;683678;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2016;16239430;413092;10147730;2175142;1748857;528227;361316;143822;129426;591819;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/06/2016;14119160;1616717;3046546;7402019;1234863;235222;211195;37743;7011;327844;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2016;13187647;4820513;4087421;2100171;476940;354278;164060;132150;183332;868781;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/06/2016;12960748;26047;5731479;4385867;1569394;190609;193001;142259;88101;509648;124343
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2016;12950387;12543507;379034;10952;3179;506;7765;331;331;4782;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2016;12782689;6089910;5430619;419365;280954;187096;95679;28530;54057;196479;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2016;11314906;1560429;7702933;1067386;315644;211925;60949;77541;70220;247878;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2016;10985953;472326;2641011;3487058;1370491;337496;173822;31019;23647;102056;2347028
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2016;10915671;6627345;3773104;371445;109425;11180;2273;6166;1107;13627;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/06/2016;9557987;6038935;891395;1245527;536954;200612;125210;114185;65536;339635;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2016;9265487;37344;7713451;497848;679613;99535;43131;42468;24865;127231;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2016;8847447;101229;3322382;3612264;1103904;221599;62890;60236;161682;201261;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/06/2016;8499674;0;6863199;653707;298945;137754;78432;61545;62725;343365;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/06/2016;7555149;0;2685843;399653;210761;83842;178215;44605;71288;76987;3803953
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2016;7362774;633506;3909514;555274;645851;657227;286980;137819;105240;431363;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/06/2016;6900845;1101004;4072110;1347040;224306;57954;23428;10447;5000;59557;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/06/2016;6211279;723440;2117134;1296213;975387;807603;23074;87583;23494;157351;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/06/2016;6172110;359210;2030120;540173;761738;374597;238609;185885;70570;211673;1399535
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/06/2016;5860337;1701868;1097897;1201651;1161168;363061;97884;35127;18820;182861;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/06/2016;5736882;188456;2638058;1659593;794119;162102;117190;13033;22423;141907;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/06/2016;4996233;0;3558390;148000;128273;191172;144919;128298;109714;587466;0
