Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2016;370692546;11316685;50318733;91085074;174480981;1749;43489326
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2016;368816124;22878011;1139198;36742250;308056665;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2016;323356954;3540927;14676194;54597728;66789843;10008;183742255
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2016;242884037;31190409;27535217;59170917;34760187;10184;90217123
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2016;192240425;44135115;34219105;58208253;55675427;2524;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2016;120311970;6037332;13748466;39855300;42770782;3745;17896344
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2016;43608339;7151805;2018041;10350530;16570446;551;7516966
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2016;37681874;1372290;667142;9326105;18698466;95;7617777
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2016;29523911;117685;166098;683948;5973433;0;22582747
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2016;14159187;2245704;994129;1249454;9669874;25;0
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2016;13998347;9113;2082339;843089;9458014;0;1605793
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2016;12817133;366012;1650099;5959856;4670502;403;170262
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2016;10755073;169851;702480;4356601;3187996;2;2338144
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2016;10136027;826761;3006353;2470845;3832065;3;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2016;9314243;862842;590020;4065811;3795570;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2016;8569757;761390;607299;3745406;3455654;8;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2016;8473966;545082;1209635;5559026;1160222;0;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2016;7605015;272528;461653;6004671;865550;614;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2016;7307610;175344;249062;755704;6127472;28;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/06/2016;6760898;438625;251707;3182738;2766715;22;121091
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/06/2016;6747095;16054;58829;285726;2582532;0;3803953
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/06/2016;5757265;361367;23466;766474;4605958;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/06/2016;5646927;100769;377463;2950654;2218042;0;0
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/06/2016;4451407;169821;370714;1348626;1162712;0;1399535
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/06/2016;4043993;1334207;730076;571033;1408676;0;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/06/2016;4023683;143116;406576;1049722;2424270;0;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/06/2016;3903098;544754;106875;2341713;909756;0;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2016;3703264;0;54815;454364;3194084;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/06/2016;3697100;62479;834614;2461669;338337;0;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/06/2016;3630674;8755;27313;484592;2214641;0;895372
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/06/2016;3625065;1670908;303437;1024497;625996;226;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2016;3507458;774327;493148;1600619;639364;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/06/2016;3337071;226313;29276;537494;2184277;0;359712
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2016;3029294;131555;372327;2291986;233394;32;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/06/2016;2908817;147333;483439;1352020;926024;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/06/2016;2861439;295010;25331;1001321;836523;0;703255
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/06/2016;2817297;1137027;654696;876859;148715;0;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/06/2016;2781078;1663;34419;377880;2367116;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/06/2016;2715388;5019;7912;466850;1124795;0;1110811
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/06/2016;2676499;18471;139290;244485;2274247;6;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/06/2016;2489807;227;32035;409498;2048046;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/06/2016;2086895;88787;179967;1003161;814980;0;0
