cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;Total_Exterior_PF
b3S;b3S - Cooperativa de Crédito Singulares;jun/18;64.290.870;31.358;664.247;1.766.802;2.990.531;1.364.195;859.574;380;7.677.086;383.705;3.382.825;6.487.872;6.436.743;1.844.883;677.498;6.449;19.219.976;23.428;408.720;1.037.474;1.574.074;281.670;2.246;0;3.327.612;0;1.457;4.464;10.645;8.983;22.165;92;47.805;89.629;1.058.837;286.974;2.183;169;98;0;1.437.890;222.030;5.842.694;11.784.953;3.886.887;1.060.843;522.038;0;23.319.445;478.115;3.016.176;2.948.319;1.720.756;638.701;428.445;30.544;9.261.057;0;
b3S%;b3S - Cooperativa de Crédito Singulares;jun/18;3,62%;0,71%;2,37%;2,44%;2,33%;2,12%;3,23%;0,09%;2,37%;6,73%;17,00%;19,12%;20,81%;19,38%;22,84%;0,59%;18,47%;0,89%;1,84%;1,95%;2,21%;2,94%;8,42%;0,00%;2,10%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,01%;0,52%;0,76%;0,64%;0,08%;0,11%;0,18%;0,00%;0,70%;7,22%;17,03%;17,67%;6,42%;2,90%;1,94%;0,00%;10,22%;5,02%;10,02%;12,06%;7,33%;6,51%;7,97%;5,21%;8,96%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/18;1.007;0;0;0;0;0;0;0;0;364;36;212;225;67;0;0;905;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;2;52;8;0;0;0;102;0;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;jun/18;4.614.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.616;195.792;660.970;1.527.664;1.185.408;903.037;0;4.522.486;1.824;5.544;18.312;35.671;21.608;8.569;0;91.528;0;
b4%;b4 - Banco de Desenvolvimento;jun/18;0,26%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,61%;0,57%;0,99%;2,52%;3,24%;3,36%;0,00%;1,98%;0,02%;0,02%;0,07%;0,15%;0,22%;0,16%;0,00%;0,09%;0,00%;
n1;n1 - Não Bancário de Crédito;jun/18;22.309.187;14.232;125.663;280.904;322.172;104.866;41.651;0;889.488;634.255;1.232.086;1.232.194;160.340;5.054;7.597;35;3.271.562;38.145;282.402;675.695;854.524;80.361;496;0;1.931.623;14.677;85.876;232.825;492.228;268.718;578.095;258.462;1.930.881;1.421.147;7.118.901;3.012.646;204.342;6.139;0;0;11.763.175;19.560;43.742;171.667;383.984;308.748;266.732;61;1.194.494;709.193;224.949;190.141;92.408;46.428;62.005;2.841;1.327.964;0;
n1%;n1 - Não Bancário de Crédito;jun/18;1,26%;0,32%;0,45%;0,39%;0,25%;0,16%;0,16%;0,00%;0,27%;11,12%;6,19%;3,63%;0,52%;0,05%;0,26%;0,00%;3,14%;1,45%;1,27%;1,27%;1,20%;0,84%;1,86%;0,00%;1,22%;0,81%;0,53%;0,55%;0,51%;0,34%;0,25%;0,22%;0,33%;8,29%;5,11%;6,76%;7,91%;3,99%;0,00%;0,00%;5,76%;0,64%;0,13%;0,26%;0,63%;0,84%;0,99%;0,04%;0,52%;7,45%;0,75%;0,78%;0,39%;0,47%;1,15%;0,48%;1,29%;0,00%;
n2;n2 - Não Bancário de Mercado de Capitais;jun/18;6.214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;6.173;6.214;0;
n2%;n2 - Não Bancário de Mercado de Capitais;jun/18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,05%;0,01%;0,00%;
n4;n4 - Instituições de Pagamento;jun/18;4.827.295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;183;3.347.593;851.100;1.704;0;0;0;4.200.580;0;0;0;0;0;0;0;0;224.531;313.137;86.616;2.431;0;0;0;626.715;0;
n4%;n4 - Instituições de Pagamento;jun/18;0,27%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,40%;1,91%;0,07%;0,00%;0,00%;0,00%;2,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,36%;1,04%;0,35%;0,01%;0,00%;0,00%;0,00%;0,61%;0,00%;
C;C - Conglomerado;jun/18;1.101.699.099;1.923.436;21.210.235;54.893.326;99.171.403;51.280.085;20.876.959;418.445;249.773.890;4.077.638;14.201.950;23.754.134;22.474.447;7.402.136;2.248.805;1.084.583;75.243.694;2.152.736;18.311.433;44.046.354;60.307.464;8.383.011;18.822;102.425;133.322.246;316.458;3.364.515;7.559.788;18.155.218;15.887.076;59.478.255;50.555.330;155.316.641;13.389.596;121.167.560;38.060.800;2.030.025;142.096;45.910;453.050;175.289.036;2.339.945;25.210.012;47.733.001;46.559.359;28.598.715;22.426.847;154.412;173.022.291;5.925.495;19.319.282;14.252.095;16.489.999;6.735.235;3.382.317;471.139;66.575.561;73.155.740;
C%;C - Conglomerado;jun/18;61,99%;43,76%;75,72%;75,85%;77,38%;79,75%;78,50%;99,88%;77,03%;71,47%;71,36%;70,02%;72,66%;77,77%;75,83%;98,55%;72,32%;81,89%;82,65%;82,97%;84,65%;87,51%;70,59%;99,06%;83,95%;17,49%;20,77%;18,00%;18,75%;20,15%;25,88%;43,78%;26,74%;78,12%;86,94%;85,36%;78,55%;92,43%;83,59%;100,00%;85,78%;76,10%;73,48%;71,58%;76,91%;78,05%;83,56%;99,69%;75,81%;62,26%;64,16%;58,28%;70,23%;68,68%;62,93%;80,29%;64,43%;99,99%;
I;I - Instituição independente;jun/18;675.440.822;2.472.438;6.799.775;17.479.947;28.995.691;13.023.006;5.718.798;495;74.490.151;1.627.741;5.699.027;10.172.430;8.454.567;2.116.003;716.978;15.928;28.802.674;476.064;3.844.224;9.039.528;10.932.486;1.196.816;7.841;976;25.497.935;1.493.072;12.835.271;34.439.213;78.670.318;62.943.884;170.321.870;64.913.260;425.616.888;3.749.742;18.199.056;6.528.370;554.425;11.639;9.010;0;29.052.244;734.872;9.100.771;18.948.353;13.979.360;8.042.168;4.413.328;486;55.219.338;3.592.154;10.791.405;10.203.301;6.988.441;3.072.156;1.992.340;115.640;36.755.437;6.155;
I%;I - Instituição independente;jun/18;38,01%;56,24%;24,28%;24,15%;22,62%;20,25%;21,50%;0,12%;22,97%;28,53%;28,64%;29,98%;27,34%;22,23%;24,17%;1,45%;27,68%;18,11%;17,35%;17,03%;15,35%;12,49%;29,41%;0,94%;16,05%;82,51%;79,23%;82,00%;81,25%;79,85%;74,12%;56,22%;73,26%;21,88%;13,06%;14,64%;21,45%;7,57%;16,41%;0,00%;14,22%;23,90%;26,52%;28,42%;23,09%;21,95%;16,44%;0,31%;24,19%;37,74%;35,84%;41,72%;29,77%;31,32%;37,07%;19,71%;35,57%;0,01%;
