cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;jun/18;801.268.138;6.288.395;9.880.839;23.629.761;38.378.168;11.280.613;3.960.831;1.448.741;94.867.349;468.795;2.399.840;7.064.200;13.622.562;12.291.098;27.635.726;1.458.870;64.941.091;674.851;2.498.257;2.443.614;104.064;409;0;49.264;5.770.459;229.081;5.170.900;1.611.971;395.356;59.667;0;0;7.466.976;752.401;12.019.009;16.623.425;7.719.713;9.869.721;8.927.287;0;55.911.557;3.996.302;4.089.406;5.182.561;6.378.853;3.615.446;3.895.825;980.388;28.138.780;1.933.190;22.632.012;54.844.039;101.329.477;74.891.143;164.761.121;44.141.426;464.532.408;121.979;4.545.700;12.122.610;6.844.363;2.963.164;3.000.650;191;29.598.657;878.271;2.646.882;5.611.369;5.487.899;456.315;229.423;430;15.310.588
1%;1 - Público;jun/18;46,02%;61,83%;23,39%;28,36%;38,42%;44,63%;49,59%;79,78%;35,04%;44,04%;23,87%;33,37%;45,82%;76,35%;95,35%;77,74%;59,59%;31,69%;9,53%;27,30%;17,94%;0,38%;0,00%;27,84%;14,69%;32,03%;7,82%;7,37%;23,59%;14,04%;0,00%;0,00%;8,16%;46,48%;27,14%;25,29%;27,50%;61,65%;39,71%;0,00%;31,38%;47,61%;30,14%;28,54%;31,20%;42,02%;55,55%;44,92%;35,91%;78,31%;70,54%;73,95%;77,72%;84,72%;91,78%;91,33%;83,65%;82,08%;45,64%;48,56%;59,63%;70,22%;79,83%;13,85%;54,28%;61,12%;64,77%;55,80%;44,28%;22,85%;53,83%;5,42%;50,36%
2;2 - Privado Nacional;jun/18;706.274.096;2.963.599;23.735.788;45.709.322;47.879.780;10.507.396;2.933.360;7.653;133.736.898;455.377;3.805.154;7.959.159;8.655.569;1.717.791;354.287;24.954;22.972.291;1.151.971;19.402.780;4.252.652;219.054;4.943;1.047.660;5.472;26.084.532;341.303;36.873.872;8.304.992;651.270;184.054;88.243;519.114;46.962.848;588.360;18.893.598;27.241.225;12.773.431;4.028.974;10.269.324;0;73.794.911;3.484.499;7.084.819;10.227.211;9.574.929;3.311.757;2.783.180;997.844;37.464.239;245.219;5.678.575;12.449.818;20.240.561;10.167.327;11.890.200;2.163.923;62.835.622;8.607;3.373.020;7.923.244;2.980.848;648.255;432.968;67;15.367.009;268.163;881.265;3.115.555;6.344.975;1.529.734;190.578;6.859;12.337.128
2%;2 - Privado Nacional;jun/18;40,56%;29,14%;56,19%;54,85%;47,94%;41,57%;36,73%;0,42%;49,40%;42,78%;37,85%;37,60%;29,11%;10,67%;1,22%;1,33%;21,08%;54,10%;74,01%;47,51%;37,76%;4,55%;93,42%;3,09%;66,40%;47,72%;55,77%;37,96%;38,86%;43,31%;49,02%;98,85%;51,31%;36,35%;42,67%;41,44%;45,50%;25,17%;45,68%;0,00%;41,41%;41,51%;52,22%;56,32%;46,84%;38,49%;39,68%;45,72%;47,81%;9,93%;17,70%;16,79%;15,52%;11,50%;6,62%;4,48%;11,31%;5,79%;33,86%;31,74%;25,97%;15,36%;11,52%;4,89%;28,18%;18,66%;21,56%;30,98%;51,20%;76,58%;44,71%;86,42%;40,58%
3;3 - Privado com Controle Estrangeiro;jun/18;233.752.013;917.719;8.626.757;13.992.940;13.623.772;3.486.288;1.092.670;359.423;42.099.568;140.247;3.848.647;6.146.755;7.454.433;2.088.580;993.302;392.706;21.064.671;302.604;4.314.082;2.254.502;256.957;103.232;73.791;122.199;7.427.368;144.808;24.075.368;11.963.761;629.497;181.279;91.773;6.050;37.092.536;277.831;13.368.706;21.868.136;7.578.369;2.110.855;3.284.811;0;48.488.708;913.569;2.393.982;2.749.195;4.489.687;1.675.893;334.292;204.067;12.760.684;290.252;3.772.589;6.864.969;8.811.509;3.338.468;2.871.595;2.028.157;27.977.539;18.022;2.041.915;4.916.876;1.652.813;608.604;324.956;1.119;9.564.305;290.587;558.432;1.328.395;559.450;11.389;6.209;648;2.755.110
3%;3 - Privado com Controle Estrangeiro;jun/18;13,42%;9,02%;20,42%;16,79%;13,64%;13,79%;13,68%;19,79%;15,55%;13,18%;38,28%;29,04%;25,07%;12,97%;3,43%;20,93%;19,33%;14,21%;16,46%;25,19%;44,30%;95,07%;6,58%;69,06%;18,91%;20,25%;36,41%;54,68%;37,56%;42,65%;50,98%;1,15%;40,53%;17,16%;30,19%;33,27%;27,00%;13,18%;14,61%;0,00%;27,21%;10,88%;17,64%;15,14%;21,96%;19,48%;4,77%;9,35%;16,28%;11,76%;11,76%;9,26%;6,76%;3,78%;1,60%;4,20%;5,04%;12,13%;20,50%;19,70%;14,40%;14,42%;8,65%;81,26%;17,54%;20,22%;13,67%;13,21%;4,51%;0,57%;1,46%;8,17%;9,06%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/18;1.339.261.966;9.689.606;37.154.664;73.794.740;90.353.576;22.646.022;7.294.001;1.689.613;242.622.222;915.465;6.835.230;15.749.323;22.645.787;14.098.847;28.516.446;1.867.040;90.628.138;2.051.279;24.453.810;7.038.149;499.920;104.067;1.107.418;171.463;35.426.105;569.216;57.346.917;15.894.180;1.537.275;298.565;93.811;525.164;76.265.128;1.618.592;44.225.544;65.713.955;28.071.513;16.007.191;22.460.202;0;178.096.997;8.230.579;12.638.658;16.987.622;19.041.098;7.851.637;6.652.981;2.163.754;73.566.328;1.397.052;16.110.995;37.953.668;56.081.060;33.117.713;65.303.950;21.310.502;231.274.941;135.267;9.210.346;23.591.450;9.206.289;2.660.441;2.209.175;1.220;47.014.188;1.437.021;4.081.782;10.055.285;12.392.243;1.997.360;425.874;7.937;30.397.501
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/18;76,91%;95,28%;87,95%;88,56%;90,46%;89,60%;91,33%;93,05%;89,63%;86,01%;67,99%;74,39%;76,16%;87,58%;98,39%;99,49%;83,16%;96,33%;93,28%;78,63%;86,18%;95,84%;98,75%;96,91%;90,18%;79,59%;86,73%;72,64%;91,72%;70,25%;52,11%;100,00%;83,33%;100,00%;99,87%;99,97%;100,00%;99,99%;99,91%;0,00%;99,94%;98,05%;93,15%;93,55%;93,14%;91,27%;94,86%;99,15%;93,88%;56,59%;50,22%;51,18%;43,01%;37,46%;36,38%;44,09%;41,65%;91,02%;92,47%;94,51%;80,21%;63,04%;58,78%;88,60%;86,22%;100,00%;99,88%;100,00%;100,00%;100,00%;99,92%;100,00%;99,98%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/18;39.376.616;71.287;1.402.845;1.365.349;689.993;196.349;10.117;0;3.735.940;57.068;2.078.443;2.751.196;3.178.266;814.083;34.645;451;8.914.152;0;0;0;0;0;0;0;0;56.516;5.228.534;5.415.298;133.296;126.435;86.205;0;11.046.284;0;55.770;18.830;0;2.358;21.221;0;98.179;8.651;338.468;127.550;170.503;252.147;4.098;0;901.416;139.806;1.982.001;4.469.046;5.808.867;1.653.175;230.239;8.072;14.291.207;4.168;23.991;99.083;161.327;78.068;22.803;0;389.439;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/18;2,26%;0,70%;3,32%;1,64%;0,69%;0,78%;0,13%;0,00%;1,38%;5,36%;20,67%;13,00%;10,69%;5,06%;0,12%;0,02%;8,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;7,90%;7,91%;24,75%;7,95%;29,75%;47,89%;0,00%;12,07%;0,00%;0,13%;0,03%;0,00%;0,01%;0,09%;0,00%;0,06%;0,10%;2,49%;0,70%;0,83%;2,93%;0,06%;0,00%;1,15%;5,66%;6,18%;6,03%;4,46%;1,87%;0,13%;0,02%;2,57%;2,80%;0,24%;0,40%;1,41%;1,85%;0,61%;0,00%;0,71%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3S;b3S - Cooperativa de Crédito Singulares;jun/18;37.364.589;349.445;3.224.178;6.847.943;8.181.917;2.164.487;670.059;7.598;21.445.627;22.516;428.359;1.079.378;1.433.946;424.437;159.816;859;3.549.310;78.147;1.755.378;1.903.050;77.208;4.517;14.033;5.472;3.837.805;81.466;3.452.072;313.924;1.571;0;0;0;3.849.033;0;0;0;0;0;0;0;0;149.438;553.584;947.933;1.102.082;465.448;352.478;18.350;3.589.312;801;20.238;31.451;31.878;3.983;950;0;89.301;1.027;300.292;532.488;146.087;19.527;4.780;0;1.004.199;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/18;2,15%;3,44%;7,63%;8,22%;8,19%;8,56%;8,39%;0,42%;7,92%;2,12%;4,26%;5,10%;4,82%;2,64%;0,55%;0,05%;3,26%;3,67%;6,70%;21,26%;13,31%;4,16%;1,25%;3,09%;9,77%;11,39%;5,22%;1,43%;0,09%;0,00%;0,00%;0,00%;4,21%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,78%;4,08%;5,22%;5,39%;5,41%;5,03%;0,84%;4,58%;0,03%;0,06%;0,04%;0,02%;0,00%;0,00%;0,00%;0,02%;0,69%;3,01%;2,13%;1,27%;0,46%;0,13%;0,00%;1,84%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/18;1.251.772;44;177.623;831.084;141.467;28.474;7.371;0;1.186.063;0;958;2.836;4.208;332;599;0;8.934;0;0;2.902;989;0;0;0;3.891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;550;8.893;10.091;6.125;248;1.195;174;27.277;1.117;278;21.462;2.301;450;0;0;25.608;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/18;0,07%;0,00%;0,42%;1,00%;0,14%;0,11%;0,09%;0,00%;0,44%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,03%;0,17%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,07%;0,06%;0,03%;0,00%;0,02%;0,01%;0,03%;0,05%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
