Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;41153;14287907;209455167;106660405;420267809;-18444098;401823710;232617;2155564;1296553;-60569;3624166;132771596;94264348;32494775;995382074;1296553;994085521
ITAU;10069;b1;;C;2;SAO PAULO;SP;41153;13055691;157736730;156051835;307047983;-25713648;281334335;1777867;42586242;25472885;-1589831;68247163;127935878;71362962;51169093;926893687;25472885;901420803
BRADESCO;10045;b1;;C;2;OSASCO;SP;41153;12277125;126589640;176604225;253793386;-19307862;234485524;169314;18198010;9787113;-823209;27331228;71392511;60521923;42137287;751339464;9787113;741552351
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41153;5311357;95582611;125519366;324498805;-18576000;305922805;0;0;0;0;0;40816940;92251208;8071526;673475813;0;673475813
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41153;1419;8086092;78211226;232191319;-1946815;230244504;0;0;0;0;0;11190178;224472611;90099548;642305577;0;642305577
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41153;4436073;39108463;66571254;182358153;-13802597;168555556;151855;13201010;7188108;-272477;20268497;94135495;41634180;25554144;460263661;7188108;453075553
HSBC;51152;b1;;C;3;CURITIBA;PR;41153;2057428;18493459;23167620;47851770;-3553431;44298339;21899;2984275;1627630;-68730;4565074;32122152;15602284;4419623;144725978;1627630;143098349
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41153;140712;9816310;35487472;54811400;-4278102;50533298;33318;4639050;2533617;-168886;7037100;9933133;3263078;415004;116626107;2533617;114092490
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41153;484542;7958758;27214678;41458176;-1354095;40104081;56688;3233919;2588347;-69625;5809329;8993480;2502708;2138285;95205862;2588347;92617515
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41153;656689;32194072;34364448;5971649;-133707;5837942;0;0;0;0;0;6105920;833417;5581057;85573545;0;85573545
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41153;427416;13468735;12019584;13639845;-1765668;11874177;3380;163680;26492;-4823;188729;20699502;3716845;1062049;63457036;26492;63430544
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41153;535923;4275547;10955501;22666375;-1492411;21173963;433;129388;54001;-8719;175103;2902937;4345056;570908;44934938;54001;44880938
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41153;1035108;21067352;4801204;4472998;-239822;4233176;0;0;0;0;0;3384199;61891;1339900;35922828;0;35922828
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41153;97711;5123018;3563227;2026364;-7786;2018578;0;0;0;0;0;22204227;92462;37662;33136885;0;33136885
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41153;101128;11152193;12322911;649032;-20613;628419;0;0;0;0;0;8497561;2741;83519;32788472;0;32788472
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41153;105331;6424152;11044280;10995912;-671200;10324712;0;0;0;0;0;2574328;433452;199706;31105962;0;31105962
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41153;2130;810605;202240;20911746;-966210;19945537;10619;1669090;1106283;-83061;2702932;1485257;363548;92786;25605033;1106283;24498749
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41153;36701;1174812;1299883;16093675;-828164;15265510;1085;67864;40138;-8021;101067;3177413;985221;1539087;23579693;40138;23539555
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41153;9688;1835479;1005199;3001224;-240976;2760248;4839;455991;65538;-14674;511693;15357031;101580;364748;21945667;65538;21880129
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41153;15763;7971450;3081386;8177346;-8179;8169167;0;0;0;0;0;157696;550922;89958;20036343;0;20036343
BIC;32119;b1;;C;2;SAO PAULO;SP;41153;275757;2416042;1492309;10280695;-536491;9744204;6009;524634;130652;-24921;636373;2783684;590128;243202;18181699;130652;18051048
