Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41153;NA;NA;1008786;492229;1501014;8643059;132059;47282;1553666;0;1733007;489776;10865843;NA;NA%;NA%;0,1381;NA%;0,0094
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41153;NA;NA;1237503;161276;1398779;9767057;0;0;0;0;0;531922;10298979;NA;NA%;NA%;0,1358;NA%;0,0031
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41153;NA;NA;839434;419989;1259422;9476302;0;0;812;1959;2771;496954;9976027;NA;NA%;NA%;0,1262;NA%;0,1496
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41153;NA;NA;1610287;173;1610460;4665038;3314569;56911;914343;112147;4397969;685772;9748780;NA;NA%;NA%;0,1652;NA%;0,007
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41153;NA;NA;990796;292454;1283251;8226245;0;0;1094900;31927;1126827;198380;9551452;NA;NA%;NA%;0,1344;NA%;0,1237
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41153;NA;NA;1251736;0;1251736;7821033;0;0;0;0;0;986857;8807890;NA;NA%;NA%;0,1421;NA%;0,1744
PINE;50304;b1;;C;2;SAO PAULO;SP;41153;NA;NA;1209731;256556;1466287;7745061;0;418982;371977;0;790959;80854;8616874;NA;NA%;NA%;0,1702;NA%;0,1004
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41153;NA;NA;1306377;-1761;1304617;7689259;0;0;0;10194;10194;463941;8163395;NA;NA%;NA%;0,1598;NA%;0,0179
BRB;31976;b1;;C;1;BRASILIA;DF;41153;NA;NA;915142;108688;1023830;7250847;0;827;163383;9776;173985;615386;8040218;NA;NA%;NA%;0,1273;NA%;0,1529
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41153;NA;NA;2203377;2172458;4375835;197165;0;0;4216;6391704;6395921;156698;6749784;NA;NA%;NA%;0,6483;NA%;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41153;NA;NA;841810;7281;849091;5023489;0;282;109638;251;110171;686748;5820408;NA;NA%;NA%;0,1459;NA%;0,2286
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41153;NA;NA;1314716;69654;1383847;4053885;115423;412;733691;17913;867439;827084;5748407;NA;NA%;NA%;0,2407;NA%;0,0344
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41153;NA;NA;770421;-51213;716077;4274448;248951;3118;638950;3455;894474;360096;5529017;NA;NA%;NA%;0,1295;NA%;0,5044
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;41153;NA;NA;2049783;0;2049783;1851369;0;65499;2265768;0;2331267;590046;4772681;NA;NA%;NA%;0,4295;NA%;0,0732
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41153;NA;NA;551971;12673;564644;4370526;0;0;0;0;0;189510;4560035;NA;NA%;NA%;0,1238;NA%;0,0073
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41153;NA;NA;483800;122366;606166;4322500;0;0;5949;348;6297;216550;4545347;NA;NA%;NA%;0,1334;NA%;0,1484
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41153;NA;NA;1160075;149;1160224;4066113;0;0;63;0;63;368313;4434489;NA;NA%;NA%;0,2616;NA%;0,4737
BES;51482;b2;;C;3;SAO PAULO;SP;41153;NA;NA;540357;23711;564068;3240831;49661;0;662098;4255;716014;230378;4187224;NA;NA%;NA%;0,1347;NA%;0,2486
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41153;NA;NA;398461;203976;602436;3320021;0;181;243764;8419;252364;371568;3943953;NA;NA%;NA%;0,1527;NA%;0,2379
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41153;NA;NA;1149904;-1612;1148292;3438040;0;0;0;0;0;300102;3738142;NA;NA%;NA%;0,3072;NA%;0,0026
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41153;NA;NA;586206;1352;585167;3188093;0;17275;294457;20961;332693;173723;3694509;NA;NA%;NA%;0,1584;NA%;0,1167
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;41153;NA;NA;518754;0;518754;3546955;0;0;0;0;0;141657;3688612;NA;NA%;NA%;0,1406;NA%;0,0043
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41153;NA;NA;779602;3272;782874;3437022;0;17842;7109;18674;43624;120751;3601397;NA;NA%;NA%;0,2174;NA%;0,392
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;41153;NA;NA;307869;143835;451703;3275974;33309;0;0;0;33309;209935;3519218;NA;NA%;NA%;0,1284;NA%;0,2424
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41153;NA;NA;451075;32903;483978;3154467;0;0;35689;0;35689;314095;3504250;NA;NA%;NA%;0,1381;NA%;0,1454
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;41153;NA;NA;532344;0;532344;3179466;0;0;0;0;0;232073;3411538;NA;NA%;NA%;0,156;NA%;0,0005
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;41153;NA;NA;398861;113984;512846;2818167;238157;0;0;0;238157;106019;3162344;NA;NA%;NA%;0,1622;NA%;0,0084
BBM;30207;b1;;C;2;SALVADOR;BA;41153;NA;NA;525750;2034;527784;1779498;737002;0;349955;0;1086956;244527;3110980;NA;NA%;NA%;0,1697;NA%;0,0879
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41153;NA;NA;469929;2751;472679;2869468;0;0;0;0;0;206824;3076292;NA;NA%;NA%;0,1537;NA%;0,0096
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;41153;NA;NA;469446;61643;531089;2881310;0;0;0;0;0;174220;3055530;NA;NA%;NA%;0,1738;NA%;0,0616
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41153;NA;NA;1309192;8101;917293;2108632;0;0;355396;0;355396;354740;2818768;NA;NA%;NA%;0,3254;NA%;0,0283
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;41153;NA;NA;749755;8120;757875;2199209;0;0;382532;0;382532;165121;2746862;NA;NA%;NA%;0,2759;NA%;0,0256
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41153;NA;NA;721885;65725;764555;2379237;0;0;0;0;0;245709;2624946;NA;NA%;NA%;0,2913;NA%;0,0765
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;41153;NA;NA;388688;0;388688;2514355;0;0;38;0;38;30242;2544634;NA;NA%;NA%;0,1527;NA%;0,2351
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;41153;NA;NA;327089;65175;392265;2428045;0;0;0;0;0;82758;2510803;NA;NA%;NA%;0,1562;NA%;0,0433
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;41153;NA;NA;622382;82085;704467;2256824;54953;0;60959;0;115912;111425;2484161;NA;NA%;NA%;0,2836;NA%;0,0032
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;41153;NA;NA;433817;24594;458411;2219756;37058;0;30005;17996;85059;158127;2462942;NA;NA%;NA%;0,1861;NA%;0,0732
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41153;NA;NA;775339;0;717523;1012233;0;35980;1000553;17;1036550;317184;2365967;NA;NA%;NA%;0,3033;NA%;0,0847
BANIF;20255;b1;;C;3;SAO PAULO;SP;41153;NA;NA;205737;6561;212298;1997870;28853;3265;8036;0;40154;201726;2239750;NA;NA%;NA%;0,0948;NA%;0,1001
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;41153;NA;NA;525982;26;526008;2125796;0;0;0;0;0;112549;2238345;NA;NA%;NA%;0,235;NA%;0,0118
