Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB;49906;b1;;C;1;BRASILIA;DF;41153;994085521;451706197;929684621;768901356;64400900;2848631;101822640;0,1515;0,2742;5291;1584
ITAU;10069;b1;;C;2;SAO PAULO;SP;41153;901420803;363433016;821175887;616117248;80244916;3383116;110911619;0,1742;0,4554;3951;900
BRADESCO;10045;b1;;C;2;OSASCO;SP;41153;741552351;284081806;675318926;561945185;66233425;2865233;90837025;0,1587;0,4502;4696;1391
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;41153;673475813;331007288;651015447;564114308;22460366;1350207;49135626;0,1262;0,1393;2592;627
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;41153;642305577;233185642;586733568;397499208;55572009;2041811;92227823;0,1827;0,3607;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;41153;453075553;207327092;386695792;275258864;66379761;623931;70342267;0,2206;0,3337;2650;1397
HSBC;51152;b1;;C;3;CURITIBA;PR;41153;143098349;58619990;133382173;96435987;9716176;294219;12358653;0,1318;0,3354;869;400
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;41153;114092490;58078547;105263193;84888224;8829297;-497450;13002285;0,1505;0,0282;125;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41153;92617515;47453606;85764454;66740316;6853061;296640;9111282;0,1338;0,2304;106;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41153;85573545;7144617;76212295;58871357;9361250;425383;12725810;0,1795;0,3751;10;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41153;63430544;22631217;55665444;27104549;7765100;218983;7694560;0,1546;0,1279;135;11
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41153;44880938;23789249;40080787;30062641;4800151;207537;5789407;0,1823;0,0873;459;233
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41153;35922828;4534090;32644096;25354126;3278732;32347;4038319;0,1732;0,3317;10;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41153;33136885;2560969;31680142;8152130;1456742;25924;1456742;0,1259;0,0259;3;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41153;32788472;2001290;29310959;18845128;3477514;59570;3471020;0,1566;0,0216;8;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41153;31105962;11638107;28623012;15562461;2482950;-15381;4802706;0,1629;0,0415;187;5
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41153;24498749;21504419;22456197;17114778;2042552;21514;3063828;0,1417;0,0284;1;0
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41153;23539555;16210222;20515853;10062843;3023702;-151566;3977238;0,1273;0,0395;23;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41153;21880129;3444913;21158907;5189363;721222;-70860;716077;0,1295;0,5044;5;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41153;20036343;8260368;19552543;19256380;483800;10266;606166;0,1334;0,1484;5;0
BIC;32119;b1;;C;2;SAO PAULO;SP;41153;18051048;12243454;16043252;13481596;2007796;20011;2966200;0,17;0,0514;39;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41153;17832608;10220761;14966987;11138806;2865621;-206344;2374612;0,1497;0,4947;3;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41153;17591185;7090830;15086978;8173172;2504207;9386;2685975;0,1679;0,0429;13;2
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41153;15148531;4921312;14701213;13915623;447318;13547;483978;0,1381;0,1454;5;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;41153;13630044;7978280;11648699;10576110;1981346;42336;1936606;0,1686;0,1157;53;1
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41153;13520903;7555166;11446291;10171667;2074612;98441;2074612;0,1729;0,0885;34;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41153;13160119;8470410;11521509;9939153;1638610;55114;2257241;0,1494;0,0361;7;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41153;12932621;7923665;12060125;9439104;872496;14789;1259422;0,1262;0,1496;177;4
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41153;12341419;6048434;11325284;9609744;1016135;45283;1501014;0,1381;0,0094;15;0
BANESTES;30159;b1;;C;1;VITORIA;ES;41153;11279710;3822303;10427137;9796674;852572;31843;849091;0,1459;0,2286;135;27
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41153;10877495;7647781;9859238;8797369;1018258;-5716;1283251;0,1344;0,1237;38;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41153;10606238;2446887;8581712;3455579;2024526;-13980;2005166;0,1512;0,0539;123;4
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41153;10398589;0;8782227;6822154;1616362;-9789;1610460;0,1652;0,007;2;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41153;10199704;9363156;8957574;7812357;1242130;-8809;1398779;0,1358;0,0031;2;0
