Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43160;12909137;422593536;144804603;573029717;-33727891;539301826;223085;287582;159636;-15432;654870;186773061;78512232;35135365;1420684630;159636;1420524994
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43160;25373870;259502799;259766957;427564013;-32949448;394614565;6966857;2728012;1795122;-399077;11090914;210292563;134708777;47356022;1342706467;1795122;1340911345
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43160;9328440;170346333;187254975;690208025;-36722485;653485540;0;0;0;0;0;81347946;157043069;13675578;1272481881;0;1272481881
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43160;17617499;140659891;259068812;323572685;-33718153;289854533;43992;3685357;1614879;-127992;5216237;169525501;76589880;72977473;1031509826;1614879;1029894947
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43160;280;110689417;171923791;310417745;-10831764;299585980;0;0;0;0;0;34539673;229617089;13758037;860114268;0;860114268
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43160;10668892;44264692;189176566;231156031;-16607142;214548888;19247;4698334;2115593;-76346;6756828;161936079;84774154;13123072;725249173;2115593;723133580
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43160;795738;36660117;43418462;52870407;-2557197;50313209;28136;1716924;836048;-31364;2549744;11955601;5667842;4300644;155661357;836048;154825308
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43160;7254040;40944576;43318493;14647821;-841437;13806384;0;1287;0;0;1287;29902195;1252191;9608310;146087476;0;146087476
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43160;159157;15760996;20828347;44271039;-2787042;41483997;2836;259621;809;-1310;261956;13063458;439989;1932500;93930401;809;93929592
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43160;510266;345807;5152717;0;0;0;0;0;0;0;0;3767613;59823776;11629068;81229247;0;81229247
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43160;788760;930798;21458846;29091846;-2670490;26421355;310;91361;49679;-5469;135880;7430665;13192160;1530954;71889418;49679;71839739
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43160;1178846;15579117;22719937;7247005;-147777;7099228;2116;47943;5859;-2070;53848;18236897;2970346;306168;68144386;5859;68138527
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43160;127373;14451175;28139323;9684268;-910135;8774132;0;0;0;0;0;4165134;752347;178187;56587671;0;56587671
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43160;46133;14466425;12286464;3528207;-38341;3489866;0;0;0;0;0;2703274;11760323;174833;44927318;0;44927318
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43160;62184;13704273;6447595;8826991;-2199;8824791;0;0;0;0;0;1573022;13551477;124315;44287658;0;44287658
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43160;144493;20870660;9855241;1465259;-2431;1462827;0;0;0;0;0;7845835;34609;109794;40323460;0;40323460
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43160;52658;5287220;6242867;11360733;-451772;10908961;0;0;0;0;0;16299858;489945;129512;39411020;0;39411020
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43160;30914;4897921;3181047;912056;-12427;899630;0;0;0;0;0;28945801;19870;61217;38036399;0;38036399
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43160;3179004;11818165;10519824;4011580;-347734;3663846;0;0;0;0;0;7224120;23084;262081;36690125;0;36690125
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43160;21416;5544791;8331879;10833762;-237656;10596107;0;0;0;0;0;3495543;325529;47871;28363135;0;28363135
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43160;4951;677202;2174382;18033318;-1192932;16840387;9;1011;855;-84;1791;5765515;516764;553023;26534014;855;26533159
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43160;117691;4655637;1766861;11898619;-768819;11129799;18290;620746;68736;-11150;696622;5230210;373806;863589;24834215;68736;24765478
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43160;42795;2530166;2026325;15448953;-843169;14605784;0;0;0;0;0;4808740;836;19921;24034567;0;24034567
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43160;81965;10880957;8142660;705119;-848;704272;0;0;0;0;0;1382138;714790;49856;21956637;0;21956637
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43160;12840;3846249;927914;516757;0;516757;0;0;0;0;0;15369972;2551;22117;20698400;0;20698400
