Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43160;1420524994;624380486;1330255804;1111773128;90269190;2733969;126583489;0,1844;0,1446;4766;1268
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43160;1340911345;495483885;1209099175;899052845;131812171;5767427;126278223;0,1661;0,2384;3384;1046
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43160;1272481881;700193160;1234870546;1060911353;37611335;2804497;97835956;0,1832;0,1013;3391;804
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43160;1029894947;371238489;916029707;730142402;113865240;4470971;100169721;0,1587;0,4313;4786;1496
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43160;860114268;311629733;785930599;443402289;74183669;2063569;163127758;0,3012;0,077;5;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43160;723133580;280398103;658372399;485155978;64761181;2891133;61996870;0,153;0,1321;2683;1240
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43160;154825308;61041565;144696246;124509130;10129063;517308;12995660;0,1337;0,321;115;5
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43160;146087476;15702413;127428442;76911881;18659033;600710;15958966;0,1647;0,3016;15;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43160;93929592;47717161;85080958;62329177;8848634;278355;9467247;0,1657;0,1833;92;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43160;81229247;0;67635348;7718182;13593899;1045318;NA;NA%;NA%;0;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43160;71839739;31780113;64641654;55075519;7198085;243964;6166467;0,1563;0,051;541;148
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43160;68138527;10404534;59897207;32990840;8241320;197481;7991335;0,1554;0,0171;134;22
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43160;56587671;10607363;52945551;16909460;3642120;94264;6348772;0,1569;0,0249;316;2
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43160;44927318;6008847;43298695;37594805;1628623;71031;1618921;0,197;0,1019;7;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43160;44287658;9011301;43046524;40822158;1241134;30573;1393606;0,2145;0,0878;7;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43160;40323460;1764683;35690084;23889436;4633376;-9173;4443632;0,2044;0,0234;11;1
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43160;39411020;14471371;35923014;18975717;3488007;64877;3973488;0,159;0,0134;7;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43160;38036399;1621293;36592836;7796058;1443563;-9658;1409107;0,3131;0,019;3;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43160;36690125;4436598;33156075;16907527;3534050;87225;4645149;0,1805;0,0136;10;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43160;28363135;11925568;24943274;20891461;3419861;108548;3952790;0,1612;0,0067;8;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43160;26533159;18819498;22542949;17163064;3990210;56551;2545372;0,1422;0,1582;6;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43160;24765478;14733175;21638011;18250150;3127467;165350;3124429;0,1607;0,2764;41;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43160;24034567;17489665;21694856;17714028;2339711;-46048;3721557;0,1666;0,0039;18;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43160;21956637;705119;19545346;14071821;2411291;14016;2395857;0,1848;0,0208;4;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43160;20698400;1997585;19849140;4780461;849260;-8792;798801;0,1417;0,027;5;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43160;19656931;7452749;17812630;14327230;1844301;56230;2218806;0,2362;0,0224;14;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43160;19395818;4023745;18002076;17245256;1393742;23361;1342457;0,1662;0,1891;133;25
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43160;18677184;2064562;17387225;9243877;1289959;-27981;1289728;0,234;0,003;4;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43160;17887758;3143333;16083344;4999649;1804414;-56985;2290144;0,1317;0,0699;121;1
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43160;16997361;13979115;14482757;13702297;2514604;3909;2507640;0,1601;0,0084;4;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43160;16419594;1400303;13528956;6522156;2890638;12803;2269934;0,1802;0,0062;4;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43160;16197537;8824146;13530075;9974024;2667462;32374;1300999;0,1414;0,1672;36;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43160;15105734;12887929;12294666;8742891;2811068;181194;3716630;0,2778;0,0014;3;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43160;14634322;8619545;13150806;10746358;1483517;72699;1399587;0,1566;0,1133;127;5
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43160;13994564;7740576;11614723;10929272;2379841;30048;2340777;0,1964;0,1424;46;1
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;43160;11811352;262027;11449776;20366;361575;0;140258;0,1213;0,0426;0;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43160;11481012;0;9873601;2951898;1607411;13068;1566847;0,282;0,0147;4;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;43160;11257762;2053273;9670430;5245804;1587332;-14301;1467581;0,2684;0,0048;2;0
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43160;11107396;9047629;9048759;5579186;2058636;88991;1849974;0,2132;0,0564;3;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;43160;9430536;0;2971715;39;6458821;-512;6458821;0,4153;0;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43160;9421071;5968704;8594089;7018183;826982;20380;981234;0,1503;0,2102;163;74
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43160;8868197;3483910;7939899;6265268;928298;5199;794387;0,1206;0,2042;8;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43160;8483593;2406671;7588594;4089290;894999;14857;843303;0,2496;0,0023;4;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43160;8423269;8142018;6863004;6317336;1560266;17988;1576492;0,1688;0,0017;5;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43160;8328634;7789032;6909455;6577540;1419179;44949;1411773;0,1785;0,0095;2;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43160;8165899;4473748;5994138;5608857;2171761;-43891;1079247;0,1432;0,0686;4;0
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n4;;I;2;SAO PAULO;SP;43160;8130136;0;7613221;0;516914;19623;NA;NA%;NA%;1;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43160;7577947;6432852;5463229;860764;2114718;104814;1247185;0,1969;0,0237;2;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43160;7506919;1732384;1302774;1205332;6204145;24265;711655;0,2779;0,0338;64;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;43160;7495183;7197296;6482032;6416544;1013152;28249;1005621;0,1463;0,0009;4;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;43160;7091325;3901499;6015082;5650361;1076243;51339;988336;0,234;0,0741;117;31
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43160;6982931;1782925;6063312;4574216;919619;20542;1557992;0,306;0,0023;2;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;43160;6803206;125175;6609834;0;193372;0;96724;0,1186;0,0645;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;43160;6770931;90608;6446422;2416818;324510;993;201784;0,1483;0,0244;0;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43160;6740178;5826717;5062800;4424195;1677378;36379;965558;0,1495;0,0534;2;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43160;6319694;6059012;5687772;1343966;631923;53345;629257;0,1257;0,0015;6;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n4;;C;2;SAO PAULO;SP;43160;6163014;0;5348302;837502;814713;-31483;NA;NA%;NA%;1;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43160;6069978;2922596;5095967;4328709;974011;-17489;572053;0,1236;0,021;3;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;43160;6007909;10110;5547436;169514;460472;12838;260821;0,167;0,1928;0;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43160;5986915;4960568;5343656;4640540;643260;26485;566917;0,1301;0,016;2;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;C;2;RIO DE JANEIRO;RJ;43160;5840161;2460;4585538;294382;1254623;45917;616792;0,151;0,0765;6;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43160;5729277;3943953;4191708;3464342;1537568;38408;896362;0,1941;0,0056;5;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43160;5480959;5017369;4623175;4340087;857784;9640;856918;0,1885;0,0106;3;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43160;5363929;2809828;3934457;3069173;1429472;38741;1427892;0,3496;0,0547;0;60
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43160;5343220;3587609;4019716;3894865;1323503;54011;718869;0,1972;0,1367;4;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43160;5241922;2248589;4839288;4224444;402634;18677;426989;0,1452;0,1799;64;12
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;43160;5131869;1098027;4137109;3474036;994760;-4606;994470;0,4281;0,0035;2;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43160;4978107;3076218;4382061;4104573;596046;19674;578744;0,1576;0,0077;8;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43160;4834647;2243995;301459;50837;4533188;194998;4511805;0,5363;0,0072;4;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;43160;4824054;90792;4642080;30180;181974;3474;88483;0,1133;0,0684;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43160;4783267;2377855;3575558;3249591;1207709;65149;1207403;0,3607;0,0189;0;87
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43160;4703812;2786124;3981098;3727791;722714;24044;621056;0,1817;0,1275;17;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;43160;4571302;691924;3964430;3085495;606872;6249;594725;0,3042;0,0146;2;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;43160;4568363;3288004;3930930;3690022;637433;33469;611714;0,1577;0,0032;3;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;43160;4408217;0;4159612;3992501;248605;5593;116444;0,133;0,0241;0;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43160;4402837;364190;3866967;3558264;535870;4761;437294;0,1915;0,0442;6;0
