Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BRADESCO - PRUDENCIAL;1000080075;b1;C;2;OSASCO;SP;43160;Sim;Sim;Não;1108003150;29271016;42736;S1
ITAU - PRUDENCIAL;1000080099;b1;C;2;SAO PAULO;SP;43160;Sim;Sim;Não;1380093405;142482648;42736;S1
SANTANDER - PRUDENCIAL;1000080185;b1;C;3;SAO PAULO;SP;43160;Sim;Sim;Não;658701849;27095301;42736;S1
BB - PRUDENCIAL;1000080329;b1;C;1;BRASILIA;DF;43160;Sim;Sim;Não;1137836858;47006725;42736;S1
BTG PACTUAL - PRUDENCIAL;1000080336;b1;C;2;RIO DE JANEIRO;RJ;43160;Sim;Sim;Não;152937955;15945157;42736;S1
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;C;1;BRASILIA;DF;43160;Sim;Sim;Não;1317178250;NI;42736;S1
SAFRA - PRUDENCIAL;1000080109;b1;C;2;SAO PAULO;SP;43160;Sim;Sim;Não;178067076;5491874;42736;S2
BANRISUL - PRUDENCIAL;1000080154;b1;C;1;PORTO ALEGRE;RS;43160;Sim;Sim;Não;74334292;136533;42736;S2
CITIBANK - PRUDENCIAL;1000080192;b1;C;3;SAO PAULO;SP;43160;Sim;Sim;Não;69913616;NI;42736;S2
VOTORANTIM - PRUDENCIAL;1000080484;b1;C;2;SAO PAULO;SP;43160;Sim;Sim;Não;112009862;1309481;42736;S2
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;I;1;FORTALEZA;CE;43160;Sim;Sim;Não;79370303;NI;42736;S2
BNDES - PRUDENCIAL;1000081847;b4;C;1;RIO DE JANEIRO;RJ;43160;Sim;Sim;Não;979839082;NI;42736;S2
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;I;2;CURITIBA;PR;43160;Sim;Sim;Não;6706609;NI;42736;S3
