Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43160;110335671;74791;110410462;15867761;126278223;665358348;2818727;1463475;15987173;4043141;24312517;70467973;760138837;1380093405;0,1452;0,1453;0,1661;0,08;0,2384
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43160;66996341;20690655;87686996;38896493;126583489;599855725;15064781;1945;7458225;2144;22527095;64186019;686568838;1137836858;0,0976;0,1277;0,1844;0,0771;0,1446
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43160;73101239;5104783;78206022;21963699;100169721;567175775;2855241;41688;7465613;279290;10641832;53509834;631327441;1108003150;0,1158;0,1239;0,1587;0,0706;0,4313
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43160;108751839;0;108751839;54375919;163127758;480102136;20400810;0;3412357;0;23813167;37748803;541664106;979839082;0,2008;0,2008;0,3012;0,111;0,077
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43160;63867479;0;63867479;33968476;97835956;449706807;3316070;1710734;10136205;183542;15346551;69051696;534105053;1317178250;0,1196;0,1196;0,1832;0,0485;0,1013
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43160;53590190;4209117;57799307;4197563;61996870;335323007;5343513;0;25202725;1921728;32467965;37372300;405163272;658701849;0,1323;0,1427;0,153;0,0877;0,1321
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43160;9988838;991670;10980509;2015152;12995660;85136064;563228;0;1463849;1188557;3215634;8845122;97196819;178067076;0,1028;0,113;0,1337;0,0617;0,321
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43160;10680146;2984227;13664373;2294593;15958966;55429646;1208209;4926690;14535803;11877206;32547907;8934201;96911754;152937955;0,1102;0,141;0,1647;0,0893;0,3016
