cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/20;769.453.291;1.798.252;12.566.948;41.228.837;73.221.489;14.688.600;2.841.945;436.324;146.782.393;128.160;1.943.434;8.045.079;15.971.826;12.091.469;28.950.099;562.673;67.692.740;352.169;1.424.264;1.239.389;16.507;0;0;8.253;3.040.582;229.396;4.761.380;2.156.006;335.863;30;0;35;7.482.711;763.877;10.159.082;12.554.795;8.450.889;6.482.248;46.335;0;38.457.226;1.588.589;4.814.567;5.355.080;7.630.308;2.820.161;4.749.896;803.973;27.762.574;466.572;16.223.656;38.290.965;85.001.388;63.645.654;179.617.000;43.144.324;426.389.560;63.300;1.719.598;5.576.131;3.966.567;2.035.747;2.903.653;852;16.265.849;890.716;1.224.908;3.144.781;4.015.859;232.471;110.328;6.259;9.625.322
1%;1 - Público;dez/20;35,24%;47,03%;21,55%;23,63%;29,16%;24,57%;21,45%;28,45%;26,10%;25,45%;14,16%;21,42%;25,69%;48,03%;86,82%;34,81%;38,88%;22,59%;8,93%;20,95%;3,42%;0,00%;0,00%;6,44%;11,43%;36,68%;4,68%;5,55%;9,88%;0,01%;0,00%;0,00%;5,08%;48,06%;20,03%;18,11%;22,94%;26,07%;0,78%;0,00%;20,32%;32,43%;22,06%;20,89%;31,85%;27,36%;64,26%;52,02%;29,05%;55,15%;75,52%;72,35%;75,96%;88,12%;95,15%;95,94%;86,47%;59,21%;33,05%;29,50%;58,21%;64,59%;76,21%;64,99%;42,82%;74,83%;59,47%;63,09%;56,22%;30,08%;56,78%;72,63%;58,86%
2;2 - Privado Nacional;dez/20;1.052.127.265;1.566.008;34.965.210;103.665.032;141.895.592;35.895.364;8.357.610;823.307;327.168.123;235.881;6.642.445;16.709.946;23.927.506;6.610.791;1.249.418;30.016;55.406.003;980.457;11.763.417;3.496.296;223.595;1.652.385;751.695;253;18.868.098;314.925;59.270.935;19.256.826;2.115.777;211.967;15.736;2.340.421;83.526.586;257.826;18.083.658;31.133.434;18.507.870;13.178.885;5.701.972;5.950;86.869.595;2.173.674;12.245.119;15.651.490;11.064.647;3.639.857;2.083.753;704.736;47.563.277;313.057;3.520.073;10.042.937;19.365.570;6.606.881;8.748.076;1.727.256;50.323.850;4.748;2.285.181;7.785.747;1.675.718;648.810;624.816;0;13.025.020;268.181;685.976;1.550.343;2.788.495;534.873;57.030;2.358;5.887.256
2%;2 - Privado Nacional;dez/20;48,19%;40,95%;59,96%;59,41%;56,50%;60,05%;63,09%;53,68%;58,18%;46,84%;48,40%;44,50%;38,49%;26,26%;3,75%;1,86%;31,83%;62,90%;73,74%;59,10%;46,39%;95,70%;89,41%;0,20%;70,92%;50,36%;58,24%;49,61%;62,21%;64,90%;18,15%;99,67%;56,68%;16,22%;35,66%;44,91%;50,24%;53,00%;96,49%;100,00%;45,90%;44,37%;56,10%;61,06%;46,18%;35,32%;28,19%;45,60%;49,77%;37,01%;16,39%;18,98%;17,31%;9,15%;4,63%;3,84%;10,21%;4,44%;43,92%;41,19%;24,59%;20,58%;16,40%;0,00%;34,29%;22,53%;33,30%;31,10%;39,04%;69,21%;29,35%;27,37%;36,00%
3;3 - Privado com Controle Estrangeiro;dez/20;361.894.485;459.648;10.778.512;29.599.206;36.011.665;9.188.429;2.047.648;274.080;88.359.189;139.541;5.137.931;12.798.939;22.269.481;6.470.888;3.147.133;1.023.881;50.987.794;226.130;2.765.070;1.180.181;241.867;74.166;89.016;119.612;4.696.042;81.058;37.731.047;17.405.239;949.231;114.597;70.956;7.711;56.359.838;567.705;22.472.387;25.638.917;9.883.727;5.204.639;161.241;0;63.928.617;1.136.420;4.767.262;4.626.166;5.264.563;3.846.202;557.523;36.727;20.234.862;66.303;1.737.806;4.590.811;7.531.222;1.973.881;415.476;97.455;16.412.954;38.851;1.198.210;5.539.744;1.172.121;467.384;281.524;459;8.698.292;31.476;148.884;289.414;339.208;5.497;26.943;0;841.422
3%;3 - Privado com Controle Estrangeiro;dez/20;16,57%;12,02%;18,48%;16,96%;14,34%;15,37%;15,46%;17,87%;15,71%;27,71%;37,44%;34,08%;35,82%;25,71%;9,44%;63,34%;29,29%;14,51%;17,33%;19,95%;50,18%;4,30%;10,59%;93,36%;17,65%;12,96%;37,08%;44,84%;27,91%;35,09%;81,85%;0,33%;38,24%;35,72%;44,31%;36,98%;26,83%;20,93%;2,73%;0,00%;33,78%;23,20%;21,84%;18,05%;21,97%;37,32%;7,54%;2,38%;21,17%;7,84%;8,09%;8,67%;6,73%;2,73%;0,22%;0,22%;3,33%;36,34%;23,03%;29,31%;17,20%;14,83%;7,39%;35,01%;22,90%;2,64%;7,23%;5,81%;4,75%;0,71%;13,87%;0,00%;5,15%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/20;1.737.236.316;3.459.567;51.907.677;156.843.585;223.363.367;51.860.177;10.574.701;1.404.885;499.413.959;391.882;8.889.049;24.648.302;38.975.403;17.206.283;31.767.712;1.567.736;123.446.368;1.423.520;14.539.558;4.106.367;369.849;1.724.610;831.693;127.864;23.123.462;491.272;92.188.142;33.767.153;3.153.337;261.185;21.952;2.348.150;132.231.190;1.589.408;50.710.447;69.313.813;36.820.264;24.865.773;5.909.548;5.950;189.215.203;4.718.522;20.240.257;23.072.515;20.784.612;8.749.713;6.372.921;1.541.953;85.480.493;651.879;12.148.157;28.331.998;53.122.875;27.503.538;62.277.455;13.124.935;197.160.837;103.534;4.592.899;17.064.449;4.404.965;1.859.836;2.136.475;1.148;30.163.307;1.190.371;2.059.761;4.923.448;7.137.100;772.792;194.245;8.617;16.286.335
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/20;79,56%;90,47%;89,02%;89,89%;88,94%;86,76%;79,83%;91,60%;88,81%;77,82%;64,77%;65,63%;62,69%;68,35%;95,27%;96,98%;70,91%;91,32%;91,14%;69,41%;76,74%;99,89%;98,93%;99,80%;86,91%;78,56%;90,59%;86,99%;92,72%;79,97%;25,32%;100,00%;89,73%;100,00%;99,99%;99,98%;99,94%;100,00%;100,00%;100,00%;99,98%;96,32%;92,73%;90,01%;86,75%;84,90%;86,22%;99,77%;89,45%;77,06%;56,55%;53,53%;47,47%;38,08%;32,99%;29,19%;39,98%;96,85%;88,27%;90,28%;64,64%;59,01%;56,08%;87,65%;79,40%;100,00%;100,00%;98,77%;99,91%;99,99%;99,97%;100,00%;99,59%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/20;54.965.474;10.452;1.144.141;878.159;934.731;152.165;39.765;0;3.159.412;57.389;3.045.133;7.720.361;14.134.165;4.454.819;71.567;5.448;29.488.882;0;0;5.013;0;0;0;0;5.013;19.428;5.809.199;4.388.901;211.496;58.986;51.522;0;10.539.533;0;4.680;13.333;22.222;0;0;0;40.236;3.783;251.760;237.951;258.361;91.003;14.468;0;857.327;42.704;1.088.841;2.927.993;4.644.945;1.400.100;117.909;97.103;10.319.596;155;12.873;102.660;176.769;115.370;43.545;0;451.372;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/20;2,52%;0,27%;1,96%;0,50%;0,37%;0,25%;0,30%;0,00%;0,56%;11,40%;22,19%;20,56%;22,74%;17,70%;0,21%;0,34%;16,94%;0,00%;0,00%;0,08%;0,00%;0,00%;0,00%;0,00%;0,02%;3,11%;5,71%;11,31%;6,22%;18,06%;59,43%;0,00%;7,15%;0,00%;0,01%;0,02%;0,06%;0,00%;0,00%;0,00%;0,02%;0,08%;1,15%;0,93%;1,08%;0,88%;0,20%;0,00%;0,90%;5,05%;5,07%;5,53%;4,15%;1,94%;0,06%;0,22%;2,09%;0,14%;0,25%;0,54%;2,59%;3,66%;1,14%;0,00%;1,19%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
