cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;jun/13;544.693.695;4.598.919;15.213.071;19.317.734;38.823.919;19.129.043;5.723.439;515;102.806.641;2.308.578;7.135.441;10.438.658;12.228.330;4.207.200;1.397.537;11;37.715.756;153.902;1.717.713;4.616.524;7.354.507;1.532.704;2.274;0;15.377.625;1.340.516;9.115.491;22.636.645;58.291.960;53.564.404;90.444.418;10.480.338;245.873.772;1.594.127;18.509.495;3.291.200;133.934;226;2;0;23.528.984;1.315.645;13.432.761;25.284.194;24.597.956;14.299.714;16.271.915;482.860;95.685.045;1.905.715;7.226.401;7.442.261;4.670.984;1.780.456;561.066;118.990;23.705.873;0
1%;1 - Público;jun/13;46,25%;76,86%;58,64%;40,68%;45,40%;54,38%;79,25%;7,67%;49,59%;35,72%;34,67%;32,70%;37,58%;54,79%;64,25%;0,08%;37,20%;3,18%;6,56%;7,13%;7,86%;11,93%;4,90%;0,00%;7,61%;91,37%;85,43%;86,88%;88,05%;89,66%;81,37%;47,57%;82,69%;12,51%;21,43%;13,58%;9,67%;0,14%;0,01%;0,00%;18,83%;78,09%;64,43%;61,85%;68,28%;72,72%;82,29%;99,97%;68,66%;27,23%;25,42%;36,79%;29,09%;33,77%;37,22%;18,51%;29,95%;0,00%
2;2 - Privado Nacional;jun/13;438.442.783;799.126;8.706.844;22.970.439;38.255.491;13.293.955;1.076.881;331;85.103.067;2.062.615;10.161.291;15.172.045;13.157.286;2.248.643;694.352;3.069;43.499.300;3.597.391;16.504.468;40.421.175;58.932.126;7.471.415;35.282;6.020;126.967.877;96.478;868.705;1.830.726;4.509.599;3.802.294;13.951.032;8.826.629;33.885.463;7.874.702;46.121.528;15.812.929;422.111;53.511;4.815;121;70.289.717;217.791;5.569.317;11.149.964;6.261.103;2.939.288;2.537.119;56;28.674.639;2.612.895;15.447.229;8.597.680;7.422.963;1.989.288;422.311;507.546;36.999.912;13.022.809
2%;2 - Privado Nacional;jun/13;37,23%;13,36%;33,56%;48,37%;44,74%;37,79%;14,91%;4,93%;41,05%;31,91%;49,37%;47,52%;40,43%;29,28%;31,92%;22,54%;42,91%;74,27%;63,07%;62,46%;63,01%;58,17%;76,07%;57,11%;62,80%;6,58%;8,14%;7,03%;6,81%;6,36%;12,55%;40,06%;11,40%;61,82%;53,39%;65,23%;30,49%;32,97%;14,22%;1,11%;56,25%;12,93%;26,71%;27,27%;17,38%;14,95%;12,83%;0,01%;20,58%;37,33%;54,33%;42,50%;46,23%;37,73%;28,02%;78,94%;46,75%;50,16%
3;3 - Privado com Controle Estrangeiro;jun/13;194.488.135;585.562;2.024.808;5.200.082;8.427.668;2.752.928;421.705;5.871;19.418.625;2.091.982;3.285.022;6.315.530;7.154.700;1.223.472;83.342;10.532;20.164.580;1.092.104;7.946.558;19.678.301;27.248.720;3.841.086;8.823;4.521;59.820.111;30.106;685.575;1.587.524;3.401.693;2.378.261;6.759.222;2.726.161;17.568.543;3.269.173;21.753.912;5.138.060;828.599;108.555;29.035;10.721;31.138.056;151.353;1.847.273;4.448.088;5.166.466;2.424.550;964.323;72;15.002.124;2.481.070;5.756.839;4.191.040;3.962.000;1.503.079;524.063;16.398;18.434.490;12.941.607
3%;3 - Privado com Controle Estrangeiro;jun/13;16,52%;9,79%;7,80%;10,95%;9,86%;7,83%;5,84%;87,40%;9,37%;32,37%;15,96%;19,78%;21,99%;15,93%;3,83%;77,38%;19,89%;22,55%;30,37%;30,41%;29,13%;29,90%;19,02%;42,89%;29,59%;2,05%;6,43%;6,09%;5,14%;3,98%;6,08%;12,37%;5,91%;25,66%;25,18%;21,19%;59,84%;66,89%;85,77%;98,89%;24,92%;8,98%;8,86%;10,88%;14,34%;12,33%;4,88%;0,01%;10,76%;35,45%;20,25%;20,72%;24,68%;28,51%;34,77%;2,55%;23,29%;49,84%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/13;1.096.297.201;5.958.975;25.487.346;46.249.170;83.680.949;34.539.167;7.117.567;6.436;203.039.610;5.593.868;17.251.176;27.416.727;28.860.743;6.763.635;1.805.076;10.180;87.701.405;4.566.642;22.698.787;56.181.185;81.658.161;10.997.532;38.729;10.500;176.151.536;1.461.155;10.589.081;25.933.543;65.980.564;59.602.270;110.771.736;21.958.643;296.296.993;11.661.570;83.010.508;23.026.470;1.306.611;160.565;33.840;10.721;119.210.285;1.478.890;17.188.503;33.148.397;30.648.820;16.896.304;17.294.902;482.938;117.138.754;6.641.096;24.550.812;17.790.445;15.235.128;5.028.088;1.394.580;154.123;70.794.272;25.964.346
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/13;93,09%;99,59%;98,24%;97,39%;97,86%;98,19%;98,55%;95,80%;97,93%;86,55%;83,82%;85,88%;88,69%;88,08%;82,98%;74,79%;86,51%;94,29%;86,74%;86,81%;87,30%;85,62%;83,51%;99,61%;87,13%;99,59%;99,24%;99,53%;99,66%;99,76%;99,66%;99,66%;99,65%;91,55%;96,09%;94,99%;94,36%;98,94%;99,97%;98,89%;95,40%;87,78%;82,44%;81,08%;85,08%;85,93%;87,47%;99,99%;84,05%;94,88%;86,35%;87,94%;94,89%;95,36%;92,51%;23,97%;89,45%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/13;30.531.445;270;8.411;19.581;20.296;1.906;0;0;50.464;1.687;13.972;47.268;45.878;6.299;3.179;0;118.283;207.523;2.878.621;7.053.478;9.754.532;1.501.075;2.350;0;21.397.578;0;0;0;0;0;0;0;0;494.095;1.587.678;679.350;72.832;0;0;0;2.833.955;68.517;392.478;1.156.830;2.299.836;1.339.344;426.189;0;5.683.195;28.513;81.661;105.399;177.193;49.359;5.845;0;447.970;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/13;2,59%;0,00%;0,03%;0,04%;0,02%;0,01%;0,00%;0,00%;0,02%;0,03%;0,07%;0,15%;0,14%;0,08%;0,15%;0,00%;0,12%;4,28%;11,00%;10,90%;10,43%;11,69%;5,07%;0,00%;10,58%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,88%;1,84%;2,80%;5,26%;0,00%;0,00%;0,00%;2,27%;4,07%;1,88%;2,83%;6,38%;6,81%;2,16%;0,00%;4,08%;0,41%;0,29%;0,52%;1,10%;0,94%;0,39%;0,00%;0,57%;0,00%
