Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43617;13128843;521261861;170551703;569816872;-33947159;535869713;70452;236534;80860;-6286;381560;190670406;77849584;32254113;1541967783;80860;1541886922
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43617;33164760;281159193;258293394;473462681;-29652446;443810235;7183858;1214304;836030;-273386;8960806;255202609;137583152;56499003;1474673152;836030;1473837123
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43617;9543925;216896205;216115656;673527892;-35532433;637995459;0;0;0;0;0;82684456;137244786;13756813;1314237300;0;1314237300
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43617;14883265;106081333;303427541;361441906;-34655761;326786145;34744;3865353;1461689;-148603;5213183;197190194;96046806;75127106;1124755573;1461689;1123293885
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43617;13328986;38898692;198048269;257577835;-17496300;240081535;23004;4796662;2130044;-70056;6879654;227060390;97237480;13557700;835092705;2130044;832962661
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43617;252548;104527635;176838784;293661940;-13603773;280058167;0;0;0;0;0;36646879;191865465;9155818;799345295;0;799345295
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43617;871392;42529238;37066304;61494772;-2298280;59196491;17223;1355628;505370;-18860;1859360;11916735;13762265;5501316;172703101;505370;172197732
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43617;1719343;49030972;34632800;21747462;-886063;20861399;0;0;0;0;0;50959918;2483175;11621589;171309195;0;171309195
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43617;306442;6187648;26663973;47393778;-2979895;44413883;7021;128285;508;-5334;130481;12533362;1028888;2397977;93662653;508;93662145
