Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43617;2799;0;0;458732;0;461532;79493;0;0;61116;0;0;61116;5075546;5677687;291186;27662423;33631296;375;1672887;35304557
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43617;224594;0;348451;4027358;0;4600403;777734;1258450;2781034;5509381;0;51780;9600645;7381902;22360685;835832;7810322;31006839;27918;3882217;34916973
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43617;710;0;92338;626672;0;719720;11998;0;0;0;0;0;0;7732291;8464009;266533;23140290;31870831;7112;947926;32825869
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43617;46105;0;0;110497;0;156603;406599;2270803;503690;152418;0;0;2926911;18588970;22079082;468038;6191088;28738208;1053;3371936;32111198
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;I;3;RIO DE JANEIRO;RJ;43617;0;0;0;0;0;0;22023095;0;0;0;0;0;0;88249;22111344;419723;7585092;30116159;0;1335285;31451444
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43617;801066;0;447506;5682583;9709;6940864;2225974;954008;733885;10669097;20617;0;12377606;1688370;23232814;16666;4315056;27564536;90664;3517999;31173198
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43617;21001;0;6610027;11949263;0;18580292;700802;552148;5496;1318347;0;0;1875991;0;21157085;123258;4818141;26098485;6;4226557;30325047
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43617;0;0;0;398924;0;398924;5625617;0;0;0;0;3812544;3812544;2561871;12398956;5863479;6691033;24953468;0;3478961;28432428
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43617;871084;2901956;170061;8430581;7960;12381642;12290037;443680;137223;0;0;0;580903;187215;25439796;0;826365;26266161;4343;1530907;27801411
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43617;918908;0;211924;5681356;0;6812187;1548842;0;0;0;0;0;0;0;8361029;5331595;6154127;19846750;1389;2734798;22582937
