Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43617;115498449;10874641;126373090;11894009;138267098;724300393;9836048;972210;18194889;12356339;41359486;81341095;847000974;1478263873;0,1364;0,1492;0,1632;0,0855;0,277
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43617;95843071;9605051;105448122;25359445;130807567;632614591;4229468;1624924;5193926;619283;11667602;57494077;701776270;1201736350;0,1366;0,1503;0,1864;0,0877;0,3439
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43617;70176532;23855445;94031977;36141215;130173191;610315136;16055696;399092;4248914;0;20703702;70105346;701124185;1364061257;0,1001;0,1341;0,1857;0,0689;0,1419
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43617;132446110;0;132446110;52678983;185125094;468299340;32096001;0;2607548;0;34703549;39989984;542992872;875676951;0,2439;0,2439;0,3409;0,1512;0,043
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43617;71508324;0;71508324;32733485;104241809;424120158;5091956;1899249;3554572;166069;10711845;78899760;513731763;1407344668;0,1392;0,1392;0,2029;0,0508;0,1023
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43617;62737928;4840415;67578342;4832630;72410973;370990437;5801558;24201;20944139;2693778;29463676;46526950;446981063;759046461;0,1404;0,1512;0,162;0,089;0,1061
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43617;12124198;3514850;15639048;3504162;19143210;59671750;2166375;6088788;45626575;9270950;63152688;6958234;129782672;161040962;0,0934;0,1205;0,1475;0,0971;0,3775
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43617;12260515;1160087;13420603;3330306;16750909;96348258;1978750;0;1852288;652700;4483738;8376129;109208124;193099780;0,1123;0,1229;0,1534;0,0695;0,3197
