Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2012;284617647;913884;10932834;24759755;25332874;5773436;2204696;0;69917480;19835;1346532;2715733;7785856;11598317;9994660;1053104;34514038;107498;2087187;994198;593053;0;0;0;3781937;544186;14640691;3553997;1503173;11576;0;2;20253626;304158;4953743;7292715;380050;83243;1052;0;13014961;272608;2598041;534616;1182576;669712;194561;1775;5453888;296873;4298661;14178448;23154697;8530182;9460999;2980024;62899883;51096;4820442;13347864;14085767;1500205;1188382;38828;35032584;0;15147;220289;1000374;57742;6851;1121;1301525;38447726
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2012;252449372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52304;6963194;21818457;54473116;45171484;97576685;26394132;252449372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2012;214672063;1167503;11205335;16808564;13436176;1705009;380439;9688;44712712;167464;1590083;4105070;5883935;1523644;669107;0;13939304;1174073;10694231;475419;0;0;0;0;12343723;198575;10791131;1707662;34846;1621;0;0;12733835;46563;2910964;3726344;992312;436399;174123;0;8286705;850677;2729441;2515599;3148246;760810;103632;159;10108564;78528;2397243;8744416;15035406;5013588;3313087;298336;34880605;5660;991129;4130633;618839;162381;290125;0;6198767;13405;498499;2329332;3658226;387908;808976;2347;7698693;63769157
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2012;207437063;691334;8772129;15379317;15223167;3501018;1278794;0;44845759;225832;2435613;4825878;5363725;834805;38861;102;13724816;515753;8066152;2373244;1191;0;0;0;10956341;331535;9840336;1062805;3675;0;0;0;11238352;46950;3607285;5169560;2093803;1101902;457364;0;12476864;688960;2019703;1847714;2111716;784264;126705;186;7579248;52168;2404607;8140815;12548144;3863396;2427373;438149;29874652;12316;409959;2034922;157387;71436;2216062;78;4902161;6945;140528;1035002;5827988;3497343;1812738;44389;12364933;59473937
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2012;98813350;1479792;5388444;11391357;19676036;5416452;1494785;0;44846867;398122;289430;434249;963542;681598;329501;0;3096441;307411;725452;2646061;145880;62261;1215;0;3888279;50515;1241096;80504;0;0;0;0;1372116;0;1113;42763;50357;3379683;3374058;0;6847974;74159;527923;171544;943;8;0;0;774577;163118;1439536;3009411;5798779;3998323;11907909;4924239;31241315;0;0;0;0;0;0;0;0;22936;635050;951683;4734909;282762;107632;10808;6745781;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2012;98002263;1152953;7165176;10960091;10490633;1954706;711741;5337;32440638;128925;2255335;2884944;2307527;403278;434244;546688;8960942;842344;5548860;1472167;331278;159601;60023;1888;8416160;110723;4961874;516726;303247;14523;6985;653;5914732;46916;2623145;4107453;2067614;906266;121965;0;9873359;905193;2511101;2017699;2789866;768506;287579;2219;9282162;76917;631292;1359420;2333058;611102;276245;471;5288506;43;386575;1638671;28984;11352;6900;0;2072525;2209;675525;2909785;2677226;296043;1180634;0;7741421;8011818
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2012;41140874;244342;5015592;4111402;3560096;921255;173360;0;14026047;34703;1375531;1861561;1598405;648572;230034;0;5748807;56376;1768990;124040;183;0;0;0;1949589;2823;2054615;357395;168377;10818;72;0;2594100;5513;894119;715931;1895;948;0;0;1618405;7396;47496;80633;1041;0;0;0;136567;27408;852095;2398199;4080237;979377;213343;0;8550659;6;92260;516235;4884;861;1198;0;615444;0;1068;34035;74990;0;0;0;110093;5791163
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2012;38650297;187593;3575238;4456487;3177729;627329;58677;0;12083052;13851;209873;489654;609685;84461;135;0;1407658;124027;1882985;793580;193;8;0;0;2800793;54931;2255412;304366;29122;51;0;5191;2649072;0;1191471;1700450;12758;1500;0;3572;2909751;37742;663137;1097242;1139656;440463;176080;21;3554341;985;397870;1164878;1142358;234045;39398;0;2979535;2294;477880;1533019;55175;17448;1831;0;2087648;1836;252862;574940;391860;1894;0;0;1223392;6955054
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2012;20508367;125946;1804849;2536109;2488591;436960;218929;0;7611384;55025;280180;671354;976686;259433;34;49;2242760;4327;82194;10988;0;0;0;0;97509;5535;99777;7404;0;0;0;0;112716;58986;603295;852422;757625;535555;801544;0;3609428;676;81757;34182;32178;810;0;0;149603;7402;404672;1483614;1709121;569576;607674;22923;4804982;180;46348;158593;16020;942;2618;0;224700;0;0;0;0;0;0;0;0;1655285
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2012;13638457;1101;42610;89570;95276;18994;68;0;247620;25363;2574181;1210299;716326;87037;166;0;4613373;0;0;0;0;0;0;0;0;0;0;6805;0;0;0;0;6805;0;0;0;0;0;0;0;0;9903;79006;14746;7068;3236;578;0;114536;81063;940526;2474058;4096170;1047122;17184;0;8656123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
