Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2012;474317973;137375160;92605873;149473522;30722088;7942163;3417891;1547790;1878497;10907263;38447726
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2012;376183861;100925754;120458416;26201846;18950169;10998248;3851118;3135561;2869410;14516271;74277067
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2012;353766826;32699385;177012448;52703397;62542788;10496157;2545334;1707734;1259742;12799842;0
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2012;318342765;34435817;106854454;39883500;53163895;7210173;2714345;2016633;1772686;10693666;59597596
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2012;252450109;90441556;120823584;31970266;8064374;207282;595099;19210;76009;252730;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2012;211042869;32886356;107284534;17607085;13185894;4761581;2496098;3940747;1572165;8290809;19017599
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2012;64778401;7545745;35932331;8068210;5278512;1432793;1052175;537183;590640;2685527;1655285
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2012;58861494;21301323;18735113;5141920;2239893;753976;445918;369938;533894;2384465;6955054
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2012;48609389;26984650;10103484;1850261;1561648;740922;270163;255881;132161;916067;5794153
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2012;24240449;0;21945635;864024;289279;216879;112214;129282;97268;585868;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2012;22917349;3999948;10003774;3729827;1822417;1151719;347131;312401;243241;1306890;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2012;22702492;3239547;10640093;4197851;2017611;636368;521163;563032;160462;665438;60928
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2012;21670768;528007;14838794;2966667;1737736;459803;262868;133401;112822;630670;0
