Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/12/2012;284617647;26643850;46038579;74885905;98566387;35200;38447726
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/12/2012;252449372;25640563;154315;3438202;223216292;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/12/2012;214672063;13229783;16640299;60454184;60515865;62776;63769157
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/12/2012;207437063;42809046;28239430;63844637;12990192;79821;59473937
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/12/2012;98813350;12897047;17919529;8927382;59043225;26167;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/12/2012;98002263;10136046;16205158;45940876;17684415;23950;8011818
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/12/2012;41140874;860036;1652649;17928555;14907222;1248;5791163
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/12/2012;38650297;1951378;3634584;13216036;12882852;10393;6955054
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/12/2012;20508367;1212671;3995483;5827267;7817552;110;1655285
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/12/2012;13638457;2105703;4186913;2988609;4356716;515;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/12/2012;11656695;3275148;522828;286199;7505435;6156;60928
BIC;32119;b1;C;2;;199;SAO PAULO;SP;01/12/2012;11400813;826371;413965;6450605;3060095;19;649758
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/12/2012;10459764;149123;581100;1944365;7784702;474;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/12/2012;8928440;705139;1437016;5722254;1064025;5;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2012;8740611;674055;493449;4546185;3026747;176;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/12/2012;8315810;1366304;727594;4184492;677178;12;1360230
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2012;7721528;587994;43592;720016;4442279;0;1927648
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2012;6045407;526327;146357;2748594;2623347;781;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2012;5931099;328817;746626;1331106;3524542;8;0
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2012;5163333;161103;3156;84077;712282;0;4202716
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2012;5140211;139550;329721;1968700;2702146;94;0
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;01/12/2012;4899947;941988;1984852;1034913;63591;499;874103
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2012;4686050;564178;786559;1089839;1886630;0;358844
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2012;4334978;961048;1724786;1443878;205264;3;0
