cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;mar/15;759.546.027;2.318.607;9.768.379;27.030.932;53.703.170;28.170.986;8.129.337;97.897;129.219.308;2.073.430;5.034.082;12.416.861;13.812.228;3.955.773;1.707.671;134.100;39.134.145;386.069;2.621.532;6.473.497;9.315.657;1.439.487;5.144;5.617;20.247.003;1.781.012;11.582.105;30.695.285;69.377.209;54.985.517;146.478.270;60.274.756;375.174.155;2.984.367;24.261.115;4.409.256;215.430;495;0;155.120;32.025.783;1.915.201;12.990.049;41.756.994;28.110.748;21.226.160;26.178.133;49.525;132.226.808;2.390.847;8.706.618;8.861.761;4.615.574;2.391.108;2.278.008;261.722;29.505.636;2.013.189
1%;1 - Público;mar/15;51,46%;62,57%;43,51%;45,04%;49,49%;56,66%;59,39%;99,27%;50,05%;32,68%;23,42%;34,38%;43,88%;57,22%;71,25%;94,89%;37,31%;10,31%;9,79%;10,18%;11,68%;15,06%;8,56%;73,54%;11,03%;91,06%;85,78%;86,14%;86,54%;86,18%;83,17%;75,07%;83,10%;19,53%;22,57%;13,87%;13,61%;0,38%;0,00%;98,58%;20,47%;82,02%;57,77%;63,61%;64,92%;73,75%;84,85%;98,98%;68,35%;33,09%;27,51%;37,67%;25,48%;35,72%;63,30%;28,04%;32,16%;5,53%
2;2 - Privado Nacional;mar/15;503.915.995;932.232;10.621.074;27.638.485;46.603.080;19.004.556;5.014.402;540;109.814.368;3.001.563;13.647.212;18.623.695;12.323.351;1.853.658;622.237;6.017;50.077.733;2.327.565;14.784.096;34.621.573;43.102.630;4.876.214;45.302;4;99.757.382;132.251;870.278;2.439.986;5.450.384;5.029.734;18.574.893;14.788.004;47.285.531;9.544.578;61.562.183;22.306.395;654.639;2.248;17;2.225;94.072.285;277.110;6.826.721;17.582.209;8.638.916;4.081.642;3.050.333;509;40.457.440;2.988.848;16.616.625;9.031.952;8.501.679;2.292.448;793.461;663.015;40.888.029;21.563.227
2%;2 - Privado Nacional;mar/15;34,14%;25,16%;47,31%;46,05%;42,95%;38,22%;36,63%;0,55%;42,53%;47,31%;63,48%;51,57%;39,15%;26,81%;25,96%;4,26%;47,75%;62,16%;55,21%;54,45%;54,04%;51,00%;75,36%;0,05%;54,36%;6,76%;6,45%;6,85%;6,80%;7,88%;10,55%;18,42%;10,47%;62,46%;57,27%;70,16%;41,35%;1,74%;0,06%;1,41%;60,12%;11,87%;30,36%;26,79%;19,95%;14,18%;9,89%;1,02%;20,91%;41,37%;52,51%;38,39%;46,93%;34,25%;22,05%;71,04%;44,57%;59,27%
3;3 - Privado com Controle Estrangeiro;mar/15;212.614.870;454.615;2.060.570;5.349.991;8.204.535;2.547.985;544.827;178;19.162.702;1.269.218;2.818.000;5.071.706;5.338.999;1.104.414;66.981;1.200;15.670.518;1.030.682;9.372.653;22.492.134;27.348.232;3.244.632;9.669;2.017;63.500.020;42.674;1.049.484;2.498.611;5.338.535;3.785.939;11.055.487;5.223.779;28.994.510;2.751.458;21.679.252;5.079.826;713.063;126.511;26.104;18;30.376.232;142.758;2.669.232;6.301.767;6.550.799;3.474.335;1.623.630;0;20.762.521;1.845.316;6.320.168;5.630.924;4.999.797;2.010.490;527.557;8.577;21.342.829;12.805.539
3%;3 - Privado com Controle Estrangeiro;mar/15;14,40%;12,27%;9,18%;8,91%;7,56%;5,12%;3,98%;0,18%;7,42%;20,01%;13,11%;14,04%;16,96%;15,97%;2,79%;0,85%;14,94%;27,53%;35,00%;35,37%;34,29%;33,94%;16,08%;26,41%;34,60%;2,18%;7,77%;7,01%;6,66%;5,93%;6,28%;6,51%;6,42%;18,01%;20,17%;15,98%;45,04%;97,88%;99,94%;0,01%;19,41%;6,11%;11,87%;9,60%;15,13%;12,07%;5,26%;0,00%;10,73%;25,54%;19,97%;23,94%;27,60%;30,03%;14,66%;0,92%;23,27%;35,20%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;1.368.843.315;3.677.095;21.899.959;58.653.271;106.383.415;48.916.001;13.413.096;98.310;253.041.148;4.874.913;16.733.993;30.178.486;26.747.545;5.691.273;1.904.450;135.311;86.265.972;3.406.957;21.995.098;51.931.637;65.668.084;7.857.356;51.676;7.638;150.918.445;1.951.106;13.424.533;35.520.297;79.934.819;63.568.233;175.765.511;80.190.981;450.355.481;13.651.367;100.048.272;29.054.172;1.248.159;129.230;26.113;155.137;144.312.451;2.119.873;16.957.937;55.378.512;36.240.124;25.292.525;27.777.428;48.367;163.814.766;6.864.261;28.474.519;21.286.387;17.048.323;6.387.835;3.400.186;291.586;83.753.097;36.381.955
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;92,74%;99,23%;97,55%;97,72%;98,04%;98,38%;97,99%;99,69%;98,00%;76,84%;77,84%;83,57%;84,98%;82,32%;79,46%;95,75%;82,25%;90,99%;82,14%;81,67%;82,33%;82,19%;85,96%;100,00%;82,24%;99,75%;99,43%;99,68%;99,71%;99,63%;99,81%;99,88%;99,76%;89,34%;93,07%;91,38%;78,84%;99,98%;99,97%;98,59%;92,23%;90,78%;75,42%;84,37%;83,69%;87,88%;90,03%;96,67%;84,68%;95,01%;89,99%;90,49%;94,10%;95,43%;94,48%;31,24%;91,30%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;38.222.607;444;7.592;19.847;21.317;1.853;0;0;51.053;2.683;22.619;55.897;38.723;4.627;1.594;0;126.143;241.826;3.984.479;9.681.045;11.289.491;1.348.990;1.955;0;26.547.786;0;0;0;0;0;0;0;0;715.829;2.495.969;941.982;76.770;10;8;0;4.230.567;57.238;860.719;984.212;2.863.495;1.579.122;587.321;0;6.932.108;14.272;85.983;67.359;134.665;26.261;6.410;0;334.949;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;2,59%;0,01%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,11%;0,15%;0,12%;0,07%;0,07%;0,00%;0,12%;6,46%;14,88%;15,22%;14,15%;14,11%;3,25%;0,00%;14,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,68%;2,32%;2,96%;4,85%;0,01%;0,03%;0,00%;2,70%;2,45%;3,83%;1,50%;6,61%;5,49%;1,90%;0,00%;3,58%;0,20%;0,27%;0,29%;0,74%;0,39%;0,18%;0,00%;0,37%;0,00%
