cat;Categoria;Data;Qt_Operações
C;C - Conglomerado;mar/15;324.404.023
C%;C - Conglomerado;mar/15;76,26%
I;I - Instituição independente;mar/15;101.002.596
I%;I - Instituição independente;mar/15;23,74%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;379.192.020
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;89,14%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;7.124.472
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;1,67%
b3S;b3S - Cooperativa de Crédito Singulares;mar/15;7.575.852
b3S%;b3S - Cooperativa de Crédito Singulares;mar/15;1,78%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/15;898
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/15;0,00%
b4;b4 - Banco de Desenvolvimento;mar/15;120.379
b4%;b4 - Banco de Desenvolvimento;mar/15;0,03%
n1;n1 - Não Bancário de Crédito;mar/15;31.392.567
n1%;n1 - Não Bancário de Crédito;mar/15;7,38%
n2;n2 - Não Bancário de Mercado de Capitais;mar/15;431
n2%;n2 - Não Bancário de Mercado de Capitais;mar/15;0,00%
1;1 - Público;mar/15;102.194.303
1%;1 - Público;mar/15;24,02%
2;2 - Privado Nacional;mar/15;263.126.994
2%;2 - Privado Nacional;mar/15;61,85%
3;3 - Privado com Controle Estrangeiro;mar/15;60.085.322
3%;3 - Privado com Controle Estrangeiro;mar/15;14,12%
