Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2017;25651427;87849021
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2017;24186989;91603256
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2017;14807759;34565690
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2017;13391948;34366045
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2017;11979827;31829195
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/12/2017;3466643;19472419
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;3091976;4561178
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/12/2017;2942499;5559188
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;2939823;6592566
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;2682451;8321023
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/12/2017;2492569;7207712
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;2174893;5059937
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2017;1797686;9502440
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/12/2017;1263856;1994586
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;943080;1402717
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/12/2017;935389;1451246
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/12/2017;821334;1853562
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/12/2017;799830;974903
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/12/2017;781581;1729942
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/12/2017;751147;1259768
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/12/2017;744008;1800486
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;731063;1685209
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2017;639780;779051
