Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2017;306013138;17499364;1113052;3225026;284175696;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2017;301992985;4679653;30534631;60348194;172798074;0;1283;33631151
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2017;292809505;2545429;14083034;42808779;68395484;0;10494;164966284
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2017;233990564;43928312;12976986;44089252;55999883;0;10588;76985544
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2017;172951203;12343282;21295405;29338745;109971150;0;2620;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2017;119509831;3155671;15436898;38360825;49251987;0;4793;13299656
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;46439270;721917;883493;10606033;24242530;0;57;9985238
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2017;13234121;666788;145139;823502;6452476;0;0;5146217
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;13208660;797578;679666;503589;9539885;0;0;1687942
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;12748935;96162;1329485;4691881;4036314;0;2;2595092
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2017;10804157;3422245;0;394484;6987428;0;1;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/12/2017;10306888;736121;594246;4271016;4705502;0;2;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2017;9969495;332382;1327679;4273551;3923810;0;482;111591
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;9513740;1068879;270960;3731087;4330824;0;71;111918
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2017;7973581;598429;1746857;4123410;1504879;0;5;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/12/2017;7616903;173920;664462;3925092;2853429;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2017;6695367;635295;429211;2569867;3060987;0;8;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2017;6541845;599473;4748;617643;5319981;0;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;6188963;0;9778;1044250;5134935;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/12/2017;5831775;101516;345591;2692245;2692424;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;4716055;225649;295310;1703856;2491240;0;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;4598551;52123;131788;781732;893674;0;0;2739234
CREDIT SUISSE;30771;b1;C;3;S2;199;SAO PAULO;SP;01/12/2017;4170043;944;1661;111594;2626947;0;0;1428897
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;3949491;2567290;206753;696773;442066;0;426;36184
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;3763602;161050;138030;460163;2722924;0;0;281434
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/12/2017;3613599;736336;38309;965697;1197305;0;9;675943
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/12/2017;3447265;467453;19862;2071055;888894;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/12/2017;3332911;1557203;522062;998051;255595;0;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/12/2017;2953899;81;13347;623952;1981647;0;3;334870
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/12/2017;2947938;54291;550906;2049376;293366;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/12/2017;2700250;92894;133654;243680;2230021;0;1;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/12/2017;2595829;0;142030;2210628;243170;0;0;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2017;2447133;515929;152131;1623617;155455;0;0;0
