Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2017;693860418;127890803;482476875;29892774;0;0;22;38428161;0;0;508016;4388331;0;0;10207237;68198;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2017;620655660;363395590;60817034;17903919;0;110097;16173;98638820;0;35999641;2022091;254809;0;0;4541018;91327;36865139
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2017;534235133;225445304;46550153;10307359;0;814076;6675178;26796204;1189;689687;444601;90288;0;0;5131;378943;216037022
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2017;407151549;198866028;54321201;23137868;0;14940;11821847;36930343;170657;325944;3578002;0;0;24565;0;494206;77465948
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2017;306014660;55133329;29933;210823152;0;6917452;9492868;2408734;11388207;0;17837;9803150;0;0;0;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2017;271536499;176743728;40950903;8833297;0;1866;176122;21098477;1254664;0;386073;449831;0;3501;59604;118275;21460158
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;59808426;30158207;331365;2853319;0;0;1586797;14482366;332335;0;61440;310;0;6413;0;565;9995308
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;48255896;39690246;701962;978110;0;56306;881127;4010296;143028;0;965;97186;0;0;0;8727;1687942
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2017;30598966;20525947;5390388;273005;0;0;919979;3316300;0;0;44352;0;0;0;0;17405;111591
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;18366872;16237585;386731;0;0;0;0;1224152;0;0;340792;96714;0;0;74841;6057;0
