Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2017;693860418;365388547;66811943;121926789;71593663;29993177;7837530;8795696;2841621;18671453;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2017;620655660;282419279;60043863;128290469;60528947;10150901;12602351;5192386;5929853;18632472;36865139
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2017;534235133;123553889;128883143;17225946;14167395;8099217;4488919;5334582;3869918;12575103;216037022
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2017;407151549;98599756;120085372;36490939;33164906;9145611;6488939;4007532;2907751;18794796;77465948
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/12/2017;306014660;42998101;88721150;114719465;38663439;3425140;14886533;94056;40857;2465918;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2017;271536499;84688072;105450331;18734111;12643016;9921091;4291619;3471299;1857017;9019785;21460158
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;59808426;32039397;13204230;1990817;657656;563471;60052;77976;79171;1140347;9995308
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;48255896;3136367;20291340;9407625;8447560;1594894;582445;434212;1051864;1621647;1687942
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2017;30598966;2706525;19332053;3322816;1385662;946534;342507;235280;329516;1886483;111591
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;18366872;0;14589206;984484;727146;535443;372232;330515;138566;689281;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2017;16913285;1974384;3720507;8731139;904055;782325;287231;151916;47942;313787;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;15815812;3623067;9322425;720451;1544760;101416;64935;187989;56920;193849;0
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;15161971;260;6899368;5675691;1398304;166628;105158;74512;40965;682451;118635
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/12/2017;13976680;6412439;5900744;581399;310138;170125;100625;232321;88361;180528;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/12/2017;13880056;1385037;2899006;1235441;487847;1608503;140470;585109;1278;152577;5384788
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/12/2017;13068585;483754;7783994;1900710;1471780;498223;317007;99938;76421;436756;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;12968703;567722;4202933;3876880;1137217;234304;131294;27928;30130;132104;2628191
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/12/2017;10958079;4112754;4112276;1103589;133036;394734;99190;258657;90470;653372;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/12/2017;10875422;5587010;3452899;1091299;195586;175574;28297;7536;52921;284299;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/12/2017;9111407;56233;6942251;844872;965922;119328;45133;25044;22119;90504;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/12/2017;8709674;8363966;340494;2864;287;78;127;82;58;1718;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/12/2017;8626053;5080545;1387779;943252;530029;259169;66486;59013;47993;251760;27
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;8483361;0;7487109;209871;99883;38746;98342;77468;115909;356032;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/12/2017;7964631;233483;3947343;2404221;436219;349097;256705;154532;33793;149237;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;7718190;1667984;4187362;1308967;446876;33807;26969;10205;4280;31739;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/12/2017;7692439;927976;2501858;1747835;1329135;961849;52483;28291;21200;121812;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/12/2017;7116123;283827;2501787;387416;453942;141213;258548;75359;133559;141238;2739234
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/12/2017;7002638;394840;2656935;2293623;1129835;167692;111504;47894;21411;178903;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/12/2017;6287808;0;5065228;115491;99480;140483;178031;108570;81644;498882;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/12/2017;6059712;60465;5385293;116958;99121;68129;58311;44516;30615;196304;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/12/2017;6054126;2195970;662848;1081212;865014;321189;260090;52384;64443;550977;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/12/2017;6011006;463833;3401666;516690;207984;437068;304626;232538;108775;337827;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/12/2017;5772820;8615;4954952;579536;190610;20247;9515;1329;910;7106;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;4994797;880612;2828032;581618;353286;71778;106037;8348;52812;76090;36184
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/12/2017;4942134;0;3131900;1159834;475976;30442;36136;12220;7131;88494;0
CREDIT SUISSE;30771;b1;C;3;S2;199;SAO PAULO;SP;01/12/2017;4800301;300666;2424056;0;316490;15361;67612;25150;0;222069;1428897
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/12/2017;4787413;402469;3111984;657425;525694;52885;14606;4895;3431;14023;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;4064858;428220;495323;865515;1163331;130667;251526;10288;171137;267417;281434
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/12/2017;3933221;1894529;869407;395642;235924;171134;69286;71335;42523;183441;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/12/2017;3929767;756106;826536;1061522;125165;155165;126218;78172;33352;86581;680952
