Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/12/2017;520909215;2111383;6002464;15113919;25060690;11414197;4646221;677;64349550;631265;691026;1824650;1546411;524;0;19577;4713454;302148;1041752;2369277;2227301;71618;56;1700;6013852;1481856;12775723;34029359;77667545;62009805;166523059;62800053;417287399;1489843;6032320;1961847;124640;7696;5830;0;9622177;175735;358801;2495575;814473;306506;164806;60;4315955;2028812;3775165;3151278;2846981;1427275;1308947;68371;14606829;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/12/2017;318662676;274762;4630037;12254107;25093206;15958418;8643734;420124;67274388;595177;2837238;5908932;8473925;3735857;1627317;1140386;24318831;50424;579958;1408828;1827301;299706;82;54681;4220979;52091;574180;1250516;3317259;3260584;15987903;19632439;44074972;883807;20312094;3659300;255366;40;0;585586;25696193;2373454;10605100;49773093;33600667;22247136;19530748;690814;138821014;657785;1166880;2774418;3031679;1885423;1167958;338167;11022310;3233988
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/12/2017;241425629;445404;4073295;9908749;18410187;9375430;2213097;129;44426290;492358;1528656;2865876;4700078;1272678;35676;0;10895322;198482;1734124;4150416;6797243;1230888;2235;0;14113388;106522;911673;1482150;3885304;3656577;14789664;12552653;37384544;4528290;45659356;16322806;433411;44;1;0;66943908;302;54158;626892;154405;54197;22040;0;911994;1750063;4882395;2983652;4475236;1405925;182174;0;15679445;51070738
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/12/2017;173160985;231784;4835656;11538229;18426565;7191208;1742882;486;43966809;923336;4538967;5160693;2867159;302923;61004;88;13854169;296646;3207990;7386866;8820606;1070849;3124;0;20786081;81087;646275;1408218;3608762;3349394;13164045;10139259;32397041;4218427;19321061;9829969;419270;14167;435;0;33803329;342384;1361791;6852149;3373498;1503295;755770;0;14188887;1680791;4851295;2968630;3091703;842441;238720;10685;13684265;480404
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/12/2017;152026668;378097;2422165;6084087;9619083;4083233;1891219;251;24478135;649875;1148512;2456578;3580893;1017980;65042;112;8918992;517521;4929790;11792113;15971250;2357443;11480;2543;35582140;44843;1160530;2754688;5797180;4207641;10068322;4079259;28112463;1433877;17925628;5401277;505493;116877;41773;26;25424951;41563;364723;2588435;1311006;545390;387713;0;5238830;1655606;4500452;3599966;3921412;1654152;770350;8717;16110655;8160502
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;35047236;77287;385177;857983;1121448;311115;51278;0;2804287;13350;20848;155938;9599;15;0;0;199750;600112;4369258;10114229;13238373;1585526;456;0;29907954;0;0;0;0;0;0;0;0;287948;1159306;429590;12944;0;0;0;1889788;249;7659;20497;45693;4762;2278;0;81139;7318;7631;37523;83363;21058;7377;49;164319;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/12/2017;20629471;85654;879505;2344561;4246804;2363273;1175306;53;11095155;33369;500093;890973;221568;83505;20519;21;1750047;301;5572;13919;16184;1933;12;0;37921;2482;50281;139073;359630;336583;1306223;963786;3158059;34233;815791;207740;11411;0;0;0;1069175;38282;130469;675634;370666;257943;241854;21289;1736137;105036;1014135;245832;227441;111167;79305;59;1782976;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/12/2017;15924172;93299;622892;1657912;2871044;1410162;482824;0;7138134;11055;45538;93326;87136;3297;0;0;240352;158765;794968;1814066;2437287;289867;66;0;5495018;969;5489;13515;29946;22574;49282;9093;130867;298360;1701760;220102;15021;2320;676;0;2238238;0;0;0;0;0;0;0;0;51250;53483;128840;196426;99816;145371;6376;681562;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/12/2017;13369156;14992;489710;1331302;2497275;1347311;343318;0;6023909;1781;176523;275770;221990;44508;5992;0;726566;39814;837926;2044939;2828784;370602;206;0;6122271;20;300;263;837;1055;427;0;2902;5697;159722;49363;37;0;0;0;214820;2;6796;40607;35981;13621;5800;0;102808;2598;108505;46045;4990;2809;864;0;165811;10070
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/12/2017;10371440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92429;172841;2820843;1095484;565859;335101;0;5082558;97764;178291;2375261;1636086;787247;214234;0;5288882;0
