Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2021;298698108;379844;6141522;17318442;31793269;16756467;10094537;959;82485039;854017;6692167;10025112;10512350;2187708;531133;1107;30803595;301154;3842027;9937137;14346712;2602569;17478;33;31047111;60025;2124547;5870875;13448877;10734685;28413179;10250457;70902646;3734188;29272510;10640690;1594719;141911;27086;0;45411105;97903;1562158;5537485;6646730;1571051;663456;0;16078783;1217672;5805538;3692096;4870507;1916975;588664;11387;18102839;3866991
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2021;390682240;573635;5024966;13923455;24305132;11686132;5665559;0;61178878;212992;2972700;6240438;6397011;1364181;76579;0;17263901;326583;3357296;8611741;13221699;2592484;7164;0;28116967;39391;2234873;6437110;14912755;12013183;32108167;11120324;78865802;5096223;61090206;28227249;2535117;83503;173;0;97032471;1960;362601;1609100;327234;66664;31989;0;2399549;2056572;8170138;7200036;7068859;2036007;507595;283;27039490;78785183
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2021;31456159;38378;565671;1624480;3161041;1771053;991747;0;8152370;15608;921635;2179498;2495561;844081;33088;0;6489471;113694;1859710;4817991;7045756;1139053;1846;0;14978051;58;2683;8017;20747;20079;75104;61717;188404;56489;774932;307678;14962;2070;4;0;1156135;0;33305;97848;63968;36876;8826;0;240823;7354;109850;99310;30856;1075;788;0;249233;1673
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;293091;0;0;0;0;0;0;0;0;0;0;174165;0;118926;0;0;293091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2021;7186850;19207;327848;1055199;1953261;1065755;574510;0;4995780;80805;354180;622093;529945;73492;28883;0;1689398;16;341;458;97;0;0;0;912;44;1308;3022;7330;6445;21667;7756;47570;18590;246229;56631;676;0;0;0;322126;495;728;3539;10868;0;0;0;15630;8752;40721;41546;20315;4075;26;0;115434;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/09/2021;3836024;5519;110954;326283;676456;455617;431425;0;2006255;4679;42114;78983;88514;26696;3774;0;244760;79;3092;8907;16185;4695;92;0;33050;204;9039;26781;70151;68389;296259;275784;746608;13045;407277;19177;3880;0;0;0;443380;508;18561;26142;41360;25376;7984;0;119931;6455;80333;64531;72188;12286;6012;236;242040;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2021;29284104;65668;1044754;3071476;6424452;4032855;2985583;166;17624955;69197;458973;417600;262469;65852;21159;0;1295250;67;1149;3374;4608;925;8;0;10131;2646;66568;158440;412320;387368;1532362;1169876;3729579;75090;1169278;336982;4932;0;0;0;1586282;13225;232928;1893669;734960;326923;272089;35509;3509303;76156;922070;187452;186439;86727;69692;66;1528604;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2021;10676480;11586;151450;441435;868072;529219;319379;5;2321147;307059;332693;327395;44775;14190;440;4;1026555;20;10;19;25;0;0;0;75;0;0;0;0;0;0;0;0;295866;5628042;105961;12565;7966;0;0;6050402;0;0;0;0;0;0;0;0;622;19180;14476;18414;2981;2404;0;58077;1220225
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2021;256355190;888669;3815939;10332622;18790059;10377905;7797505;555;52003254;742019;2169139;4519450;5668399;2179190;663089;17500;15958787;680639;6880363;17629962;26714309;5243761;31126;4483;57184644;42830;1507667;4346989;9992452;7950086;20581602;7162341;51583967;1881271;26426861;10457507;1060174;243845;144905;44;40214607;35707;1074406;3491212;2626681;1228664;887791;0;9344461;1780220;6059184;5523939;6287016;3597124;3109127;154289;26510899;3554572
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2021;31051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8041;10040;7124;3834;2012;0;31051;0
