Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2021;626658852;160630045;122056176;125036309;70579419;20304106;8261869;4805977;4618705;17605624;92760621
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2021;855078899;254602689;166763055;34448584;27969022;9228782;4135879;5767094;5193105;11603670;335367019
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2021;101732313;52811940;4169022;27434666;4629725;755756;204987;1076623;178363;818653;9652577
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;4170444;3371818;377338;198545;10959;0;0;211784;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2021;8114074;266879;6838310;231878;143980;122956;65080;88691;150052;206248;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/09/2021;6110839;2625689;1667766;980209;434846;93932;31073;50179;78709;148438;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2021;38596796;4009640;20829884;8628159;1476394;677195;254343;200080;575357;1807753;137991
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2021;12869607;471840;9946606;224653;217703;64921;93747;96899;61383;471631;1220225
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2021;449279468;150762757;123290754;42643411;31239964;12655652;4661851;3979310;3746185;11164829;65134754
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2021;25476695;12245895;10449143;2265100;243770;159970;81837;508;25841;4631;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;11235987;6498036;4407603;31656;4165;4204;0;0;48963;497;240862
H.H.PICCHIONI;30829;n2;C;2;S4;196;BELO HORIZONTE;MG;01/09/2021;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/09/2021;5813674;0;5497925;91437;66223;29815;28631;21810;14320;63512;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;1907975;1082626;378315;380724;48927;130;2215;656;0;14384;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/09/2021;5880909;1281;4688094;715606;312062;73375;62568;4518;4265;19140;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2021;19649340;12470721;3408785;2166466;898761;260784;88728;66041;55181;233873;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;9748950;1944742;2989313;2303336;149586;5287;1354;7738;63933;199898;2083763
