Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;set/21;464.396.659;5.594.565;27.791.697;79.346.486;94.351.370;729.680;1.024;256.581.836
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;set/21;327.960.743;9.454.132;50.792.281;76.639.573;102.123.827;56.734;566;88.893.630
BB;49906;b1;C;1;S1;199;BRASILIA;DF;set/21;283.170.736;5.100.200;37.406.271;57.274.204;154.301.171;2.190.432;328;26.898.129
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;set/21;271.048.139;0;903.798;11.948.364;253.226.057;4.969.921;0;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;set/21;192.924.277;7.090.173;31.087.963;40.532.142;50.596.771;2.035.112;1.934;61.580.183
CAIXA ECONÔMICA FEDERAL;51626;b1;C;1;S1;199;BRASILIA;DF;set/21;188.554.398;19.366.984;35.825.631;35.013.454;98.348.243;0;85;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;set/21;70.276.154;938.779;3.606.156;20.516.523;35.337.378;226.134;279;9.650.905
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;set/21;59.565.169;14.612.685;4.152.294;3.589.314;19.413.271;96.336;0;17.701.268
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;set/21;25.931.170;484.740;993.676;10.579.523;12.388.949;967.548;15;516.719
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;set/21;25.445.644;2.130;27.539;2.223.305;21.312.757;1.879.913;0;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;set/21;21.382.473;529.460;1.161.550;7.621.620;9.064.554;947.077;2;2.058.211
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;set/21;14.128.717;1.976.671;162.281;1.476.426;9.320.452;67.712;22;1.125.153
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;set/21;13.796.932;868.385;3.880.272;7.473.357;1.574.917;0;1;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;set/21;13.688.609;596.783;2.144.407;5.532.567;5.411.486;3.367;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;set/21;12.101.531;285.284;105.580;670.042;11.040.625;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;set/21;10.456.028;181.936;981.294;4.425.494;4.359.051;508.253;0;0
BOCOM;52003;b1;C;3;S3;199;SALVADOR;BA;set/21;9.505.713;0;21.399;1.949.046;3.873.361;0;0;3.661.908
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;set/21;9.312.692;330.656;1.761.512;2.903.950;3.956.240;222.322;21;137.991
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;set/21;8.400.071;15.583;318.564;2.635.228;3.346.637;296;0;2.083.763
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;set/21;7.463.584;227.685;627.926;1.727.323;4.309.172;571.479;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;set/21;7.257.595;0;16.340;841.891;6.190.453;208.911;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;set/21;7.248.123;1.299.803;2.417.484;3.287.152;76.315;167.369;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;set/21;6.410.169;461.660;346.678;2.532.606;2.674.892;394.332;1;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;set/21;6.359.222;218.690;329.259;928.957;1.011.632;2.032.305;558;1.837.821
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;set/21;6.279.276;31.769;416.585;712.416;4.877.645;0;0;240.862
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;set/21;5.908.102;308.899;1.424.290;3.537.896;624.840;12.177;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;set/21;5.833.514;219.941;28.533;784.493;4.794.353;6.195;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;set/21;5.830.583;861.939;1.388.889;2.979.041;520.680;80.032;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;set/21;5.569.561;325.191;833.352;1.768.670;2.324.506;317.840;0;0
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;set/21;5.344.098;308.495;507.712;3.923.537;132.542;471.813;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;set/21;4.443.147;2.331.014;36.021;1.435.447;640.665;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;set/21;4.271.738;153.949;621.946;413.879;3.081.965;0;0;0
BANCO SICOOB;51750;b1;C;2;S3;199;BRASILIA;DF;set/21;4.213.153;1.055.377;1.555.115;1.266.169;159.472;176.915;104;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;set/21;4.063.168;350.039;140.953;1.094.018;2.195.916;257.390;0;24.852
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;set/21;3.992.867;11.614;100.495;924.801;2.211.684;699.604;0;44.668
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;set/21;3.877.352;15.910;0;1.309.482;2.551.960;0;0;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;set/21;3.817.570;41.654;214.832;1.331.918;1.952.553;239.483;0;37.130
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;set/21;3.718.445;1.118.709;470.149;591.001;51.096;1.487.359;130;0
MASTER;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;set/21;3.538.677;87.996;154.955;197.916;61.283;3.036.526;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;set/21;3.195.830;0;0;110.781;2.933.095;151.953;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;set/21;3.183.778;0;0;971.312;2.174.297;0;0;38.169
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;set/21;2.789.180;72.823;442.226;1.610.138;647.148;16.845;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;set/21;2.751.284;230.034;866.105;1.434.039;221.101;0;5;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;set/21;2.637.119;0;0;279.696;2.357.423;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;set/21;2.478.147;6.825;433;19.122;2.451.767;0;0;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;set/21;2.450.310;294.171;453.545;847.548;855.039;6;1;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;set/21;2.274.815;162.972;640.881;1.001.046;456.437;13.480;1;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;set/21;2.227.433;36.081;211.358;1.249.650;730.345;0;0;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;set/21;2.193.127;750.433;312.015;717.167;232.203;181.305;5;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;set/21;2.162.484;52.788;291.220;1.373.399;427.800;17.277;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;set/21;2.145.985;668.396;1.139.201;327.894;3.400;7.086;7;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;set/21;2.094.797;283.868;977.054;763.429;26.318;44.126;2;0
