Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/09/2021;626658852;345755857;80109648;2524136;5487306;13084;19891588;52745597;10952613;0;158344;90891;0;467548;0;14997731;0;0;0;71658;92760621
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/09/2021;855078899;358888758;76659327;1779959;1158169;125866;15842704;49907889;6203622;25572;97503;209909;0;0;309050;0;0;0;0;144314;335367019
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/09/2021;101732313;61470889;331974;272030;703003;0;0;28432497;819609;0;1941;0;0;0;0;0;0;0;0;2320;9652577
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;4170444;2639215;0;0;0;0;0;1531228;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2021;8114074;7463700;75622;0;0;0;15533;554085;3942;0;0;0;0;0;0;0;0;0;0;1191;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/09/2021;6110839;3229078;825079;8888;2094;0;1209;1761022;215824;0;1592;0;0;0;0;65944;0;0;0;109;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2021;38596796;27793387;5187465;104595;12007;0;6167;4487602;795926;0;32911;0;0;0;36967;0;0;0;0;1778;137991
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2021;12869607;11300670;0;0;0;0;10646;240218;0;0;0;0;0;0;91851;0;0;0;0;5998;1220225
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/09/2021;449279468;289850249;60625152;979059;896386;61;23862;26433319;2813301;0;587507;38403;0;8305;1835819;0;0;0;0;53288;65134754
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2021;25476695;17262355;0;0;0;2740865;0;5473475;0;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;11235987;81566;0;0;0;831367;0;8813077;0;0;0;1269115;0;0;0;0;0;0;0;0;240862
H.H.PICCHIONI;30829;n2;C;2;S4;196;BELO HORIZONTE;MG;01/09/2021;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/09/2021;5813674;5798614;0;0;0;0;1170;3769;0;0;9137;0;0;0;0;0;0;0;0;985;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;1907975;1426265;0;0;0;0;22184;459526;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/09/2021;5880909;1799045;0;0;0;0;0;3887211;0;0;0;21360;0;0;173269;0;0;0;0;-75023;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2021;19649340;14426728;0;38205;0;0;3910329;925267;0;0;22700;325830;0;0;0;0;0;0;0;281;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;9748950;1933042;6285;0;0;0;0;4008245;0;1716566;0;0;0;0;0;0;0;0;0;1049;2083763
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2021;21746543;5540814;0;33918;164546;0;0;11826912;213688;0;53694;300346;0;0;1554411;0;0;0;0;2;2058211
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/09/2021;731579277;480525506;51718437;8148859;8127470;5564;654;81847366;14121825;44351713;2206155;124115;0;0;3675626;0;0;0;0;23695;31140919
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/09/2021;94638940;52779760;91864;3137367;0;84441;0;18365396;646317;0;201494;160501;0;0;962954;0;0;0;0;3183;18190488
FATOR;50122;b1;C;2;S4;199;SAO PAULO;SP;01/09/2021;22889;1;0;0;0;0;0;22888;0;0;0;0;0;0;0;0;0;0;0;0;0
MASTER;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/09/2021;4483716;3877439;0;0;0;0;9384;539243;0;0;57326;0;0;0;0;0;0;0;0;323;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/09/2021;4203988;1368960;122462;7347;0;0;96823;2092944;0;0;16553;88434;0;0;385612;0;0;0;0;0;24852
VR;50524;b1;C;2;S4;199;SAO PAULO;SP;01/09/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VOITER;50531;b1;C;2;S4;199;SAO PAULO;SP;01/09/2021;634298;232975;0;0;0;0;0;321514;0;0;7021;1340;0;0;71447;0;0;0;0;1;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/09/2021;4806294;4801405;0;0;0;0;0;2375;0;0;0;0;0;0;0;0;0;0;0;2530;0
