Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42339;68677378;27036585;95713963;39837233;135551196;785773084;15923161;4649;2418956;0;18346766;36389090;840508940;1262206221;0,0817;0,1139;0,1613;0,0758;0,167
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42339;100954697;45988;101000684;27464468;128465152;679593183;1536065;472600;11290673;952182;14251520;28622953;722467656;1285255152;0,1397;0,1398;0,1778;0,0786;0,2772
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42339;63331130;0;63331130;31665565;94996694;601621065;8334462;0;8646699;0;16981162;25729517;644331744;993545569;0,0983;0,0983;0,1474;0,0637;0,1525
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42339;77506951;0;77506951;25318399;102825350;556440558;7017833;500045;11151470;783;18670132;37106557;612217247;988502624;0,1266;0,1266;0,168;0,0784;0,3524
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42339;55537057;0;55537057;23425335;78962391;504257301;814019;0;1715595;0;2529614;40349756;547136671;1295336604;0,1015;0,1015;0,1443;0,0429;0,1434
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42339;47837090;4944870;52781960;5182065;57964025;330657190;3152585;0;17572336;192982;20917904;17039349;368614442;561967130;0,1298;0,1432;0,1572;0,0939;0,2125
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42339;17205070;5142708;22347779;3977264;26325043;125042996;12121216;16396582;12427318;3535964;44481080;758546;170282622;272598774;0,101;0,1312;0,1546;0,082;0,3494
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42339;8516392;0;8516392;6851917;15368309;94552694;485519;0;4813157;1639;5300315;12569554;112422563;177109131;0,0758;0,0758;0,1367;0,0481;0,1601
