Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42339;1403599145;717826171;1332284723;1108696665;71314422;5662856;135551196;0,1613;0,167;5434;1473
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42339;1238646330;469556011;1127584911;831502269;111061419;10861289;128465152;0,1778;0,2772;3806;945
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42339;1203854469;679486587;1177237591;1041160799;26616878;3045060;78962391;0,1443;0,1434;3408;843
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42339;930575889;406703109;899582602;599875457;30993287;2683959;94996694;0,1474;0,1525;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42339;883981368;366993204;795061429;634801667;88919940;8473010;102825350;0,168;0,3524;4525;1198
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42339;678126465;261292834;621054833;430303984;57071632;2490674;57964025;0,1572;0,2125;2758;1181
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42339;254295455;58899721;234627224;135697476;19668231;3392021;26325043;0,1546;0,3494;13;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42339;173770548;71293796;164216162;109820302;9554385;-778533;15368309;0,1367;0,1601;853;450
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42339;147533312;49605197;138618463;117973863;8914850;766615;12017698;0,148;0,2348;110;5
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42339;110423975;51227923;102807310;70221813;7616665;213943;10742263;0,1523;0,0468;94;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42339;76602765;21096755;68917179;36861515;7685586;530737;7490694;0,1363;0,1199;134;18
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42339;66908910;32030761;60700597;52670171;6208313;508841;7389175;0,1779;0,0395;535;204
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42339;46392859;11648579;43558845;15624515;2834014;230601;3348044;0,1339;0,0191;10;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42339;44126786;7708592;40488536;24539773;3638250;266284;5229177;0,1552;0,1001;10;0
