Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;42339;18189391;352833628;116897785;660324762;-32489941;627834821;395382;782419;303724;-49046;1432479;192311434;66480465;27922865;1403902869;303724;1403599145
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;42339;18173065;276859493;207230930;413057355;-31235051;381822303;1491100;7699954;4760743;-178183;13773614;234391805;70502074;40653788;1243407073;4760743;1238646330
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;42339;11511586;153488590;181424245;667349338;-33476881;633872457;0;0;0;0;0;74947767;135903215;12706609;1203854469;0;1203854469
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;42339;338250;35065096;143081866;405900177;-3819873;402080304;0;0;0;0;0;40054717;295462399;14493256;930575889;0;930575889
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;42339;17313901;140344946;189323972;330781616;-26242389;304539227;99341;5847876;3014040;-186348;8774909;125614419;59303608;41780428;886995408;3014040;883981368
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;42339;6862174;55680378;139394107;220387353;-16067912;204319441;25059;5557580;2761002;-63434;8280207;192356020;57319088;16676052;680887468;2761002;678126465
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;42339;20241900;34207659;76735224;57766744;-1938634;55828109;0;0;0;0;0;54890958;2209599;10182006;254295455;0;254295455
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;42339;3900621;17325180;33140269;57950732;-4930582;53020150;14381;873977;106898;-109378;885877;49131073;13292524;3181751;173877445;106898;173770548
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;42339;1343017;43680006;42717481;42244973;-2452991;39791982;60038;2729019;1321989;-36480;4074566;12000115;2413506;2834627;148855301;1321989;147533312
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;42339;179920;17187396;32973491;47515823;-3165590;44350233;6181;213109;53518;-26735;246073;14293401;697747;549231;110477493;53518;110423975
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;42339;868237;13865209;23070636;15150706;-826870;14323837;1305;226649;20992;-6988;241958;20206532;3028186;1019162;76623757;20992;76602765
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;42339;864139;507814;20507718;30320502;-2085745;28234757;240;113862;56861;-6256;164707;6854967;9520627;311043;66965771;56861;66908910
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;42339;98993;3671901;8271396;6401239;-421495;5979743;0;0;0;0;0;27852748;435690;82387;46392859;0;46392859
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;42339;4417445;14572180;12974001;7037029;-374954;6662075;0;0;0;0;0;4738596;16283;746206;44126786;0;44126786
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;42339;209975;12445108;12327271;13122320;-922410;12199910;0;0;0;0;0;3749525;255656;234489;41421935;0;41421935
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;42339;108960;6287781;16871107;908707;-3412;905295;0;0;0;0;0;10678503;45646;122272;35019564;0;35019564
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42339;33448;11467876;3983428;14410247;-7211;14403035;0;0;0;0;0;936592;590914;103083;31518376;0;31518376
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;42339;302597;2129986;4536085;3305769;-4210;3301559;0;0;0;0;0;18744293;218684;23763;29256968;0;29256968
PAN;1000080257;b1;;C;2;SAO PAULO;SP;42339;48001;1189743;2604399;16157218;-975805;15181413;491;38905;29676;-2224;66848;5772186;708022;621649;26192261;29676;26162584
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42339;16622;4946249;8431410;9269935;-36535;9233400;0;0;0;0;0;2044804;253206;87433;25013123;0;25013123
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;42339;46655;5779533;5711657;10874158;-255006;10619152;0;0;0;0;0;1991432;50340;44869;24243638;0;24243638
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;42339;15099;1790077;817974;19093122;-954746;18138376;1444;173499;62288;-5844;231386;1888583;109956;47960;23039412;62288;22977124
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;I;3;SAO PAULO;SP;42339;127984;2856208;1823772;14113594;-450018;13663576;0;0;0;0;0;4097145;666;26077;22595428;0;22595428
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;42339;63348;4047778;11926967;645246;-1660;643586;0;0;0;0;0;5259006;128450;52491;22121625;0;22121625
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;C;2;SAO PAULO;SP;42339;124931;3800729;1891785;11419436;-601170;10818266;2819;411119;69012;-12551;470399;4081724;669435;260770;22118041;69012;22049029
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42339;253607;6373298;6012165;3429256;-236605;3192651;275;71279;42692;-4186;110059;1036542;816989;273762;18069074;42692;18026382
