Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;41883;1329812437;662461275;1258678353;1053452093;71134084;2860686;5495;1528
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;41883;1066499552;424873585;969019865;730605355;97479687;5025925;3914;948
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;41883;1018934594;576423587;990412659;877917087;28521935;1897979;3368;783
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;41883;834756107;318964527;793534267;534798966;41221840;1927963;4;0
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;41883;818890064;335599815;739542996;623432265;79347068;3878356;4677;1281
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;41883;517023895;234381201;457676521;348415410;59347374;590063;2726;1186
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;41883;148536541;65705555;138558444;104527929;9978097;-404458;856;438
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;41883;135592704;53630128;127130666;106780634;8462038;447168;109;6
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;41883;134048383;17247505;119827555;77938141;14220828;803740;13;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;41883;99931560;53379558;92248606;59878399;7682955;135112;119;0
CITIBANK - PRUDENCIAL;1000080192;b1;;C;3;SAO PAULO;SP;41883;61382185;16242615;54470190;28656915;6911994;-158047;134;19
BANRISUL - PRUDENCIAL;1000080154;b1;;C;1;PORTO ALEGRE;RS;41883;59149576;29950778;53729030;45391422;5420546;215435;525;210
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;;I;1;FORTALEZA;CE;41883;38060615;12339936;34660601;18011945;3400014;103039;283;4
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;;C;3;SAO PAULO;SP;41883;36404957;1622655;32682529;13321874;3722428;10515;8;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;;C;3;SAO PAULO;SP;41883;33348512;6256971;30026750;18536957;3321762;-49198;10;0
DEUTSCHE - PRUDENCIAL;1000080532;b1;;C;3;SAO PAULO;SP;41883;29970228;2547752;28300062;5023212;1670166;37495;3;0
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;41883;25932115;12475283;24873174;23930357;1058941;28521;5;0
PAN;1000080257;b1;;C;2;SAO PAULO;SP;41883;25595776;16386676;22173033;18152317;3422743;-69803;4;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;;C;3;SAO PAULO;SP;41883;24892141;22005266;22485791;17304793;2406350;61192;1;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;;C;3;SAO PAULO;SP;41883;24237261;8330883;21418415;11006348;2818846;45971;10;0
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;41883;22909596;8698313;22188883;20593181;720714;14228;4;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41883;19749222;3189260;18701665;4990288;1047557;12475;5;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;;C;3;SAO PAULO;SP;41883;19218713;10699534;17090972;14236341;2127742;77946;6;0
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;41883;18656358;11713663;15095357;8450339;3561002;97157;22;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;;I;2;SAO PAULO;SP;41883;17851392;9895763;15370697;13709405;2480695;51809;39;0
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;41883;15664593;4359888;14623546;13890138;1041046;33986;134;28
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;;C;3;SAO PAULO;SP;41883;15281068;9981915;13994780;11825206;1286289;39913;17;0
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;41883;15071983;9985363;13623332;11363471;1448651;-368592;36;0
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;41883;14624919;7937835;12521528;11379276;2103391;22934;47;1
GMAC - PRUDENCIAL;1000080848;b2;;C;3;SAO PAULO;SP;41883;13852934;11299242;12341250;4492914;1511684;62835;1;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;41883;13717331;1215222;12543679;4713900;1173652;13903;2;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;41883;13195781;8422887;12423192;9539879;772589;-30872;193;3
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;;C;1;PORTO ALEGRE;RS;41883;13009636;10877303;10956774;10424546;2052862;56848;3;0
BRB - PRUDENCIAL;1000080288;b1;;C;1;BRASILIA;DF;41883;12969792;8743783;11728964;9783272;1240828;72335;116;8
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;41883;12198928;127031;10199483;5466528;1999445;53390;2;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;;I;1;BELEM;PA;41883;11463816;2972036;9797738;4141297;1666078;-12064;123;4
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;41883;11092973;376492;9756734;2613727;1336239;6237;2;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;41883;11064442;10642586;9653491;8800676;1410951;48234;2;0
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;41883;10904572;6374122;9631152;8252309;1273419;18616;12;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;41883;8476405;162;7885780;2293520;590625;19336;1;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41883;7642910;257136;7293806;9898;349104;0;0;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;41883;7557809;4364326;6565718;5527296;992092;-80861;8;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;41883;7435380;3784040;7008742;6830866;426638;12560;2;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;41883;7430278;1616829;6746208;5495582;684070;4200;5;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;41883;7162860;6066133;5984313;5548437;1178547;71389;1;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;41883;6534167;1275390;5741424;2725252;792743;1339;3;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;C;2;RIO DE JANEIRO;RJ;41883;6460694;0;1340875;1;5119819;47061;1;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;41883;6038443;4979544;4235683;3818764;1802760;6827;1;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;41883;5859551;5104928;5061464;4682125;798086;27421;2;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;41883;5692107;3372648;4326073;4223865;1366034;28496;2;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;41883;5602223;4495685;5050350;4946940;551873;17106;2;0
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;41883;5530987;2541264;4678271;4154218;852716;8148;2;0
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;41883;5498898;1049484;679645;539521;4819253;27040;54;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;41883;5495801;2950956;4823040;4531749;672760;1661;13;1
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;41883;5401149;138113;4359101;1616041;1042048;6049;2;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;41883;5307927;5264808;4652612;4379980;655315;27693;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;41883;5168008;3018038;4650856;4434221;517151;8649;57;49
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;41883;4780174;3465599;4257801;3814689;522373;20704;1;0
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;41883;4661065;3290296;3371310;2662314;1289754;90879;2;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;C;3;SAO PAULO;SP;41883;4514694;4464150;3802902;3718604;711792;41619;1;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;41883;4441632;3746735;3331503;168142;1110130;104573;1;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;41883;4403283;1919163;3741726;2819510;661557;11250;17;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;41883;4261849;3885995;3755264;1060151;506585;43843;3;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;41883;4244376;3526852;3426868;3287345;817508;-18520;1;0
