Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2015;670228054;348904552;99131149;104146122;20491846;5011143;9974872;3506260;3435827;15244053;60382228
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2015;642012132;269510964;150205751;86404002;76607756;27246585;9667920;3801147;3230445;15337560;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2015;526086863;148353191;125981462;23412987;14059932;7926189;3766687;3007099;3097119;12143734;184338463
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2015;405537565;44143164;127754555;60970079;43897683;6773076;3761939;2545393;2114766;11265993;102310918
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2015;356973376;84362289;157431116;102237506;11258446;823953;499838;64013;2156;294059;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2015;253734657;85023647;88680811;15217418;10072138;7559540;2790565;1953647;1683136;7527957;33225798
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2015;68522506;29283104;17139999;5870806;1652879;1013081;333855;889452;575299;2676867;9087164
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2015;54724712;29884351;7409572;3006278;1130469;314163;214875;157402;124868;734640;11748094
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2015;52681205;2288321;24492065;8725702;9368761;1201880;748880;396479;938146;1878872;2642099
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2015;30019808;5491725;13768834;5567265;2062714;962181;380707;343289;156580;1090444;196069
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2015;20313832;454932;14242885;2507888;1504314;567108;371318;166280;113606;385501;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2015;18719461;2768393;3842896;2358075;683549;781528;1124981;60872;0;105694;6993474
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2015;18171447;0;12364679;2909468;1278299;545614;225731;192666;149066;505924;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2015;17449790;5666286;6726244;2087266;882844;920293;136648;141955;123479;764775;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2015;13854279;4934745;4790284;2444172;169826;168472;130021;88347;135600;992813;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/06/2015;13557562;1785349;3867941;6724240;666828;149898;196001;5027;15539;146737;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2015;12935240;435595;2853279;3850780;1228643;184177;88858;22050;54461;20086;4197310
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/06/2015;12820941;12439901;350529;13419;4247;950;8307;487;250;2851;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2015;11920776;5572146;5067324;598059;231997;110317;47598;16584;92779;183972;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/06/2015;11764347;1340;5277140;4160215;1369157;335240;61764;77711;43688;354125;83967
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2015;10721894;216919;3668884;5132987;1142918;130793;183627;82401;76815;86551;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2015;10715424;4484;9463357;415336;570151;74895;38846;27148;22192;99015;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2015;10596351;2354872;7072703;366639;308878;94574;111784;63485;49964;173453;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2015;9912735;6117146;3301471;366956;90809;12015;3042;7145;1004;13147;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/06/2015;9386922;5681935;999053;1198566;746655;250760;109949;50342;50914;298748;0
BIC;32119;b1;C;3;;199;SAO PAULO;SP;01/06/2015;8591845;2291184;2110703;580903;853540;676662;335197;204871;134809;600563;803411
