Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2015;390069877;14143167;56859173;96886557;164108188;27967;58044825
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2015;356971822;25889925;640698;51957255;278483944;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2015;322595051;4957179;17576957;62060404;72266165;61007;165673338
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2015;264213640;29663756;28147791;63117940;41768363;82926;101432864
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2015;181249921;37858245;34254322;51061663;58048359;27331;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2015;132382161;7823283;13831611;46538293;40304962;35881;23848130
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/06/2015;47442312;972836;979856;13637192;20189703;1625;11661099
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2015;47433315;6094886;2343276;12777308;17345259;5211;8867375
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2015;16821454;74516;2659339;1763954;9681192;353;2642099
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2015;16133071;398425;179425;566963;9528783;0;5459474
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2015;14589494;560584;1755013;6682594;5387238;7997;196069
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;01/06/2015;12621016;236922;658476;4172620;3372796;39;4180163
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2015;12591186;1400890;3831135;2827416;4530784;960;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;01/06/2015;11937300;1694156;803870;1228760;8210364;150;0
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;01/06/2015;10178735;722454;1582138;6404869;1469261;13;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/06/2015;9428806;1006104;778309;3968599;3675641;153;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/06/2015;8644276;583712;610090;3890653;3559818;2;0
