Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BB;49906;b1;;C;1;BRASILIA;DF;01/06/2015;46801968;207729;28312392;259766;668576;2385406;78635838;-44843478;-14085756;-126452;0;-10880082;-69935769;8700070;6012538;3320090;-9810976;-7611393;-1845264;7441480;7870566;-5480015;-102974;8597095;-3557;8593538;1270419;-1105011;8758946;-2212070
ITAU;10069;b1;;C;2;SAO PAULO;SP;01/06/2015;40214801;2470697;21689033;-229152;1365131;2671815;68182324;-33716938;-12207396;-2619386;0;-9660162;-58203882;9978442;7084482;4725991;-6380510;-8474542;-2065058;8684783;16965850;-18268307;2272689;12251131;390418;12641549;2160394;-3712738;11089206;-2939632
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;01/06/2015;39524883;0;17346082;2018629;0;5140712;64030306;-34625490;-7575090;0;-1957628;-9582927;-53741135;10289171;7948591;1980055;-9623211;-5087449;-1607344;341721;4798284;-8327297;-9576650;712521;-252703;459818;2771760;-434971;2796606;-816147
BRADESCO;10045;b1;;C;2;OSASCO;SP;01/06/2015;31924725;1585222;21565426;-1706763;1790103;2035409;57194122;-29984706;-10341891;-1316318;0;-7941517;-49584432;7609690;4560709;3569743;-6001058;-7445070;-1739165;10473248;2737210;-6721075;-565458;7044232;-162079;6882152;1854394;0;8736546;-1996206
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;01/06/2015;36190643;0;6307914;-383773;259420;0;42374204;-1541564;-33622130;0;0;-536035;-35699730;6674474;155523;0;-478120;-193221;-395371;73159;882209;-471496;-427318;6247155;-4133;6243023;-2712533;-15922;3514568;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;01/06/2015;20829521;1290194;10593885;-1823453;229076;1518656;32637879;-21571760;-723225;-1097323;0;-5154166;-28546474;4091405;3903833;1396386;-3105453;-5837196;-1068554;-49844;16769078;-11438406;569844;4661249;112395;4773644;451045;-511960;4712729;-1820
HSBC;51152;b1;;C;3;CURITIBA;PR;01/06/2015;5572537;402211;3184304;1231335;0;413577;10803964;-5262167;-564175;-326788;-937486;-2229147;-9319763;1484201;729995;757145;-1842688;-2141706;-345938;233294;1876895;-920841;-1653844;-169643;-36981;-206624;275090;-36658;31808;-5
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;01/06/2015;6249669;443938;2342993;485785;238052;0;9760438;-6150845;-185952;-443404;0;-1202858;-7983059;1777379;210791;251884;-642580;-570629;-199436;77050;504022;-1050136;-1419032;358347;-17491;340855;45395;-118474;267776;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;01/06/2015;3565137;321921;4991537;-219825;224516;46353;8929639;-6685914;-527477;-250483;0;-764149;-8228023;701616;238805;141250;-696770;-572863;-113410;731721;855860;-673095;-88501;613114;-30792;582322;304647;0;886970;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;01/06/2015;3116683;24315;1041123;333876;172215;350996;5039209;-2081072;-430120;-16922;0;-243141;-2771255;2267954;74630;354954;-769371;-532953;-139888;124622;101963;-1051477;-1837520;430434;4688;435122;-48655;-46536;339932;-161397
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;01/06/2015;1088188;0;4729127;-844345;0;50962;5023932;-5103689;-2255115;0;-367560;-197790;-7924155;-2900223;984948;14476;-327410;-389488;-209106;1746849;1709946;-493781;3036434;136212;1361935;1498147;1171890;-438559;2231478;-422000
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;01/06/2015;1408223;62730;1615310;489674;283203;21091;3880231;-1116204;-756105;-49444;0;-253120;-2174874;1705357;403036;139150;-638818;-664122;-139812;22792;331410;-565763;-1112127;593229;19445;612674;-213005;-36183;363487;0
PAN;31323;b1;;C;2;SAO PAULO;SP;01/06/2015;2928771;64243;152147;254296;81845;0;3481302;-2729466;-7409;-61908;0;-525356;-3324139;157163;51107;165140;-150727;-934932;-91866;-36302;1119784;-378210;-256005;-98842;-25374;-124216;32260;0;-91955;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;01/06/2015;1021123;0;1364621;230023;145871;10854;2772492;-964089;-901103;0;0;-541898;-2407090;365401;1054776;23879;-731165;-459303;-124218;0;769058;-800592;-267565;97836;1305;99141;92213;-33225;158128;-53165
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;01/06/2015;66368;0;2036161;-895167;1205539;0;2412900;-299187;-1618364;0;0;628;-1916922;495978;236895;238;-368830;-99124;-55370;0;76956;-20185;-229421;266557;16;266573;-104363;-8994;153216;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;01/06/2015;1538431;0;244358;74681;509925;0;2367395;-184257;-1725572;0;0;-160715;-2070545;296851;41266;4423;-73798;-41189;-20441;1045;3335;-72981;-158338;138512;-208;138305;-51630;-9101;77573;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;01/06/2015;1386790;0;236260;541632;164927;0;2329609;-1230577;-269728;0;0;-321688;-1821993;507616;15997;33466;-117830;-244729;-71662;15294;237476;-76075;-208062;299554;-5409;294145;-76467;-29266;188412;-70640
BMG;30290;b1;;C;2;SAO PAULO;SP;01/06/2015;1369156;1842;274412;387921;281976;0;2315306;-1526976;-20194;-1640;0;-214737;-1763547;551759;16223;60987;-79000;-476706;-34919;59575;338718;-402748;-517869;33890;392;34282;50991;-15854;69419;-85000
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;01/06/2015;381344;0;1345056;414102;136592;0;2277094;-1078950;-999421;0;0;-6313;-2084684;192411;401653;0;-537368;-166436;-43417;153666;58302;-107605;-241205;-48794;77;-48717;57972;-1;9254;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;01/06/2015;1499498;148819;111389;346416;0;0;2106123;-487374;-808723;-127487;0;-232461;-1656045;450078;0;43348;-2320;-160103;-52551;34997;208532;-266534;-194631;255447;-10872;244575;-82577;0;161998;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;01/06/2015;770085;63221;1083847;-29778;92678;0;1980053;-653854;-429985;-56932;0;-141128;-1281898;698155;152493;48664;-182346;-280869;-54699;1638;276418;-332366;-371067;327088;-1733;325355;-136552;-11391;177412;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;01/06/2015;297115;191660;327486;1011891;0;0;1828152;-31164;-1244227;-141500;-54876;-231989;-1703756;124397;13474;4236;-74597;-105086;-20148;-30727;55011;-80168;-238005;-113608;-1097;-114705;-51210;0;-165915;0
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;01/06/2015;1482410;326;200928;119311;14163;8136;1825274;-672365;-17886;-312;0;-344661;-1035223;790051;28680;62286;-176334;-333931;-56308;10648;38667;-282800;-709091;80960;-1406;79554;-17826;-10548;51179;-16125
BIC;32119;b1;;C;3;SAO PAULO;SP;01/06/2015;671691;78464;253247;372599;237003;123;1613126;-910276;-304567;-78686;0;-488194;-1781723;-168597;32240;5939;-106566;-80225;-31419;1715;26328;-133707;-285696;-454293;1864;-452429;184442;0;-267988;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;01/06/2015;684391;0;503525;292867;44114;0;1524897;-744796;-631173;0;0;-79692;-1455660;69236;88880;6898;-82575;-47057;-19590;114745;65650;-18496;108456;177692;-3600;174092;44857;-48593;170356;-62048
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;01/06/2015;1391407;0;64400;0;0;0;1455807;0;0;0;0;-257625;-257625;1198182;0;0;-9226;-397131;-72012;0;117055;-1911;-363226;834956;-488;834468;-336329;-469;497670;-36000
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;01/06/2015;489543;0;893061;2790;12348;21795;1419537;-1039832;-127964;0;0;12540;-1155256;264281;18529;31;-49102;-121797;-12307;6642;37740;-39566;-159831;104450;-105;104345;-39308;0;65037;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;01/06/2015;94511;917834;238535;0;0;0;1250880;-415425;-20213;-743162;0;-47234;-1226033;24847;0;0;0;-18587;-4501;0;28619;-3122;2410;27257;0;27257;-12713;0;14545;0
BRB;31976;b1;;C;1;BRASILIA;DF;01/06/2015;1092220;0;118964;0;3802;16642;1231628;-499078;-3565;0;0;-214929;-717572;514056;20407;66912;-338451;-162683;-44160;19618;42849;-94871;-490381;23675;1245;24921;10938;-4581;31278;-7000
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;01/06/2015;1118136;70810;33895;0;0;0;1222841;-722979;0;-69475;0;-79847;-872300;350541;16510;48586;-2032;-243331;-50731;28124;37072;-33245;-199048;151492;1347;152840;-51321;0;101518;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;01/06/2015;370570;0;777980;610;0;12214;1161374;-961700;-25254;0;0;-4567;-991521;169853;160201;40;-36873;-85728;-23575;3096;7500;-101817;-77156;92697;1507;94204;-35184;-2487;56533;0
BANESTES;30159;b1;;C;1;VITORIA;ES;01/06/2015;423884;20606;574730;0;6175;26445;1051840;-624356;-10296;-16448;0;-108341;-759442;292398;89611;39730;-148274;-105785;-29992;12565;16384;-44858;-170619;121779;403;122182;-23597;-16213;82373;-27427
ALFA;51293;b1;;C;2;SAO PAULO;SP;01/06/2015;557559;113237;318609;33156;8358;0;1030920;-588209;-63019;-92675;0;-28190;-772093;258827;15019;13654;-79242;-51364;-17641;9661;48632;-113007;-174288;84539;-629;83910;-18111;-3469;62329;-19332
ING;51073;b1;;C;3;SAO PAULO;SP;01/06/2015;62389;0;133596;199735;554630;0;950350;-45976;-828506;0;0;1578;-872904;77445;8896;0;-18664;-5520;-4604;0;6853;-3414;-16453;60992;0;60992;-24097;-671;36225;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;01/06/2015;192857;0;276296;433717;0;0;902869;-150101;-159221;0;-455201;1682;-762841;140029;119232;335;-127789;-47634;-37252;0;87209;-24604;-30503;109526;-74;109451;-22954;0;86497;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;01/06/2015;324767;29355;45186;445641;0;0;844948;-99326;-563033;-20874;0;-19045;-702277;142671;0;20932;-18728;-62595;-14955;0;4997;-9867;-80216;62455;-4751;57704;-23493;-2450;31761;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;01/06/2015;813786;0;14015;0;0;0;827801;-10873;0;0;0;-312785;-323657;504144;145982;118210;-39696;-215201;-70781;0;19474;-67112;-109124;395020;0;395020;-156295;0;238724;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;01/06/2015;56347;0;310516;59206;345674;0;771743;-84347;-46537;0;0;-1358;-132241;639501;247509;2047;-214222;-75010;-27043;0;519;-395488;-461688;177813;-163;177650;-71055;0;106595;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;01/06/2015;55966;0;343691;176970;175984;0;752612;-95031;-577766;0;0;-5859;-678656;73956;2139;582;-55089;-37360;-7480;0;122009;-37063;-12261;61695;99;61794;-27481;0;34312;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;;I;2;SAO PAULO;SP;01/06/2015;686843;0;7303;0;10;0;694156;-21029;0;0;0;-343365;-364394;329762;2535;33317;-24802;-89952;-1671;0;28335;-77634;-129871;199890;-15;199875;-81076;0;118800;0
PINE;50304;b1;;C;2;SAO PAULO;SP;01/06/2015;310097;0;150370;154836;64363;0;679666;-421845;-263643;0;0;-31050;-716538;-36872;41087;322;-43596;-36172;-10566;3643;51167;-2723;3162;-33711;5403;-28308;62591;-14111;20173;-36388
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;01/06/2015;246879;0;429581;-7792;4334;0;673002;-139475;-195595;0;0;-76592;-411662;261340;408172;53022;-284307;-128205;-51980;0;300949;-310401;-12750;248589;3036;251626;-144928;0;106698;0
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;01/06/2015;33611;0;116290;101005;397377;0;648283;-82409;-737136;0;0;-2509;-822054;-173771;21671;45;-40596;-20408;-5590;49;525172;-293227;187116;13345;4;13349;-10774;-937;1638;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;01/06/2015;551000;0;85176;0;2007;9378;647561;-198904;-235;0;0;-81670;-280809;366752;5615;27792;-114622;-111223;-22933;0;4889;-12171;-222652;144100;-602;143498;-87496;-9869;46133;-7671
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;01/06/2015;412429;0;145917;23698;32967;0;615010;-436613;-64945;0;0;-134407;-635965;-20955;13188;1203;-79884;-47544;-6367;-135;62850;-107468;-164158;-185113;-3065;-188178;-6716;0;-194894;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;01/06/2015;578269;0;23877;0;33;0;602180;-31040;0;0;0;-89316;-120356;481824;88223;20272;-8057;-122363;-36431;0;7661;-203746;-254440;227384;33;227417;-86689;-8338;132390;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;01/06/2015;443907;0;120335;0;0;0;564242;0;-241708;0;0;-83888;-325596;238646;15384;0;-79596;-16944;-15953;0;9413;-10978;-98674;139972;25069;165041;-66264;0;98777;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;01/06/2015;445211;0;63150;2270;7310;0;517941;-253169;-10314;0;0;-58873;-322357;195584;4161;3471;-29611;-110411;-12174;29014;2261;-4251;-117541;78044;22;78066;-15044;0;63021;-11929
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;01/06/2015;489595;0;15014;-794;0;0;503815;-62597;-3051;0;0;-199735;-265383;238432;104401;53953;-12320;-107328;-29301;0;28940;-135766;-97421;141011;0;141011;-54206;-1426;85379;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;01/06/2015;473224;13028;8683;0;0;0;494935;-66816;-130044;-12042;0;-139649;-348550;146385;0;7314;-36226;-45227;-19063;0;41030;-37595;-89767;56617;-10077;46541;-6779;0;39761;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;01/06/2015;0;0;462060;-38095;56933;0;480898;-252598;0;0;0;0;-252598;228300;130873;0;-141708;-36207;-20841;26438;57944;-38160;-21662;206638;0;206638;-45669;0;160969;0
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;01/06/2015;325472;0;125017;1138;11159;0;462786;-129921;-84939;0;0;-54250;-269110;193675;18255;14;-51978;-42070;-13139;1144;43243;-9138;-53667;140008;-3372;136636;-15702;-65261;55674;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;01/06/2015;15903;0;425303;0;0;0;441206;-425493;0;0;0;190;-425303;15903;0;0;-14013;95102;0;5014;3501;-105538;-15934;-31;31;0;0;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;01/06/2015;138886;0;127030;66725;92005;0;424646;-76731;-251326;0;0;-320;-328377;96269;9227;3;-19593;-9537;-3977;12566;7163;-30740;-34889;61380;119;61499;-20424;-662;40413;0
