Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;01/06/2015;460762211;1924249;4481117;12228032;24467257;12251439;258042;0;55610136;1052616;1428740;3038072;3418444;296526;1;415;9234814;430386;1456491;3523880;5057232;710446;146;0;11178581;1840733;11341226;30319342;68292106;53752615;138367489;49579100;353492610;2454629;5789986;1548102;112662;534;0;0;9905914;222685;1533414;878666;465806;341017;155504;0;3597091;2273319;4380309;4244970;3270848;1740037;1732256;101324;17743064;0
BB;49906;b1;C;1;;199;BRASILIA;DF;01/06/2015;280158177;185889;4283123;11976225;23724769;13201174;7590068;185555;61146803;420916;3202105;8102008;9180911;3663068;1721668;228858;26519535;54500;1131085;2891778;4019836;643594;145;16845;8757784;18758;469329;1002074;2709813;2623111;12213772;13504946;32541803;1116821;17469291;2678790;128693;24;0;184960;21578579;1171331;19116819;32070033;25509639;19821055;22866622;34582;120590081;294364;1403477;3063753;962258;492676;429385;40276;6686189;2337403
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;01/06/2015;203491812;269455;3963287;10305022;19413196;9164628;2399788;3;45515379;772981;2403663;3900824;5589490;910008;99502;0;13676469;579025;3397047;7893008;10358129;1263714;2128;0;23493051;54984;753116;1203798;3046325;2854399;11175856;9759022;28847500;4941619;38298965;12815325;191080;0;0;0;56246989;1131;65593;101688;99545;97340;48080;0;413378;1575915;5979014;3118773;4652756;1204979;102485;0;16633922;18665125
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;01/06/2015;141323926;185709;3311766;8859667;14028529;5101507;1198094;0;32685273;752819;4401458;5053180;2739891;228000;11621;12;13186982;371382;3599906;8586244;9565955;935049;6136;4;23064677;40839;371932;828917;2142650;1979563;7507169;5715845;18586916;3513634;14921692;6223075;206486;1429;11;0;24866327;143188;3780105;5842722;3777696;1946212;824938;0;16314861;1271135;5272818;2089225;2146983;699664;245300;15713;11740837;878054
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;01/06/2015;121352496;323919;1447816;3646793;5269128;1632510;395072;174;12715412;507003;991942;2239102;3159391;615554;65511;105;7578606;589254;4661457;11141213;13650423;1493852;6951;2034;31545185;38658;999534;2367385;4910742;3587704;8707018;3623996;24235037;1235091;13182433;2732097;488042;121292;26709;18;17785682;24952;603826;1290256;886914;431856;185296;0;3423100;1588853;4696288;3148245;3489089;1357579;410894;858;14691805;9377668
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;01/06/2015;35859751;104301;731436;1727605;2111239;595159;130464;0;5400204;9636;19759;70081;15658;1442;1899;0;118476;776199;4442579;10126531;12388489;1202323;294;0;28936415;0;0;0;0;0;0;0;0;200094;855000;30777;3;0;0;0;1085874;1054;7530;21291;49165;62181;4179;0;145400;725;34599;60220;74528;3310;0;0;173382;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;01/06/2015;21089191;13802;120385;316307;546553;123289;6288;104;1126728;531758;1268995;1809666;1444849;381701;13;5228;5442211;34956;255297;601800;870812;148387;327;0;1911580;8043;107302;246370;635607;338566;2665177;1688330;5689396;442104;2691793;439710;6;0;0;2;3573614;21779;476425;582462;450469;3541;0;0;1534676;234895;581598;667917;61641;10254;30115;4777;1591197;219789
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2015;15430314;116866;730021;1976794;3423848;1334183;454798;125;8036634;33286;382127;660306;194469;14877;45613;3;1330681;580;16364;43209;67174;17598;129;0;145054;2412;45028;126933;324332;297528;1161772;892394;2850398;40452;74336;6223;0;0;0;0;121011;15112;261903;361876;377323;262623;340577;11776;1631190;103673;645088;202471;208808;89259;65816;230;1315346;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2015;13555341;41551;441291;1198099;2180469;1020191;329912;0;5211513;6304;12443;23591;11238;22;0;0;53598;191483;652543;1667291;2932494;469640;788;0;5914239;1460;9306;23360;51103;38379;88332;19153;231092;163774;933522;145904;11899;485;4;0;1255587;0;0;0;0;0;0;0;0;12965;99992;173506;288414;114401;185634;14401;889313;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2015;9742818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77848;1411727;3468690;4236713;547362;478;0;9742818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/06/2015;7722646;410;7279;19318;21400;2009;0;0;50417;182;367;960;895;38;0;0;2442;61016;1121796;2728711;3333157;424295;786;0;7669761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;13;3;0;0;0;26;0
