Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BB;49.906;b1;C;1;;199;BRASILIA;DF;01/06/2015;670228054;381366008;50827141;21895620;1451151;278725;113055733;0;33712254;1875141;189075;0;864;3217157;1976957;60382228
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;01/06/2015;642012132;149650686;409035694;25790634;0;303;37085947;0;0;598410;1754900;0;34;16653318;1442206;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;01/06/2015;526086863;246109841;39720734;10882638;1539469;7340386;28013174;55527;321667;484739;182551;0;11418;15133;7071123;184338463
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;01/06/2015;405537565;178321014;38869172;32187125;4346;10695105;32761821;0;490852;3289738;0;0;16729;0;6590745;102310918
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;01/06/2015;356973376;96035118;10749;225893609;8218395;16242153;0;7371461;0;2202;3199689;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;01/06/2015;253734657;147988423;44339312;3339410;51194;314116;21600195;106259;0;173317;778181;0;13052;14136;1791263;33225798
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;01/06/2015;68522506;31539508;7202273;493793;69803;6888671;8735734;0;0;96470;88365;0;0;3139877;1180847;9087164
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;01/06/2015;54724712;23665909;336593;1397060;0;1551957;15705308;92352;0;187927;5085;0;5080;0;29347;11748094
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;01/06/2015;52681205;41284463;9093;1094560;47362;2700384;4433309;9812;0;0;75102;0;0;0;385021;2642099
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;01/06/2015;30019808;16914316;4995675;366820;0;1648311;5534306;0;0;39992;0;0;0;101596;222724;196069
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;01/06/2015;20313832;16883920;0;968557;0;0;2449801;0;0;0;0;0;0;0;11553;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2015;18719461;2408087;106052;1886798;0;0;6268369;0;0;138023;864023;0;6054;48573;8;6993474
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;01/06/2015;18171447;13678121;788562;0;0;0;2601559;0;0;488054;0;0;0;375827;239323;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;01/06/2015;17449790;13030859;980864;196342;0;19614;3126705;0;0;0;0;0;0;0;95405;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;01/06/2015;13854279;7457611;37492;1302478;0;1871484;989673;0;18;2013733;0;0;138068;0;43723;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;01/06/2015;13557562;12093087;307;131186;0;0;1317351;0;0;0;12931;0;0;2699;0;0
