Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;jun/15;20.380.899;109.388.028
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;jun/15;14.670.453;91.071.969
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;jun/15;13.154.500;51.342.244
BB;49906;b1;C;1;;199;BRASILIA;DF;jun/15;10.677.204;41.852.733
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;jun/15;8.653.402;30.804.766
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;jun/15;3.470.380;6.228.371
HSBC;51152;b1;C;3;;199;CURITIBA;PR;jun/15;2.060.363;10.510.179
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;jun/15;1.341.165;4.556.792
PAN;31323;b1;C;2;;199;SAO PAULO;SP;jun/15;1.284.000;3.931.609
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;jun/15;1.252.459;6.698.390
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;jun/15;1.207.592;4.174.990
BMG;30290;b1;C;2;;199;SAO PAULO;SP;jun/15;897.809;2.459.276
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;jun/15;802.563;2.085.920
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;jun/15;768.623;1.595.105
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;jun/15;671.904;1.135.226
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;jun/15;638.108;17.713.700
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;jun/15;633.858;1.398.395
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;jun/15;587.356;648.562
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;jun/15;576.988;4.566.563
