cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
1;1 - Público;dez/19;685.265.896;2.118.067;11.156.122;26.485.162;33.854.609;8.412.464;2.231.799;543.655;84.801.878;439.013;1.531.656;6.566.752;13.408.616;9.789.288;26.195.334;353.606;58.284.266;408.632;2.678.775;1.839.184;27.927;0;0;19.919;4.974.437;123.913;5.131.540;2.120.932;355.325;0;0;0;7.731.709;485.106;7.688.402;13.933.366;4.961.350;7.330.338;2.010.883;0;36.409.444;2.776.402;4.504.520;5.524.415;4.828.237;2.855.116;4.235.793;959.954;25.684.437;1.486.875;17.058.141;39.781.049;82.016.180;57.434.288;166.974.735;43.586.247;408.337.517;82.713;968.233;6.305.917;5.220.326;2.511.040;3.111.595;6.994;18.206.817;816.022;1.539.613;3.182.405;4.091.391;298.898;141.521;64.945;10.134.797
1%;1 - Público;dez/19;37,32%;49,12%;22,64%;27,71%;31,02%;32,84%;28,73%;53,01%;28,97%;53,96%;13,05%;21,91%;27,74%;49,64%;85,94%;25,62%;40,92%;18,71%;9,92%;19,58%;5,10%;0,00%;0,00%;8,58%;12,06%;16,73%;5,08%;5,21%;14,02%;0,00%;0,00%;0,00%;5,28%;30,73%;19,73%;19,33%;17,02%;34,24%;14,60%;0,00%;20,57%;39,97%;24,74%;22,32%;27,66%;35,23%;50,46%;33,20%;29,61%;85,99%;76,10%;76,04%;79,23%;87,21%;94,25%;95,38%;87,12%;62,28%;20,01%;31,24%;64,05%;70,38%;78,13%;100,00%;44,55%;69,06%;63,24%;61,02%;52,04%;26,51%;54,09%;96,65%;55,84%
2;2 - Privado Nacional;dez/19;860.821.200;1.666.959;27.583.387;55.374.971;61.868.042;13.426.469;4.249.216;150.146;164.319.190;242.640;5.731.594;12.936.911;18.418.907;4.937.104;980.587;45.073;43.292.815;1.487.598;20.094.710;5.598.709;267.467;566.534;1.193.473;8;29.208.499;455.166;60.375.766;16.173.381;1.564.443;900.820;19.888;379.358;79.868.822;754.525;18.066.481;31.382.664;14.414.672;9.824.891;10.376.527;16.842;84.836.603;3.077.823;9.738.519;14.260.640;8.810.525;4.131.469;3.709.780;1.640.022;45.368.777;97.379;3.665.315;8.232.479;14.662.557;6.320.224;9.466.214;2.005.155;44.449.324;26.309;2.702.589;7.679.585;1.839.781;605.732;596.358;0;13.450.354;262.833;663.498;1.548.443;3.305.306;802.632;90.786;2.251;6.675.750
2%;2 - Privado Nacional;dez/19;46,88%;38,66%;55,99%;57,94%;56,70%;52,41%;54,69%;14,64%;56,14%;29,82%;48,82%;43,17%;38,11%;25,04%;3,22%;3,27%;30,39%;68,13%;74,42%;59,61%;48,80%;88,95%;94,00%;0,00%;70,79%;61,45%;59,72%;39,74%;61,71%;92,64%;26,41%;98,39%;54,52%;47,79%;46,37%;43,54%;49,44%;45,89%;75,32%;100,00%;47,94%;44,31%;53,49%;57,63%;50,48%;50,97%;44,19%;56,72%;52,30%;5,63%;16,35%;15,74%;14,16%;9,60%;5,34%;4,39%;9,48%;19,81%;55,86%;38,05%;22,57%;16,98%;14,97%;0,00%;32,91%;22,24%;27,26%;29,69%;42,04%;71,20%;34,70%;3,35%;36,78%
3;3 - Privado com Controle Estrangeiro;dez/19;290.301.435;526.736;10.529.671;13.714.229;13.401.603;3.779.901;1.288.295;331.683;43.572.118;131.992;4.477.374;10.463.692;16.508.869;4.993.431;3.304.699;981.486;40.861.544;287.255;4.226.550;1.954.555;252.664;70.386;76.114;212.202;7.079.726;161.665;35.588.965;22.400.923;615.492;71.536;55.407;6.200;58.900.188;339.130;13.205.064;26.758.170;9.781.003;4.253.637;1.389.506;0;55.726.509;1.091.366;3.963.365;4.961.803;3.815.310;1.118.486;448.657;291.306;15.690.292;144.782;1.692.719;4.301.740;6.837.689;2.103.342;711.389;107.077;15.898.737;23.780;1.167.127;6.199.904;1.090.512;451.232;274.407;0;9.206.961;102.754;231.292;484.092;465.537;25.822;29.330;0;1.338.827
3%;3 - Privado com Controle Estrangeiro;dez/19;15,81%;12,22%;21,37%;14,35%;12,28%;14,75%;16,58%;32,34%;14,89%;16,22%;38,14%;34,92%;34,15%;25,32%;10,84%;71,11%;28,69%;13,16%;15,65%;20,81%;46,10%;11,05%;6,00%;91,42%;17,16%;21,82%;35,20%;55,05%;24,28%;7,36%;73,59%;1,61%;40,20%;21,48%;33,89%;37,13%;33,55%;19,87%;10,09%;0,00%;31,49%;15,71%;21,77%;20,05%;21,86%;13,80%;5,34%;10,08%;18,09%;8,37%;7,55%;8,22%;6,61%;3,19%;0,40%;0,23%;3,39%;17,91%;24,12%;30,71%;13,38%;12,65%;6,89%;0,00%;22,53%;8,70%;9,50%;9,28%;5,92%;2,29%;11,21%;0,00%;7,38%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/19;1.436.935.791;3.937.994;42.853.211;82.449.913;95.348.471;21.764.958;6.325.408;923.512;253.603.466;702.597;7.718.573;20.263.783;32.061.100;13.888.788;29.529.936;1.362.493;105.527.270;2.007.514;25.063.807;6.952.637;444.477;632.419;1.251.522;232.121;36.584.498;575.480;89.665.033;30.007.973;2.429.340;927.411;26.575;385.477;124.017.289;1.578.760;38.947.635;71.877.887;29.157.025;21.408.866;13.776.916;16.842;176.763.931;6.729.548;16.963.750;22.835.246;15.432.397;7.171.055;7.735.683;2.807.393;79.675.073;1.006.277;12.344.260;25.888.698;46.099.350;27.051.846;60.433.680;15.005.123;187.829.234;128.184;4.248.458;18.322.202;5.806.820;2.115.286;2.204.776;273;32.825.999;1.181.609;2.434.389;5.214.905;7.824.713;1.127.251;261.520;67.196;18.111.585
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/19;78,25%;91,33%;86,98%;86,27%;87,38%;84,96%;81,42%;90,06%;86,64%;86,35%;65,74%;67,62%;66,33%;70,43%;96,88%;98,72%;74,09%;91,94%;92,83%;74,02%;81,10%;99,29%;98,58%;100,00%;88,66%;77,69%;88,69%;73,74%;95,82%;95,38%;35,29%;99,98%;84,65%;100,00%;99,97%;99,73%;100,00%;100,00%;100,00%;100,00%;99,88%;96,89%;93,17%;92,28%;88,42%;88,48%;92,15%;97,10%;91,85%;58,20%;55,07%;49,49%;44,53%;41,08%;34,11%;32,84%;40,08%;96,52%;87,82%;90,77%;71,24%;59,28%;55,36%;3,91%;80,33%;100,00%;100,00%;100,00%;99,52%;99,99%;99,95%;100,00%;99,79%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;55.808.762;30.261;1.826.977;1.993.860;702.671;108.317;43.220;0;4.705.306;53.144;2.484.157;5.908.908;10.069.607;3.608.221;108.855;1;22.232.892;0;0;0;0;0;0;0;0;34.106;7.062.292;9.751.415;95.297;38.417;35.280;0;17.016.807;0;12.313;196.313;0;0;0;0;208.626;11.889;329.417;156.010;129.834;42.832;11.296;8.887;690.164;73.356;1.169.402;3.043.500;4.672.415;1.209.553;121.836;107.063;10.397.125;1.119;13.281;109.613;180.173;127.311;45.597;0;477.093;0;0;0;0;0;0;0;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;3,04%;0,70%;3,71%;2,09%;0,64%;0,42%;0,56%;0,00%;1,61%;6,53%;21,16%;19,72%;20,83%;18,30%;0,36%;0,00%;15,61%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,60%;6,99%;23,96%;3,76%;3,95%;46,86%;0,00%;11,62%;0,00%;0,03%;0,27%;0,00%;0,00%;0,00%;0,00%;0,12%;0,17%;1,81%;0,63%;0,74%;0,53%;0,13%;0,31%;0,80%;4,24%;5,22%;5,82%;4,51%;1,84%;0,07%;0,23%;2,22%;0,84%;0,27%;0,54%;2,21%;3,57%;1,14%;0,00%;1,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
