cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
1;1 - Público;dez/19;973.179.257;2.033.284;12.779.286;32.269.351;62.681.640;36.821.752;25.332.872;257.090;172.175.273;1.316.078;5.486.389;11.259.452;14.165.268;5.905.028;2.843.571;434.950;41.410.736;102.781;661.372;1.472.829;1.866.507;391.630;206;94.891;4.590.216;1.308.809;14.077.509;37.111.576;86.140.866;70.520.609;204.039.185;95.475.715;508.674.270;2.942.571;34.187.441;7.861.357;457.063;19.717;18.420;184.459;45.671.028;3.149.082;11.099.920;63.307.802;43.704.626;27.290.690;22.546.176;199.485;171.297.781;2.267.330;8.143.400;7.577.710;4.276.455;2.307.298;2.221.264;233.802;27.027.259;2.332.695
1%;1 - Público;dez/19;46,91%;51,81%;40,89%;39,32%;42,64%;47,54%;60,37%;99,38%;44,84%;18,63%;22,36%;26,01%;33,35%;47,08%;63,79%;93,45%;30,71%;3,64%;2,48%;2,24%;1,97%;2,74%;0,47%;96,10%;2,24%;85,71%;75,38%;75,14%;75,68%;76,95%;80,21%;87,17%;79,61%;13,26%;18,41%;12,04%;9,87%;6,62%;18,24%;99,98%;16,41%;83,55%;64,05%;61,36%;67,06%;73,73%;79,10%;99,39%;67,13%;21,99%;25,78%;23,02%;17,09%;23,31%;35,76%;67,01%;23,24%;3,75%
2;2 - Privado Nacional;dez/19;811.203.630;1.145.487;14.119.055;38.252.714;64.496.656;30.936.775;11.533.690;755;160.485.132;4.762.491;17.368.907;28.641.070;23.311.879;5.058.376;1.282.735;13.488;80.438.945;1.767.348;15.804.409;38.885.222;55.816.407;8.038.347;17.369;1;120.329.102;177.298;3.271.271;8.818.024;19.884.610;15.202.620;36.171.250;9.554.324;93.079.398;14.833.043;116.658.415;44.644.697;2.619.759;61.798;3.881;0;178.821.592;370.301;5.347.811;31.821.089;14.807.017;5.936.261;4.295.070;1.228;62.578.776;5.547.479;17.577.302;15.623.253;12.763.427;3.501.069;2.049.489;69.761;57.131.779;58.338.906
2%;2 - Privado Nacional;dez/19;39,11%;29,19%;45,18%;46,61%;43,87%;39,94%;27,48%;0,29%;41,80%;67,43%;70,79%;66,15%;54,88%;40,33%;28,78%;2,90%;59,65%;62,57%;59,24%;59,01%;58,94%;56,19%;39,43%;0,00%;58,83%;11,61%;17,52%;17,85%;17,47%;16,59%;14,22%;8,72%;14,57%;66,85%;62,82%;68,37%;56,59%;20,75%;3,84%;0,00%;64,23%;9,82%;30,86%;30,84%;22,72%;16,04%;15,07%;0,61%;24,52%;53,80%;55,64%;47,46%;50,99%;35,36%;32,99%;19,99%;49,12%;93,75%
3;3 - Privado com Controle Estrangeiro;dez/19;290.034.604;745.545;4.351.360;11.552.031;19.840.542;9.702.321;5.099.073;841;51.291.714;984.119;1.680.333;3.395.648;5.002.749;1.579.947;331.252;17.017;12.991.064;954.500;10.210.847;25.540.314;37.019.164;5.874.710;26.480;3.845;79.629.861;40.964;1.326.594;3.459.186;7.793.543;5.915.940;14.182.379;4.501.722;37.220.328;4.413.769;34.851.281;12.788.370;1.552.641;216.314;78.697;34;53.901.106;249.896;882.740;8.044.446;6.664.352;3.788.461;1.660.809;0;21.290.703;2.496.255;5.867.657;9.720.243;7.989.858;4.091.582;1.941.200;45.353;32.152.148;1.557.681
3%;3 - Privado com Controle Estrangeiro;dez/19;13,98%;19,00%;13,92%;14,08%;13,50%;12,53%;12,15%;0,33%;13,36%;13,93%;6,85%;7,84%;11,78%;12,60%;7,43%;3,66%;9,63%;33,79%;38,28%;38,76%;39,09%;41,07%;60,11%;3,89%;38,93%;2,68%;7,10%;7,00%;6,85%;6,46%;5,57%;4,11%;5,83%;19,89%;18,77%;19,59%;33,54%;72,63%;77,92%;0,02%;19,36%;6,63%;5,09%;7,80%;10,23%;10,23%;5,83%;0,00%;8,34%;24,21%;18,58%;29,53%;31,92%;41,33%;31,25%;13,00%;27,64%;2,50%
b1;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/19;1.887.933.395;3.851.333;30.234.715;79.510.903;142.665.233;75.131.228;40.048.448;258.357;371.700.217;5.471.240;19.147.594;32.232.473;32.941.714;9.900.841;3.419.807;452.289;103.565.958;2.519.632;22.304.962;54.798.801;78.738.434;12.166.752;35.764;98.737;170.663.082;1.489.091;18.557.359;49.137.381;113.326.432;91.283.177;253.462.687;109.178.852;636.434.980;17.794.014;159.362.034;55.171.815;3.727.914;292.242;100.947;184.492;236.633.459;3.470.835;13.217.389;77.595.828;53.408.987;31.769.919;25.973.252;200.668;205.636.878;9.079.085;27.526.397;28.053.243;22.143.774;8.699.048;5.236.999;330.994;101.069.539;62.229.283
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;dez/19;91,01%;98,14%;96,75%;96,88%;97,04%;96,99%;95,43%;99,87%;96,81%;77,47%;78,04%;74,45%;77,55%;78,93%;76,72%;97,17%;76,81%;89,20%;83,61%;83,16%;83,14%;85,05%;81,18%;100,00%;83,43%;97,51%;99,37%;99,49%;99,57%;99,61%;99,63%;99,68%;99,60%;80,19%;85,82%;84,50%;80,53%;98,12%;99,95%;100,00%;85,00%;92,08%;76,27%;75,21%;81,95%;85,83%;91,13%;99,98%;80,59%;88,05%;87,14%;85,21%;88,47%;87,87%;84,31%;94,86%;86,90%;100,00%
b2;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;48.456.628;3.915;45.444;120.906;200.395;81.768;29.342;0;481.770;81.983;108.842;167.777;92.497;11.205;5.559;0;467.862;239.812;3.484.065;8.707.236;12.128.559;1.451.073;3.546;0;26.014.290;1.090;9.370;23.937;44.958;29.004;39.654;2.227;150.240;1.496.976;6.356.996;2.820.623;513.684;17;0;0;11.188.295;40.241;196.766;2.503.346;3.785.806;2.281.669;665.992;0;9.473.821;16.257;275.709;85.180;135.376;80.835;86.851;141;680.350;0
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;dez/19;2,34%;0,10%;0,15%;0,15%;0,14%;0,11%;0,07%;0,00%;0,13%;1,16%;0,44%;0,39%;0,22%;0,09%;0,12%;0,00%;0,35%;8,49%;13,06%;13,21%;12,81%;10,14%;8,05%;0,00%;12,72%;0,07%;0,05%;0,05%;0,04%;0,03%;0,02%;0,00%;0,02%;6,75%;3,42%;4,32%;11,10%;0,01%;0,00%;0,00%;4,02%;1,07%;1,14%;2,43%;5,81%;6,16%;2,34%;0,00%;3,71%;0,16%;0,87%;0,26%;0,54%;0,82%;1,40%;0,04%;0,58%;0,00%
