Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43891;3974760;0;217513;873042;1231448;0;6296762;-34387;-5857501;0;0;-194485;-6086372;210390;29196;788;-56246;-43296;-15529;0;168;-19796;-104715;105676;-25;105650;-44473;-5725;55452;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43891;40534;0;-727341;5965419;595726;0;5874337;-171699;-5354758;0;0;-38625;-5565082;309255;204003;267;-235975;-74484;-55543;0;158424;-4669;-7977;301278;0;301278;-131755;-6022;163502;0
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43891;879599;11088;982957;2606210;0;24810;4504664;-588183;-1729211;-9465;-1561861;-35760;-3924480;580184;284991;17136;-184583;-171314;-44656;0;253262;-272357;-117522;462662;2351;465013;-137897;-30654;296463;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43891;1254831;0;163434;579270;1898815;0;3896350;-314131;-2191850;0;0;-139669;-2645649;1250701;121448;31736;-151138;-235839;-40983;703;167071;-1067371;-1174371;76330;-688;75642;-27635;-12557;35449;0
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43891;2112571;0;991509;181909;345628;0;3631617;-401382;-3659342;0;0;-60816;-4121540;-489923;49515;3581;-60498;-41604;-10162;0;694114;-503040;131907;-358016;-972;-358988;477118;-37132;80997;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43891;2390173;145118;1329078;-909395;400583;102857;3458415;-3112910;-546597;-120921;0;-432676;-4213103;-754689;293755;150062;-598426;-602319;-58336;1038146;914520;-768940;368462;-386227;23963;-362264;859516;0;497253;0
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43891;1525433;4567;261818;758150;244947;130438;2925352;-1197567;-317964;-3240;0;-29045;-1547816;1377536;191438;283701;-503104;-407317;-115272;10914;105102;-584101;-1018639;358897;12;358909;-69203;-32184;257522;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43891;191939;0;267089;846047;1431773;0;2736849;-33133;-2664449;0;0;-65479;-2763060;-26212;18483;0;-17698;-16042;-4292;0;74753;-817;54387;28175;0;28176;-12922;-730;14524;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43891;982668;137063;121103;1295621;55342;0;2591797;-741668;-832811;-97732;0;-153229;-1825441;766356;27716;31514;-104073;-156351;-49163;17777;161019;-54290;-125851;640505;-1401;639104;-214516;-28708;395880;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43891;1308120;9216;121986;376633;456109;0;2272063;-659952;-1443337;-7256;0;-118653;-2229197;42865;11692;504;-43507;-31786;-1967;-91;101024;-53922;-18053;24813;1456;26269;2741;0;29009;0
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43891;1823104;0;40224;369599;775;161;2233863;-1269099;-6;0;0;-320217;-1589322;644541;44635;64476;-140364;-609731;-51875;761;362340;-103800;-433557;210984;-1166;209818;-39260;0;170558;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43891;14388;67302;90083;1438561;39901;0;1650235;-8254;-1500907;-49124;0;-1892;-1560177;90058;5586;17;-33192;-16927;-1627;0;34869;-12932;-24206;65851;40;65891;-48291;0;17601;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43891;204635;0;52156;70381;1277056;0;1604228;-3947;-1600639;0;0;-7984;-1612570;-8342;13305;64;-32265;-14629;-3674;106;25882;-5500;-16710;-25052;58;-24994;10588;-9;-14416;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43891;1319322;0;115090;-52267;32639;0;1414785;-631497;-7145;0;0;-170728;-809370;605415;10388;4955;-69309;-430942;-29129;-11890;228166;-256309;-554069;51347;-9;51338;32053;-7926;75464;0
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43891;117390;0;-956853;1176577;977624;0;1314738;-842958;-2145866;0;0;-416;-2989240;-1674502;327999;0;-189732;-68357;-28460;20278;2082250;-423507;1720471;45969;255;46224;-47836;-4355;-5968;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43891;624657;0;421108;0;263476;5367;1314607;-133370;-657532;0;0;-88083;-878985;435622;635771;24519;-529019;-340687;-90505;0;699239;-336663;62656;498279;2439;500718;-153530;-19534;327653;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43891;251135;5959;8647;852768;0;0;1118509;-44378;-921572;-4390;0;-12681;-983021;135488;0;12133;-15918;-58082;-10543;0;9499;-5494;-68404;67083;-3392;63692;-25337;-4771;33583;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43891;188201;0;88372;739794;94777;0;1111144;-19431;-553913;0;0;230;-573114;538030;9343;134;-27489;-21972;-5033;0;3618;-488585;-529983;8047;14;8060;-5249;0;2811;0
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43891;644120;0;207710;77241;62178;23512;1014761;-382115;-374694;0;0;-1692;-758501;256260;87931;786;-23640;-273990;-17473;1801;45929;-45038;-223693;32567;38;32605;-13945;-2216;16444;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;43891;387116;0;57546;-22826;445311;0;867147;-21639;-600414;0;0;-20734;-642786;224360;4135;0;-14733;-5798;-7067;0;983;-129346;-151824;72536;-5;72531;-30184;0;42346;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43891;673021;23061;12499;-5077;0;0;703505;-174403;-47294;-19023;0;-269180;-509900;193605;42454;25778;-903;-77838;-31924;0;64510;-169817;-147740;45865;-2675;43189;-6319;0;36870;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43891;695624;0;3586;0;0;0;699210;-17277;0;0;0;-364065;-381342;317868;169660;144595;-45701;-250039;-54410;-407;29017;-103540;-110825;207043;0;207043;-82973;0;124070;0
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43891;97947;0;103737;248782;248105;0;698572;-18833;-641968;0;0;453;-660347;38224;8580;5;-16901;-10769;-2742;0;5290;-4943;-21481;16744;10;16753;-8587;-785;7381;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43891;626904;0;39567;0;1302;0;667772;-24;0;0;0;-250050;-250073;417699;248;12346;-8044;-329156;-34622;0;98002;-6233;-267458;150240;-29;150212;-55649;-1000;93563;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43891;473510;0;43016;118985;25255;699;661465;-71913;-7149;0;0;-75967;-155029;506436;7963;60000;-106773;-155637;-24171;3325;59434;-282997;-438857;67579;-6430;61150;-13968;-11;47170;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43891;598252;0;43704;0;1665;4789;648411;-122089;-527;0;0;-39258;-161874;486536;29126;45436;-208194;-120509;-31342;22595;25187;-75408;-313110;173427;-1788;171638;-37671;-17956;116011;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43891;685;0;59990;273074;308730;0;642479;-38584;-515541;0;0;0;-554125;88354;164297;0;-90453;-37495;-12895;0;30358;-15429;38383;126737;0;126737;-55536;-13;71188;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;43891;232852;0;3551;406021;0;0;642424;-1093;-326155;0;-288846;-24357;-640450;1974;0;0;-590;-2235;-3027;0;0;-4463;-10315;-8342;0;-8342;4555;0;-3787;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43891;273437;0;311877;-5953;6495;9967;595823;-402911;-31042;0;0;-16035;-449987;145836;233661;13;-40798;-80225;-36993;11721;140787;-321354;-93188;52648;-540;52108;4907;-2502;54513;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43891;3179;0;-316809;861231;0;0;547600;-111150;-17510;0;-6798;0;-135458;412143;205187;0;-107030;-65081;-31472;0;5831;-24891;-17455;394688;0;394688;-166218;0;228469;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43891;531927;0;13588;0;124;0;545639;-22631;0;0;0;-254123;-276754;268885;78248;32766;-19355;-178528;-33954;0;13399;-89255;-196677;72208;200;72408;-25228;-8750;38430;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43891;7814;0;187895;-10511;333007;0;518205;-63389;-242973;0;0;-27;-306389;211817;227055;2326;-173133;-52281;-32331;0;12609;-139594;-155349;56467;0;56467;-13064;0;43403;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;43891;1160;0;684130;-169873;1433;0;516850;-478502;-529;0;0;-21504;-500535;16315;790825;289342;-193710;-720438;-82488;0;694538;-82873;695196;711511;196;711708;-93351;-477540;140816;0
INTESA SANPAOLO BRASIL S.A. - PRUDENCIAL;1000084057;b1;S4;I;3;SAO PAULO;SP;43891;26991;0;7961;173966;294534;0;503452;-401;-494130;0;0;-73;-494604;8848;2184;0;-5134;-2996;-654;0;100;-1125;-7624;1224;1;1224;739;-236;1727;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43891;199181;575;277243;0;1218;6798;485016;-210896;-2243;-447;0;-24750;-238336;246680;34771;53628;-86782;-72234;-21116;7610;7185;-27080;-104018;142662;654;143315;-43797;-17006;82513;0
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43891;117557;0;45986;215250;93187;0;471980;-94180;-342763;-75;0;2020;-434998;36982;10041;5047;-28484;-15900;-1200;0;104571;-82053;-7976;29006;0;29006;-14419;-4016;10571;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43891;292751;44488;74192;30786;22418;0;464636;-105500;-204241;-37467;0;-8151;-355359;109276;15428;8812;-55623;-43656;-9741;2197;28522;-27842;-81903;27374;661;28035;-435;-2715;24885;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43891;222491;0;11204;229071;0;0;462766;-46844;-240453;0;0;-81625;-368921;93845;220081;22778;-9203;-282628;-35777;0;30687;-15042;-69105;24739;107;24846;-7202;0;17644;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43891;387943;9808;8437;0;0;0;406188;-105322;0;-8713;0;-58742;-172778;233410;63795;15658;-38954;-36307;-20061;9584;29887;-16308;7294;240705;293;240998;-86839;-7541;146618;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43891;384124;3353;4929;2071;0;0;394477;-46619;-1688;-1604;0;-106507;-156418;238059;25419;20235;-17346;-139081;-16388;3864;11343;-125325;-237279;780;7;787;9537;0;10324;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43891;363869;0;21471;0;2444;3103;390888;-59375;-986;0;0;-27136;-87496;303391;4379;26640;-113457;-91689;-17828;0;8444;-4993;-188504;114887;-1179;113709;-49597;-9383;54729;0
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;43891;114610;0;26184;149862;99101;0;389758;-4939;-347374;0;0;-10172;-362486;27272;17760;0;-14452;-5739;-1362;0;1122;-20079;-22750;4522;0;4522;-2079;-575;1869;0
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;43891;5739;0;55045;100601;226006;0;387391;-22951;-333619;0;0;-72;-356642;30749;4299;3;-12453;-8295;-4860;590;878;-6457;-26294;4455;-5;4449;902;-846;4505;0
BMW - PRUDENCIAL;1000080635;n1;S4;C;3;SAO PAULO;SP;43891;60357;186;687;325103;0;0;386333;-1139;-355986;-176;0;-5132;-362433;23900;0;1958;-3866;-6160;-139;0;14504;-15944;-9646;14254;0;14254;-5759;0;8495;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;43891;380349;0;4274;0;0;0;384623;-3967;-275579;0;0;-24817;-304363;80259;7274;134;-8988;-6341;-4383;0;675;-3406;-15035;65225;1347;66572;-26243;-852;39477;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43891;346444;0;35181;0;0;0;381625;0;-213651;0;0;-35409;-249060;132565;8185;0;-41358;-11220;-7666;0;8510;-4839;-48388;84177;8773;92950;-39331;-3601;50018;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43891;140985;0;202340;-12765;49343;0;379903;-94806;-203924;0;0;-7039;-305770;74133;8125;2750;-27984;-17661;-7344;148;45794;-9338;-5508;68625;-933;67692;-19948;0;47743;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43891;311752;0;4656;45096;0;0;361504;-17534;-52922;0;0;-137292;-207748;153756;202869;53110;-27175;-153445;-37840;0;34555;-91753;-19680;134076;1081;135156;-49792;-2845;82519;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;43891;327690;0;10716;-504;363;0;338265;-25291;0;0;0;-119485;-144776;193489;2122;6505;-23984;-147616;-16239;4902;681;-3253;-176881;16608;-4;16604;-1031;-1279;14294;0
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;43891;290226;0;1913;40106;0;0;332245;-3941;-41627;0;0;-241575;-287143;45102;29319;35905;-7747;-68381;-19044;0;1579;-15563;-43933;1169;0;1169;-434;0;735;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43891;300052;23047;968;-1940;0;0;322127;-99749;-59400;-18183;0;-19095;-196427;125700;1;6109;-19278;-19668;-8598;0;22475;-14837;-33795;91905;-3140;88765;-36354;0;52410;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;43891;9050;309054;460;0;0;0;318564;-20686;0;-262023;0;-14842;-297551;21013;0;0;0;-13776;-1730;0;1963;-2355;-15898;5115;693;5807;8655;0;14462;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43891;125976;0;164438;0;26874;0;317288;-36020;-161890;0;0;-29035;-226945;90343;190751;32613;-145551;-66214;-32583;0;210379;-147265;42130;132473;457;132930;-99830;0;33100;0
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43891;291649;0;4644;0;0;0;296292;-9390;0;0;0;-271533;-280923;15369;21794;43412;-12461;-56082;-14329;23;20802;-20116;-16957;-1588;0;-1588;407;-697;-1877;0
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43891;777170;0;77644;-624298;64873;0;295389;-146305;-47627;0;0;-98926;-292859;2530;58392;6182;-127457;-147187;-16451;-7953;127063;-85485;-192896;-190366;-1108;-191475;90712;-81576;-182339;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;43891;47883;0;156960;79641;0;0;284485;-83635;-6654;0;-3703;-298699;-392691;-108206;321203;39945;-159615;-352209;-68119;0;428471;-283511;-73835;-182041;84;-181957;62151;0;-119806;0
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43891;4773;0;10493;265264;0;0;280530;0;-97217;0;0;-6858;-104075;176455;2684317;739;-166743;-987643;-100220;-18750;210271;-1450414;171557;348012;-2420;345593;-115849;-27813;201930;0
HSBC BI - PRUDENCIAL;1000084741;b2;S4;I;3;SAO PAULO;SP;43891;14011;0;75091;-25;183665;0;272743;-32794;-134196;0;0;-2758;-169748;102995;13320;0;-68401;-15320;-6753;0;58967;-93725;-111912;-8916;0;-8916;7557;-1915;-3274;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43891;163119;59190;1190;27277;0;0;250776;-1056;-120983;-42557;0;-11600;-176196;74580;0;221;-13298;-16900;-4607;541;11036;-6910;-29918;44662;-20;44642;-17697;0;26945;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43891;246065;2686;3683;-6582;0;0;245853;-29644;-85845;-2566;0;-34635;-152690;93163;1940;24;-10152;-14415;-5953;25;559;-968;-28941;64221;165;64386;-23346;-1252;39788;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;S4;I;3;SAO PAULO;SP;43891;74562;0;14173;0;154398;0;243132;-14820;-197041;0;0;-5200;-217060;26072;433;7;-6099;-4161;-581;0;1723;-20823;-29502;-3429;0;-3429;-199;0;-3628;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43891;210584;0;20887;0;0;0;231471;-78798;-22;0;0;-6233;-85054;146417;640;50;-16944;-81642;-6895;-11479;2070;-4304;-118504;27912;-874;27039;-10691;0;16347;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43891;140475;0;10221;74251;2043;0;226991;-4750;-139946;0;0;3107;-141589;85402;3957;3297;-28305;-9148;-4045;0;4181;-13137;-43202;42201;60;42260;-18337;-1565;22358;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;43891;100413;0;8161;30623;87400;0;226597;-22937;-150651;0;0;-5873;-179461;47136;2496;1864;-15265;-9036;-3709;34;565;-1779;-24830;22306;484;22790;-8441;0;14349;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43891;193209;0;29745;0;0;0;222953;-36594;-3002;0;0;-48494;-88089;134864;23962;12455;-31231;-48195;-164;0;141;-15018;-58050;76814;92;76906;0;-3626;73280;0
COMMERZBANK BRASIL - PRUDENCIAL;1000084583;b1;S4;I;3;SAO PAULO;SP;43891;27535;0;7972;112934;74286;0;222727;-456;-220979;0;0;-513;-221948;779;3506;11;-7072;-4234;-225;0;250;-22;-7786;-7007;0;-7007;0;0;-7007;0
BCO KDB BRASIL S.A. - PRUDENCIAL;1000081603;b1;S4;C;3;SAO PAULO;SP;43891;0;0;14593;183702;10308;0;208603;-466;-195561;0;0;0;-196027;12576;682;0;-2378;-1617;-572;0;617;-105;-3373;9203;0;9203;-3368;-278;5557;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;43891;116;207998;0;0;0;0;208114;0;-13317;-172409;0;-4605;-190331;17783;0;0;0;-7548;-4569;0;620;-286;-11783;6000;2064;8064;-3310;0;4754;0
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43891;191579;0;9682;-10577;4535;0;195220;-54333;-365;0;0;-50399;-105096;90124;28796;4053;-49823;-110067;-11000;2690;33683;-24090;-125759;-35634;1802;-33832;23973;0;-9859;0
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;43891;55683;0;15200;12773;93558;0;177214;-62296;-16500;0;0;-3169;-81966;95248;37994;4250;-56716;-34111;-9391;0;25062;-34817;-67728;27520;-110;27409;-563;-2750;24097;0
BANCO DIGIO - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;43891;166126;0;2187;0;89;0;168402;-10815;0;0;0;-82325;-93140;75263;16602;6201;-12232;-74305;-10016;0;20205;-39794;-93339;-18076;313;-17764;12980;-1485;-6269;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43891;143503;0;21039;0;0;2799;167341;-39653;-1942;0;0;-14300;-55895;111446;14846;19014;-46298;-45353;-8808;2723;3842;-13575;-73610;37836;-42;37794;-11616;-2199;23979;0
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43891;132167;0;40011;-62110;47419;0;157488;-56478;-26071;0;0;-5660;-88209;69279;651;9524;-23946;-24685;-4753;482;21479;-2878;-24126;45153;-1326;43827;-6006;-7323;30498;0
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;43891;144599;9111;1792;0;0;0;155501;-1360;-75335;-7266;0;-2437;-86399;69102;26221;1974;-9161;-17649;-7166;-345;2314;-2027;-5839;63264;112;63376;-25153;-718;37504;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43891;93785;0;48629;-111129;124068;0;155353;-129121;-37931;0;0;32391;-134661;20692;5796;1829;-23431;-26905;-787;-17861;11791;-14204;-63771;-43079;4126;-38953;38448;-1777;-2282;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43891;131131;0;23181;0;0;0;154312;-29820;-4823;0;0;-17298;-51942;102370;10056;551;-25216;-23038;-949;0;6898;-4388;-36087;66283;-86;66197;-1774;-2224;62199;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;43891;137909;0;6441;0;0;0;144350;-10125;-69179;0;0;-10507;-89810;54540;16580;4217;-14773;-16323;-532;0;5972;-11766;-16626;37914;-232;37682;-1963;-2379;33340;0
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;43891;108660;0;23180;-16048;20138;0;135931;-68004;0;0;0;-1604;-69608;66323;1314;1136;-14364;-65551;-3863;-2;17932;-105;-63503;2820;1833;4653;8504;0;13157;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;43891;61557;32133;7762;21369;0;0;122821;-6991;-59324;-13040;0;-4721;-84075;38746;989;675;-11052;-8282;-2205;0;1995;-3071;-20951;17795;654;18449;-10319;0;8130;0
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43891;68245;0;42769;0;0;11249;122263;-71537;0;0;0;-4053;-75590;46673;0;1656;-29964;-5062;-2484;0;955;-4384;-39283;7390;184;7574;0;0;7574;0
