Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43891;107668168;17311340;124979508;14238681;139218189;917107438;9494013;2266109;15996347;6177855;33934325;92475874;1043517637;1743174330;0,1032;0,1198;0,1334;0,0717;0,2719
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43891;89172537;9278313;98450850;21761063;120211913;781319286;5972447;248298;11437041;510822;18168608;63720003;863207897;1331396638;0,1033;0,1141;0,1393;0,0739;0,3548
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43891;78020211;30256011;108276222;30842106;139118327;670533382;22474822;390780;4194184;0;27059786;83913901;781507068;1203223228;0,0998;0,1385;0,178;0,09;0,1506
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43891;63038124;6685519;69723643;6656480;76380123;483331194;3813145;40738;13439940;2537427;19831250;50120651;553283096;882593941;0,1139;0,126;0,138;0,079;0,1567
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43891;64665139;1713241;66378380;29442616;95820996;423653517;454327;0;9067470;82267;9604064;79940519;513198101;1379503929;0,126;0,1293;0,1867;0,0481;0,1096
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43891;119603282;0;119603282;47411085;167014367;401531470;28046320;0;3300842;0;31347162;38269089;471147722;793892613;0,2539;0,2539;0,3545;0,1507;0,0475
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43891;12046624;1646141;13692765;3428744;17121509;110222531;1722505;0;2211138;81688;4015330;7056367;121294229;210081256;0,0993;0,1129;0,1412;0,0652;0,3634
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43891;17281599;380816;17662414;4712790;22375204;76582040;4842925;3950588;14545313;7554075;30892900;7959324;115434263;246822249;0,1497;0,153;0,1938;0,0716;0,4735
