Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;43891;38193340;314341166;389064691;554393600;-43615358;510778242;7921963;567954;376783;-259186;8607513;345208969;111238320;60578701;1778010942;376783;1777634159
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;43891;15176459;503661432;189537612;600775675;-39915993;560859682;34404;228259;75303;-3864;334103;205252726;73059848;33236185;1581118047;75303;1581042743
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;43891;11207090;202365377;219035903;690609067;-34182011;656427056;0;0;0;0;0;87673021;123243793;14486222;1314438462;0;1314438462
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;43891;22584458;88767275;344528434;405658633;-36640164;369018469;49801;4321972;1415538;-148768;5638543;247770421;79098543;68635902;1226042045;1415538;1224626506
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;43891;13974263;55726270;232634177;310114561;-20716126;289398435;13459;5017954;2230363;-38192;7223584;311024233;72074426;18905488;1000960876;2230363;998730513
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;43891;6244;99115071;129487858;284825429;-15266217;269559212;0;0;0;0;0;37336813;173949280;8810137;718264615;0;718264615
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;43891;2233790;57779511;36437131;30961050;-1305841;29655208;0;0;0;0;0;59485386;901474;12223421;198715923;0;198715923
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;43891;2654230;41463996;40939458;68412849;-2872175;65540674;10272;1464327;476402;-6666;1944335;13717916;12203069;6370559;184834238;476402;184357836
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43891;2026662;25543537;40256713;10220211;-206985;10013227;-252;74156;18879;-521;92263;38049236;2196330;293159;118471126;18879;118452247
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43891;574087;6165210;37128822;51210627;-3658536;47552091;2;92584;2097;-1989;92694;12649750;1009322;2155784;107327761;2097;107325665
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43891;107202;45095869;34504551;1503415;-3899;1499516;0;0;0;0;0;9427485;7574;92908;90735105;0;90735105
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43891;981446;7170459;25882370;33193366;-2551977;30641389;154;67684;38480;-3534;102785;7355000;9781157;1446532;83361138;38480;83322658
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43891;568342;287062;5270901;59073;-10691;48382;0;0;0;0;0;4118178;61683398;11232000;83208263;0;83208263
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43891;152005;13881429;16234863;12039496;-7276;12032220;0;0;0;0;0;2907682;21289273;135780;66633252;0;66633252
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43891;133134;4741314;10897563;13059716;-530923;12528793;0;0;0;0;0;35857259;196391;162114;64516568;0;64516568
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43891;168291;3528432;40010109;9800211;-539769;9260442;0;0;0;0;0;5247836;668124;238230;59121464;0;59121464
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43891;37160;16058326;16595796;5559694;-99765;5459929;0;0;0;0;0;4548123;13781462;210964;56691761;0;56691761
