Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;jun/18;298.903.564;17.039.068;1.430.794;3.603.453;276.830.250;0;0;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;jun/18;296.843.284;3.887.436;24.765.877;46.588.466;186.992.623;0;1.263;34.607.618
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;jun/18;283.565.095;2.348.439;13.761.605;42.795.515;64.234.388;0;10.217;160.414.930
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;jun/18;259.362.970;26.452.663;23.016.231;50.440.727;65.089.434;0;9.552;94.354.363
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;jun/18;163.774.582;9.876.765;18.620.084;27.433.005;107.842.269;0;2.459;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;jun/18;120.041.024;3.355.838;14.468.422;37.397.621;48.236.668;0;5.054;16.577.420
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;jun/18;46.977.126;642.203;1.224.086;10.199.062;26.012.962;0;73;8.898.739
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;jun/18;17.085.060;766.952;122.974;556.189;7.470.077;0;0;8.168.868
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;jun/18;13.059.358;898.201;676.370;435.409;9.491.264;0;0;1.558.114
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;jun/18;12.171.461;167.466;1.303.953;4.435.499;4.110.325;0;1;2.154.217
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;jun/18;10.299.494;689.320;771.147;4.009.518;4.829.509;0;1;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;jun/18;10.185.201;426.882;8.598;1.274.346;8.475.375;0;1;0
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;jun/18;9.684.802;460.088;1.373.964;3.865.136;3.862.454;0;504;122.656
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;jun/18;9.223.057;609.025;261.338;3.729.074;4.517.825;0;48;105.748
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;jun/18;7.967.054;538.776;1.610.825;4.254.208;1.563.241;0;4;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;jun/18;7.862.767;229.608;668.460;4.332.480;2.632.219;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;jun/18;7.043.244;1.529.166;4.815;401.062;5.108.201;0;0;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;jun/18;6.278.356;165.547;141.491;607.982;1.533.928;0;0;3.829.407
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;jun/18;6.258.282;0;7.698;846.253;5.404.331;0;0;0
