Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;01/06/2018;683711368;362919043;61538812;117616604;74279659;31442708;6226724;9444234;2919039;17324546;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;01/06/2018;624290395;293170655;61800287;126227893;53303206;11821258;12631578;4747859;5934854;17165689;37487115
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2018;536766101;124311789;129421489;16845246;14767037;8333400;4201814;4386613;4280230;10869643;219348841
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;01/06/2018;439634074;108324639;122975465;38914294;36364148;8448709;5350959;4705606;2812253;16811869;94926133
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;01/06/2018;298905127;40231647;94874558;111633387;29507030;5591683;11621029;304129;3253628;1888035;0
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2018;289347125;87386239;112349405;20392313;13751512;10187582;4415465;2811282;1983112;9199550;26870665
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;64282665;33445242;15647809;2738885;1457830;673456;73382;52620;50233;1222511;8920696
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2018;49132475;3646281;21394560;8639453;8514328;1484243;780425;466715;1139523;1508833;1558114
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2018;31076524;2351527;19909984;3547825;1296166;918762;567695;300765;324643;1736501;122656
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;19109065;0;15428792;923505;624158;535123;321434;287643;209035;779376;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;01/06/2018;18738882;2344817;3866918;10239496;803917;563506;212832;52134;112293;542970;0
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;01/06/2018;17606836;1253348;3006122;1320941;1308230;1171333;451594;304798;233879;198941;8357650
